Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00045680999755859375,0.00010895729064941406,0.0003478527069091797,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_ADWINBaggingClassifier
2,0.0008766651153564453,7.82012939453125e-05,0.00034165382385253906,0.5,-0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_ADWINBaggingClassifier
3,0.0013725757598876953,7.653236389160156e-05,0.00041937828063964844,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_ADWINBaggingClassifier
4,0.001787424087524414,7.534027099609375e-05,0.000339508056640625,0.75,-0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_ADWINBaggingClassifier
5,0.002131938934326172,8.177757263183594e-05,0.0002627372741699219,0.8,0.875,0.875,0.5454545454545455,0.33155970728682893,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,0.8,0.75,0.875,0.5454545454545455,0.33155970728682893,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,ensemble_ADWINBaggingClassifier
6,0.0027675628662109375,8.034706115722656e-05,0.0005552768707275391,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208593,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208593,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,ensemble_ADWINBaggingClassifier
7,0.0032050609588623047,8.177757263183594e-05,0.00035572052001953125,0.7142857142857143,0.65,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,ensemble_ADWINBaggingClassifier
8,0.0034668445587158203,8.296966552734375e-05,0.00017881393432617188,0.75,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158065,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,0.75,0.5833333333333334,0.6666666666666667,0.3333333333333333,0.09091987815158065,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,ensemble_ADWINBaggingClassifier
9,0.003711223602294922,9.131431579589844e-05,0.00015306472778320312,0.7777777777777778,0.7500000000000002,0.75,0.5,0.19476179132211735,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.19476179132211735,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,ensemble_ADWINBaggingClassifier
10,0.004112958908081055,9.059906005859375e-05,0.00031113624572753906,0.7,0.6904761904761906,0.6904761904761905,0.3478260869565216,0.09400833241463313,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,0.7,0.6666666666666666,0.6904761904761905,0.3478260869565216,0.09400833241463313,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,ensemble_ADWINBaggingClassifier
11,0.004709720611572266,7.987022399902344e-05,0.0005168914794921875,0.6363636363636364,0.6071428571428572,0.6071428571428572,0.21428571428571427,0.034648168239231336,0.7142857142857143,0.7142857142857143,0.4814814814814815,0.5976143046671969,12.559700434045741,0.21428571428571427,0.7142857142857143,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5714285714285714,0.6071428571428572,0.21428571428571427,0.034648168239231336,0.7142857142857143,0.7142857142857143,0.4814814814814815,0.5976143046671969,12.559700434045741,0.21428571428571427,0.7142857142857143,0.6363636363636364,0.6363636363636364,ensemble_ADWINBaggingClassifier
12,0.005112409591674805,8.082389831542969e-05,0.0003218650817871094,0.5833333333333334,0.5625,0.5625,0.11764705882352947,0.010456592237440998,0.6666666666666666,0.6410256410256411,0.462030827725273,0.5590169943749475,14.391290097451153,0.11952286093343942,0.7142857142857143,0.6095238095238096,0.5833333333333334,0.5833333333333334,0.5,0.5625,0.11764705882352947,0.010456592237440998,0.6666666666666666,0.6410256410256411,0.462030827725273,0.5590169943749475,14.391290097451153,0.11952286093343942,0.7142857142857143,0.6095238095238096,0.5833333333333334,ensemble_ADWINBaggingClassifier
13,0.0053577423095703125,7.987022399902344e-05,0.00016546249389648438,0.5384615384615384,0.5277777777777778,0.5277777777777778,0.048780487804878064,0.0019137410549723288,0.6250000000000001,0.5813953488372093,0.4629100498862757,0.5270462766947299,15.94109673571727,0.05143444998736423,0.7142857142857143,0.5970695970695971,0.5384615384615384,0.5384615384615384,0.5,0.5277777777777778,0.048780487804878064,0.0019137410549723288,0.6250000000000001,0.5813953488372093,0.4629100498862757,0.5270462766947299,15.94109673571727,0.05143444998736423,0.7142857142857143,0.5970695970695971,0.5384615384615384,ensemble_ADWINBaggingClassifier
14,0.005922555923461914,7.963180541992188e-05,0.0004851818084716797,0.5714285714285714,0.55,0.55,0.08695652173913031,0.006067337305079135,0.6666666666666665,0.625,0.4911436350228293,0.5477225575051662,14.802446968880322,0.09128709291752754,0.75,0.630952380952381,0.5714285714285714,0.5714285714285714,0.55,0.55,0.08695652173913031,0.006067337305079135,0.6666666666666665,0.625,0.4911436350228293,0.5477225575051662,14.802446968880322,0.09128709291752754,0.75,0.630952380952381,0.5714285714285714,ensemble_ADWINBaggingClassifier
15,0.0063517093658447266,8.082389831542969e-05,0.0003483295440673828,0.6,0.6,0.6,0.18181818181818185,0.025924211939455932,0.6666666666666665,0.625,0.48157133033088717,0.6,13.815617170954967,0.18898223650461388,0.75,0.6428571428571428,0.6,0.6,0.6,0.6,0.18181818181818185,0.025924211939455932,0.6666666666666665,0.625,0.48157133033088717,0.6,13.815617170954967,0.18898223650461388,0.75,0.6428571428571428,0.6,ensemble_ADWINBaggingClassifier
16,0.0067408084869384766,8.106231689453125e-05,0.00030803680419921875,0.625,0.6181818181818182,0.6181818181818182,0.21311475409836064,0.035537482690817024,0.7000000000000001,0.660377358490566,0.5092928600264824,0.6179143806533247,12.952141097770282,0.22084711628963774,0.7777777777777778,0.6686507936507936,0.625,0.625,0.6,0.6181818181818182,0.21311475409836064,0.035537482690817024,0.7000000000000001,0.660377358490566,0.5092928600264824,0.6179143806533247,12.952141097770282,0.22084711628963774,0.7777777777777778,0.6686507936507936,0.625,ensemble_ADWINBaggingClassifier
17,0.007129669189453125,8.20159912109375e-05,0.00030684471130371094,0.6470588235294118,0.6333333333333333,0.6333333333333333,0.2388059701492538,0.04464343544369409,0.7272727272727272,0.689655172413793,0.5365433699886598,0.6324555320336759,12.190250444960265,0.24688535993934688,0.8,0.6907563025210084,0.6470588235294118,0.6470588235294118,0.6333333333333333,0.6333333333333333,0.2388059701492538,0.04464343544369409,0.7272727272727272,0.689655172413793,0.5365433699886598,0.6324555320336759,12.190250444960265,0.24688535993934688,0.8,0.6907563025210084,0.6470588235294118,ensemble_ADWINBaggingClassifier
18,0.007660627365112305,8.034706115722656e-05,0.0004506111145019531,0.6666666666666666,0.6461538461538461,0.6461538461538461,0.26027397260273966,0.053146503117054045,0.7500000000000001,0.7142857142857143,0.5624833862511963,0.6445033866354896,11.513014309129138,0.2685663272412834,0.8181818181818182,0.7099567099567099,0.6666666666666666,0.6666666666666666,0.6307692307692307,0.6461538461538461,0.26027397260273966,0.053146503117054045,0.7500000000000001,0.7142857142857143,0.5624833862511963,0.6445033866354896,11.513014309129138,0.2685663272412834,0.8181818181818182,0.7099567099567099,0.6666666666666666,ensemble_ADWINBaggingClassifier
