Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0014910697937011719,6.842613220214844e-05,0.0014226436614990234,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_VotingClassifier
2,0.0018351078033447266,0.00015020370483398438,0.0001938343048095703,0.5,-0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_VotingClassifier
3,0.0021920204162597656,0.00015783309936523438,0.0001990795135498047,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_VotingClassifier
4,0.002549409866333008,0.0001609325408935547,0.0001964569091796875,0.75,-0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_VotingClassifier
5,0.0036094188690185547,0.0001697540283203125,0.0008902549743652344,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.10098733632389123,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,ensemble_VotingClassifier
6,0.0040819644927978516,0.0002002716064453125,0.0002722740173339844,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,0.5,0.25,0.375,-0.28571428571428586,0.1679485738334382,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,ensemble_VotingClassifier
7,0.004674673080444336,0.0003631114959716797,0.0002295970916748047,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,ensemble_VotingClassifier
8,0.005171060562133789,0.00025534629821777344,0.0002410411834716797,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,0.625,0.3333333333333333,0.4166666666666667,-0.2,0.10311128269063408,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,ensemble_VotingClassifier
9,0.005666971206665039,0.00025272369384765625,0.00024318695068359375,0.5555555555555556,0.4166666666666667,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.7142857142857143,0.78125,0.5790660241435862,0.0,15.350833819103704,-0.24999999999999953,0.625,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.7142857142857143,0.78125,0.5790660241435862,0.0,15.350833819103704,-0.24999999999999953,0.625,0.4166666666666667,0.5555555555555556,ensemble_VotingClassifier
10,0.006158113479614258,0.00025916099548339844,0.0002319812774658203,0.6,0.42857142857142855,0.42857142857142855,-0.1764705882352943,0.11689800358692526,0.75,0.8108108108108107,0.6123724356957946,0.0,13.815750437193334,-0.21821789023599258,0.6666666666666666,0.4666666666666667,0.6,0.6,0.42857142857142855,0.42857142857142855,-0.1764705882352943,0.11689800358692526,0.75,0.8108108108108107,0.6123724356957946,0.0,13.815750437193334,-0.21821789023599258,0.6666666666666666,0.4666666666666667,0.6,ensemble_VotingClassifier
