Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.06425976753234863,0.0071926116943359375,0.057067155838012695,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_voting
2,0.12308001518249512,0.005782604217529297,0.05303764343261719,0.5,-0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_voting
3,0.1802382469177246,0.005701780319213867,0.051456451416015625,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_voting
4,0.23694610595703125,0.005598306655883789,0.05110955238342285,0.75,-0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_voting
5,0.3158252239227295,0.006436586380004883,0.07244253158569336,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.10098733632389123,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,ensemble_voting
6,0.3776357173919678,0.00771784782409668,0.0540926456451416,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,0.5,0.25,0.375,-0.28571428571428586,0.1679485738334382,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,ensemble_voting
7,0.45253729820251465,0.00819087028503418,0.0667107105255127,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,ensemble_voting
8,0.5202655792236328,0.007790803909301758,0.059937477111816406,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,0.625,0.3333333333333333,0.4166666666666667,-0.2,0.10311128269063408,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,ensemble_voting
9,0.5938570499420166,0.008137941360473633,0.06545352935791016,0.6666666666666666,0.5833333333333335,0.5833333333333334,0.1818181818181818,0.03239658212868923,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.513103153288052,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334,0.1818181818181818,0.03239658212868923,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.513103153288052,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,ensemble_voting
10,0.6674847602844238,0.00880122184753418,0.06482648849487305,0.6,0.5238095238095238,0.5238095238095238,0.04761904761904766,0.0018356606418109545,0.7142857142857143,0.7142857142857143,0.5000000000000001,0.48795003647426655,13.815670477450315,0.04761904761904792,0.7142857142857143,0.6,0.6,0.6,0.47619047619047616,0.5238095238095238,0.04761904761904766,0.0018356606418109545,0.7142857142857143,0.7142857142857143,0.5000000000000001,0.48795003647426655,13.815670477450315,0.04761904761904792,0.7142857142857143,0.6,0.6,ensemble_voting
