Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00046324729919433594,2.574920654296875e-05,0.0004374980926513672,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,forest_AMFClassifier
2,0.0007510185241699219,0.00011467933654785156,0.00017309188842773438,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
3,0.0010528564453125,0.00011587142944335938,0.00018596649169921875,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
4,0.0014426708221435547,0.00011563301086425781,0.0002741813659667969,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
5,0.0023298263549804688,0.00011587142944335938,0.0007712841033935547,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,forest_AMFClassifier
6,0.003107786178588867,0.00020837783813476562,0.0005695819854736328,0.8,0.75,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,forest_AMFClassifier
7,0.004180908203125,0.00032019615173339844,0.0007529258728027344,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,forest_AMFClassifier
8,0.005441188812255859,0.0002536773681640625,0.0010066032409667969,0.7142857142857143,0.65,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,forest_AMFClassifier
9,0.006456851959228516,0.0002269744873046875,0.0007886886596679688,0.75,0.7333333333333334,0.7333333333333334,0.4666666666666667,0.16645258379632544,0.8000000000000002,0.8,0.5384615384615384,0.7302967433402215,8.634794048406446,0.4666666666666667,0.8,0.75,0.75,0.75,0.6666666666666666,0.7333333333333334,0.4666666666666667,0.16645258379632544,0.8000000000000002,0.8,0.5384615384615384,0.7302967433402215,8.634794048406446,0.4666666666666667,0.8,0.75,0.75,forest_AMFClassifier
10,0.007485866546630859,0.0002624988555908203,0.0007665157318115234,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.30769230769230765,0.07343556032986287,0.7272727272727272,0.689655172413793,0.4714045207910317,0.6666666666666666,11.513014309129138,0.31622776601683794,0.8,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.30769230769230765,0.07343556032986287,0.7272727272727272,0.689655172413793,0.4714045207910317,0.6666666666666666,11.513014309129138,0.31622776601683794,0.8,0.7,0.6666666666666666,forest_AMFClassifier
