Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002827644348144531,6.175041198730469e-05,0.00022101402282714844,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
2,0.00039577484130859375,3.4332275390625e-05,7.867813110351562e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
3,0.0008816719055175781,7.104873657226562e-05,0.00041484832763671875,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
4,0.0010950565338134766,6.914138793945312e-05,0.0001442432403564453,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
5,0.001306295394897461,6.890296936035156e-05,0.0001423358917236328,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
6,0.0017032623291015625,0.00013518333435058594,0.0002617835998535156,0.0,-0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,OneVsOneClassifier
7,0.001964569091796875,7.605552673339844e-05,0.00018525123596191406,0.0,-0.0,0.0,-0.6,0.0,0.0,0.0,1.0,0.0,34.53937609298333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,1.0,0.0,34.53937609298333,-1.0,0.0,0.0,0.0,OneVsOneClassifier
8,0.002252340316772461,9.036064147949219e-05,0.00019741058349609375,0.2,0.125,0.125,-0.4285714285714287,0.0,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,0.2,0.0,0.125,-0.4285714285714287,0.0,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,OneVsOneClassifier
9,0.002787351608276367,0.00023937225341796875,0.0002956390380859375,0.16666666666666666,0.125,0.125,-0.6666666666666667,0.0,0.0,0.0,0.6172133998483675,0.0,28.78271346114067,-0.7071067811865475,0.0,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.125,0.125,-0.6666666666666667,0.0,0.0,0.0,0.6172133998483675,0.0,28.78271346114067,-0.7071067811865475,0.0,0.2222222222222222,0.16666666666666666,OneVsOneClassifier
10,0.0030791759490966797,9.34600830078125e-05,0.0001983642578125,0.14285714285714285,0.125,0.125,-0.7499999999999997,0.0,0.0,0.0,0.6666666666666666,0.0,29.605008165964957,-0.7499999999999999,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.125,-0.7499999999999997,0.0,0.0,0.0,0.6666666666666666,0.0,29.605008165964957,-0.7499999999999999,0.0,0.14285714285714285,0.14285714285714285,OneVsOneClassifier
11,0.0034379959106445312,8.273124694824219e-05,0.0002760887145996094,0.125,0.09999999999999998,0.1,-0.75,0.0,0.0,0.0,0.7205766921228921,0.0,30.221829144261946,-0.7745966692414834,0.0,0.15625,0.125,0.125,0.06666666666666667,0.1,-0.75,0.0,0.0,0.0,0.7205766921228921,0.0,30.221829144261946,-0.7745966692414834,0.0,0.15625,0.125,OneVsOneClassifier
12,0.003849029541015625,0.00010323524475097656,0.0003077983856201172,0.1111111111111111,0.09999999999999998,0.1,-0.8000000000000002,0.0,0.0,0.0,0.7499999999999999,0.0,30.701489949889584,-0.7999999999999999,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1,0.1,-0.8000000000000002,0.0,0.0,0.0,0.7499999999999999,0.0,30.701489949889584,-0.7999999999999999,0.0,0.1111111111111111,0.1111111111111111,OneVsOneClassifier
13,0.0043599605560302734,0.0001366138458251953,0.0003743171691894531,0.2,0.19999999999999998,0.2,-0.6,0.2,0.20000000000000004,0.2,0.6000000000000001,0.2,27.631340954900626,-0.6,0.2,0.2,0.2,0.2,0.12,0.2,-0.6,0.2,0.20000000000000004,0.2,0.6000000000000001,0.2,27.631340954900626,-0.6,0.2,0.2,0.2,OneVsOneClassifier
