Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0007162094116210938,5.459785461425781e-05,0.0006616115570068359,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsRestClassifier
2,0.0008909702301025391,4.172325134277344e-05,0.00013303756713867188,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OneVsRestClassifier
3,0.0016715526580810547,7.724761962890625e-05,0.0007033348083496094,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,OneVsRestClassifier
4,0.0018985271453857422,7.224082946777344e-05,0.00015473365783691406,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.25,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,OneVsRestClassifier
5,0.002134561538696289,6.937980651855469e-05,0.0001666545867919922,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,OneVsRestClassifier
6,0.0025713443756103516,0.0001308917999267578,0.0003058910369873047,0.4,0.33333333333333337,0.3333333333333333,-0.36363636363636376,0.0,0.0,0.0,0.408248290463863,0.0,20.723425756432448,-0.408248290463863,0.0,0.3,0.4,0.4,0.3333333333333333,0.3333333333333333,-0.36363636363636376,0.0,0.0,0.0,0.408248290463863,0.0,20.723425756432448,-0.408248290463863,0.0,0.3,0.4,OneVsRestClassifier
7,0.002956867218017578,7.796287536621094e-05,0.0003075599670410156,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,OneVsRestClassifier
8,0.0032796859741210938,9.131431579589844e-05,0.0002315044403076172,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,OneVsRestClassifier
9,0.0038840770721435547,0.0002448558807373047,0.00035953521728515625,0.5,0.4,0.4,-0.23076923076923078,0.0,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,0.5,0.26666666666666666,0.4,-0.23076923076923078,0.0,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,OneVsRestClassifier
10,0.004204750061035156,9.799003601074219e-05,0.00022268295288085938,0.4444444444444444,0.4,0.4,-0.2162162162162162,0.0,0.0,0.0,0.5669467095138407,0.0,19.188297952442625,-0.31622776601683794,0.0,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.4,0.4,-0.2162162162162162,0.0,0.0,0.0,0.5669467095138407,0.0,19.188297952442625,-0.31622776601683794,0.0,0.2777777777777778,0.4444444444444444,OneVsRestClassifier
