Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0004131793975830078,0.00013446807861328125,0.00027871131896972656,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomOverSampler
2,0.0006701946258544922,0.0001513957977294922,0.00010561943054199219,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomOverSampler
3,0.0012693405151367188,0.00022530555725097656,0.00037384033203125,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomOverSampler
4,0.0018444061279296875,0.00044989585876464844,0.0001251697540283203,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomOverSampler
5,0.002239704132080078,0.0002560615539550781,0.0001392364501953125,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,RandomOverSampler
6,0.0032587051391601562,0.00033545494079589844,0.0006835460662841797,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,RandomOverSampler
7,0.003731966018676758,0.00031447410583496094,0.00015878677368164062,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomOverSampler
8,0.004260063171386719,0.0003437995910644531,0.0001842975616455078,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,RandomOverSampler
9,0.005232334136962891,0.00091552734375,5.6743621826171875e-05,0.625,0.5,0.5,0.0,0.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,0.625,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,RandomOverSampler
10,0.005957603454589844,0.00039768218994140625,0.0003275871276855469,0.5555555555555556,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,RandomOverSampler
