Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.00015854835510253906,-8.20159912109375e-05,-7.653236389160156e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
2,-0.0003139972686767578,-3.6716461181640625e-05,-0.00011873245239257812,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
3,-0.0004990100860595703,-0.00015115737915039062,-3.3855438232421875e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,RandomUnderSampler
4,-0.0006923675537109375,-0.00014209747314453125,-5.125999450683594e-05,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomUnderSampler
5,-0.000986337661743164,-0.00015497207641601562,-0.00013899803161621094,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomUnderSampler
6,-0.0014729499816894531,-0.00022125244140625,-0.00026535987854003906,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomUnderSampler
7,-0.0017316341400146484,-0.00022602081298828125,-3.266334533691406e-05,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,RandomUnderSampler
8,-0.002000093460083008,-0.0002353191375732422,-3.314018249511719e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomUnderSampler
9,-0.0026962757110595703,-0.0002779960632324219,-0.0004181861877441406,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,RandomUnderSampler
10,-0.003178834915161133,-0.0002903938293457031,-0.00019216537475585938,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomUnderSampler
