Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0009987354278564453,0.0002510547637939453,0.0007476806640625,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
2,0.0018570423126220703,0.0001933574676513672,0.0006649494171142578,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
3,0.0031816959381103516,0.0003161430358886719,0.0010085105895996094,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_ADWINBoostingClassifier
4,0.004186153411865234,0.00023627281188964844,0.0007681846618652344,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,ensemble_ADWINBoostingClassifier
5,0.005015850067138672,0.00021123886108398438,0.0006184577941894531,0.6,0.375,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450311,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450311,-0.25,0.0,0.6,0.6,ensemble_ADWINBoostingClassifier
6,0.007664680480957031,0.0004906654357910156,0.0021581649780273438,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,ensemble_ADWINBoostingClassifier
7,0.008920669555664062,0.0002300739288330078,0.0010259151458740234,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_ADWINBoostingClassifier
8,0.009764909744262695,0.00028705596923828125,0.0005571842193603516,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,ensemble_ADWINBoostingClassifier
9,0.010951995849609375,0.00040149688720703125,0.0007855892181396484,0.5555555555555556,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4714045207910317,15.35074497494479,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4714045207910317,15.35074497494479,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,ensemble_ADWINBoostingClassifier
10,0.012322664260864258,0.0002951622009277344,0.0010755062103271484,0.6,0.5833333333333334,0.5833333333333333,0.1666666666666666,0.5,0.5,0.5,0.4285714285714285,0.5773502691896257,13.815670477450311,0.16666666666666657,0.5,0.6,0.6,0.6,0.5833333333333334,0.5833333333333333,0.1666666666666666,0.5,0.5,0.5,0.4285714285714285,0.5773502691896257,13.815670477450311,0.16666666666666657,0.5,0.6,0.6,ensemble_ADWINBoostingClassifier
