Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005359649658203125,0.000232696533203125,0.0003032684326171875,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
2,0.0011153221130371094,0.00016260147094726562,0.00041675567626953125,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
3,0.0018715858459472656,0.00029850006103515625,0.000457763671875,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BaggingClassifier
4,0.0027022361755371094,0.0003466606140136719,0.0004839897155761719,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_BaggingClassifier
5,0.003077983856201172,0.00019216537475585938,0.00018358230590820312,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_BaggingClassifier
6,0.0049495697021484375,0.0005552768707275391,0.0013163089752197266,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BaggingClassifier
7,0.005867719650268555,0.00022149085998535156,0.0006966590881347656,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_BaggingClassifier
8,0.006161689758300781,0.00027942657470703125,1.4543533325195312e-05,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_BaggingClassifier
9,0.00656437873840332,0.00038909912109375,1.3589859008789062e-05,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.1818181818181818,0.3333333333333333,0.4,0.3571428571428571,0.5527707983925667,0.5270462766947298,11.513014309129138,0.1889822365046136,0.5,0.6428571428571428,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5833333333333334,0.1818181818181818,0.3333333333333333,0.4,0.3571428571428571,0.5527707983925667,0.5270462766947298,11.513014309129138,0.1889822365046136,0.5,0.6428571428571428,0.6666666666666666,ensemble_BaggingClassifier
10,0.007300853729248047,0.0002913475036621094,0.0004451274871826172,0.6,0.5416666666666667,0.5416666666666667,0.09090909090909075,0.25,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,0.6,0.4166666666666667,0.5416666666666667,0.09090909090909075,0.25,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,ensemble_BaggingClassifier
