Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.002614259719848633,0.0001456737518310547,0.002468585968017578,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_VotingClassifier
2,0.003705739974975586,0.0003905296325683594,0.0007009506225585938,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_VotingClassifier
3,0.007794380187988281,0.0011181831359863281,0.002970457077026367,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_VotingClassifier
4,0.009586095809936523,0.0008876323699951172,0.000904083251953125,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_VotingClassifier
5,0.01185154914855957,0.0011141300201416016,0.0011513233184814453,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_VotingClassifier
6,0.016725778579711914,0.0023467540740966797,0.002527475357055664,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_VotingClassifier
7,0.01934337615966797,0.0012595653533935547,0.0013580322265625,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_VotingClassifier
8,0.024059772491455078,0.002876758575439453,0.0018396377563476562,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,ensemble_VotingClassifier
9,0.027889013290405273,0.0018649101257324219,0.0019643306732177734,0.5555555555555556,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4714045207910317,15.35074497494479,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4714045207910317,15.35074497494479,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,ensemble_VotingClassifier
10,0.03122878074645996,0.001589059829711914,0.0017507076263427734,0.6,0.5833333333333334,0.5833333333333333,0.1666666666666666,0.5,0.5,0.5,0.4285714285714285,0.5773502691896257,13.815670477450311,0.16666666666666657,0.5,0.6,0.6,0.6,0.5833333333333334,0.5833333333333333,0.1666666666666666,0.5,0.5,0.5,0.4285714285714285,0.5773502691896257,13.815670477450311,0.16666666666666657,0.5,0.6,0.6,ensemble_VotingClassifier
11,0.0350954532623291,0.0016453266143798828,0.002221345901489258,0.6363636363636364,0.6071428571428571,0.6071428571428572,0.21428571428571427,0.5,0.5,0.5,0.4814814814814815,0.5976143046671969,12.559700434045737,0.21428571428571427,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6071428571428571,0.6071428571428572,0.21428571428571427,0.5,0.5,0.5,0.4814814814814815,0.5976143046671969,12.559700434045737,0.21428571428571427,0.5,0.6363636363636364,0.6363636363636364,ensemble_VotingClassifier
12,0.03940701484680176,0.001977682113647461,0.0023338794708251953,0.6666666666666666,0.6571428571428573,0.6571428571428571,0.3142857142857141,0.6,0.6,0.6,0.48387096774193544,0.6546536707079771,11.513058731208593,0.3142857142857142,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6285714285714286,0.6571428571428571,0.3142857142857141,0.6,0.6,0.6,0.48387096774193544,0.6546536707079771,11.513058731208593,0.3142857142857142,0.6,0.6666666666666666,0.6666666666666666,ensemble_VotingClassifier
13,0.04277658462524414,0.0017709732055664062,0.0015985965728759766,0.6153846153846154,0.6071428571428571,0.6071428571428572,0.21686746987951808,0.5,0.5454545454545454,0.5172413793103449,0.45962735987049386,0.5976143046671969,13.2842677822626,0.21957751641341994,0.6,0.6134615384615384,0.6153846153846154,0.6153846153846154,0.5238095238095238,0.6071428571428572,0.21686746987951808,0.5,0.5454545454545454,0.5172413793103449,0.45962735987049386,0.5976143046671969,13.2842677822626,0.21957751641341994,0.6,0.6134615384615384,0.6153846153846154,ensemble_VotingClassifier
