Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.06421995162963867,0.007605075836181641,0.05661487579345703,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
2,0.12049412727355957,0.007351398468017578,0.04892277717590332,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
3,0.21283650398254395,0.011449098587036133,0.08089327812194824,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
4,0.28638267517089844,0.013566732406616211,0.05997943878173828,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,LogisticRegression
5,0.36553335189819336,0.011293888092041016,0.0678567886352539,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,LogisticRegression
6,0.48228001594543457,0.018616437911987305,0.0981302261352539,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
7,0.5735633373260498,0.013096332550048828,0.0781869888305664,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,LogisticRegression
8,0.6635966300964355,0.01613593101501465,0.0738973617553711,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,LogisticRegression
9,0.7704684734344482,0.020322561264038086,0.08654928207397461,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
10,0.8656628131866455,0.015371561050415039,0.07982277870178223,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,LogisticRegression
11,0.9702341556549072,0.016576290130615234,0.08799505233764648,0.6363636363636364,0.5,0.5,0.0,0.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,0.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,LogisticRegression
12,1.089930534362793,0.020116090774536133,0.09958028793334961,0.6666666666666666,0.6,0.6,0.2258064516129032,0.2,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,0.6666666666666666,0.6,0.6,0.2258064516129032,0.2,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,RandomSampler
13,1.210392951965332,0.01943373680114746,0.1010286808013916,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.3333333333333333,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.3333333333333333,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,RandomSampler
14,1.3388957977294922,0.020227909088134766,0.10827493667602539,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3333333333333333,0.5,0.3846153846153846,0.6520732960932835,0.5773502691896257,9.868221827117338,0.4714045207910318,1.0,0.8095238095238094,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3333333333333333,0.5,0.3846153846153846,0.6520732960932835,0.5773502691896257,9.868221827117338,0.4714045207910318,1.0,0.8095238095238094,0.7142857142857143,BernoulliNB
15,1.4714417457580566,0.024868488311767578,0.10767745971679688,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.37499999999999983,0.3333333333333333,0.5,0.3846153846153846,0.6774384175924637,0.5773502691896257,9.210340371976182,0.48038446141526137,1.0,0.8153846153846154,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.37499999999999983,0.3333333333333333,0.5,0.3846153846153846,0.6774384175924637,0.5773502691896257,9.210340371976182,0.48038446141526137,1.0,0.8153846153846154,0.7333333333333333,BernoulliNB
