Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.00032448768615722656,-8.130073547363281e-05,-0.00024318695068359375,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
2,-0.0005006790161132812,-4.9591064453125e-05,-0.0001266002655029297,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
3,-0.0008504390716552734,-0.00012040138244628906,-0.00022935867309570312,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,linear_model_PAClassifier
4,-0.0010619163513183594,-6.961822509765625e-05,-0.0001418590545654297,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,linear_model_PAClassifier
5,-0.001302957534790039,-8.273124694824219e-05,-0.0001583099365234375,0.4,0.25,0.25,-0.36363636363636376,0.1760651833687611,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,0.4,0.0,0.25,-0.36363636363636376,0.1760651833687611,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,linear_model_PAClassifier
6,-0.0018012523651123047,-0.00016927719116210938,-0.00032901763916015625,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,linear_model_PAClassifier
7,-0.0020596981048583984,-8.320808410644531e-05,-0.00017523765563964844,0.2857142857142857,0.2,0.2,-0.5217391304347827,0.2960654354758694,0.0,0.0,0.502518907629606,0.0,24.670897252406284,-0.5477225575051661,0.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2,0.2,-0.5217391304347827,0.2960654354758694,0.0,0.0,0.502518907629606,0.0,24.670897252406284,-0.5477225575051661,0.0,0.35714285714285715,0.2857142857142857,linear_model_PAClassifier
8,-0.0023927688598632812,-0.00011110305786132812,-0.0002219676971435547,0.375,0.25,0.25,-0.42857142857142855,0.21419396448413952,0.0,0.0,0.4853626716970755,0.0,21.587035095855498,-0.4472135954999579,0.0,0.45,0.375,0.375,0.25,0.25,-0.42857142857142855,0.21419396448413952,0.0,0.0,0.4853626716970755,0.0,21.587035095855498,-0.4472135954999579,0.0,0.45,0.375,linear_model_PAClassifier
9,-0.002826690673828125,-0.00014925003051757812,-0.0002846717834472656,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.5000000000000001,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.5000000000000001,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,linear_model_PAClassifier
10,-0.0031669139862060547,-0.00010824203491210938,-0.0002319812774658203,0.3,0.25,0.25,-0.5217391304347827,0.3191805333247406,0.0,0.0,0.5345224838248488,0.0,24.177383355666535,-0.5345224838248488,0.0,0.2571428571428572,0.3,0.3,0.25,0.25,-0.5217391304347827,0.3191805333247406,0.0,0.0,0.5345224838248488,0.0,24.177383355666535,-0.5345224838248488,0.0,0.2571428571428572,0.3,linear_model_PAClassifier
11,-0.0035715103149414062,-0.0001590251922607422,-0.0002455711364746094,0.36363636363636365,0.2857142857142857,0.2857142857142857,-0.4528301886792453,0.25833954617767496,0.0,0.0,0.5184758473652126,0.0,21.979439414242304,-0.4629100498862757,0.0,0.3181818181818182,0.36363636363636365,0.36363636363636365,0.2857142857142857,0.2857142857142857,-0.4528301886792453,0.25833954617767496,0.0,0.0,0.5184758473652126,0.0,21.979439414242304,-0.4629100498862757,0.0,0.3181818181818182,0.36363636363636365,linear_model_PAClassifier
