Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00014472007751464844,9.059906005859375e-06,0.00013566017150878906,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tree_HoeffdingTreeClassifier
2,0.00020575523376464844,2.3603439331054688e-05,3.743171691894531e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_HoeffdingTreeClassifier
3,0.0002770423889160156,2.1219253540039062e-05,5.0067901611328125e-05,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_HoeffdingTreeClassifier
4,0.00034928321838378906,2.7418136596679688e-05,4.482269287109375e-05,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingTreeClassifier
5,0.0004220008850097656,2.1457672119140625e-05,5.125999450683594e-05,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_HoeffdingTreeClassifier
6,0.0004813671112060547,2.1696090698242188e-05,3.7670135498046875e-05,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,tree_HoeffdingTreeClassifier
7,0.0005464553833007812,2.1219253540039062e-05,4.38690185546875e-05,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingTreeClassifier
8,0.0006110668182373047,2.2172927856445312e-05,4.2438507080078125e-05,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,tree_HoeffdingTreeClassifier
9,0.0006728172302246094,2.3365020751953125e-05,3.838539123535156e-05,0.625,0.5,0.5,0.0,0.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,0.625,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,tree_HoeffdingTreeClassifier
10,0.0007331371307373047,2.1457672119140625e-05,3.886222839355469e-05,0.5555555555555556,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,tree_HoeffdingTreeClassifier
11,0.0007927417755126953,2.2172927856445312e-05,3.743171691894531e-05,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,tree_HoeffdingTreeClassifier
12,0.0008592605590820312,2.384185791015625e-05,4.267692565917969e-05,0.5454545454545454,0.5,0.5,0.0,0.0,0.0,0.0,0.674199862463242,0.0,15.699443815868493,0.0,0.0,0.2975206611570248,0.5454545454545454,0.5454545454545454,0.4,0.5,0.0,0.0,0.0,0.0,0.674199862463242,0.0,15.699443815868493,0.0,0.0,0.2975206611570248,0.5454545454545454,tree_HoeffdingTreeClassifier
13,0.0009305477142333984,2.1696090698242188e-05,4.9591064453125e-05,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.674199862463242,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.674199862463242,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_HoeffdingTreeClassifier
14,0.0010063648223876953,2.1696090698242188e-05,5.412101745605469e-05,0.5384615384615384,0.5,0.5,0.0,0.0,0.0,0.0,0.6793662204867574,0.0,15.940973720728008,0.0,0.0,0.28994082840236685,0.5384615384615384,0.5384615384615384,0.5,0.5,0.0,0.0,0.0,0.0,0.6793662204867574,0.0,15.940973720728008,0.0,0.0,0.28994082840236685,0.5384615384615384,tree_HoeffdingTreeClassifier
15,0.0011146068572998047,4.029273986816406e-05,6.794929504394531e-05,0.5714285714285714,0.5,0.5,0.0,0.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,0.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,tree_HoeffdingTreeClassifier
16,0.0012362003326416016,7.653236389160156e-05,4.506111145019531e-05,0.5333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,tree_HoeffdingTreeClassifier
17,0.0012962818145751953,2.3126602172851562e-05,3.695487976074219e-05,0.5625,0.5,0.5,0.0,0.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,0.5625,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,tree_HoeffdingTreeClassifier
18,0.0013685226440429688,2.6702880859375e-05,4.553794860839844e-05,0.5882352941176471,0.5,0.5,0.0,0.0,0.0,0.0,0.6966305460192359,0.0,14.221849103786754,0.0,0.0,0.34602076124567477,0.5882352941176471,0.5882352941176471,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.6966305460192359,0.0,14.221849103786754,0.0,0.0,0.34602076124567477,0.5882352941176471,tree_HoeffdingTreeClassifier
19,0.0015287399291992188,4.744529724121094e-05,0.00011277198791503906,0.6111111111111112,0.5,0.5,0.0,0.0,0.0,0.0,0.7047921864945659,0.0,13.431746375798602,0.0,0.0,0.3734567901234568,0.6111111111111112,0.6111111111111112,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.7047921864945659,0.0,13.431746375798602,0.0,0.0,0.3734567901234568,0.6111111111111112,tree_HoeffdingTreeClassifier
20,0.0015912055969238281,2.4318695068359375e-05,3.814697265625e-05,0.5789473684210527,0.5,0.5,0.0,0.0,0.0,0.0,0.696692268479466,0.0,14.542642692593974,0.0,0.0,0.335180055401662,0.5789473684210527,0.5789473684210527,0.5,0.5,0.0,0.0,0.0,0.0,0.696692268479466,0.0,14.542642692593974,0.0,0.0,0.335180055401662,0.5789473684210527,tree_HoeffdingTreeClassifier
21,0.0016622543334960938,2.4318695068359375e-05,4.673004150390625e-05,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.7033753209384469,0.0,13.815510557964275,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.7033753209384469,0.0,13.815510557964275,0.0,0.0,0.36,0.6,tree_HoeffdingTreeClassifier
22,0.0017244815826416016,2.3365020751953125e-05,3.886222839355469e-05,0.6190476190476191,0.5,0.5,0.0,0.0,0.0,0.0,0.7104659772022196,0.0,13.157629102823119,0.0,0.0,0.3832199546485261,0.6190476190476191,0.6190476190476191,0.5,0.5,0.0,0.0,0.0,0.0,0.7104659772022196,0.0,13.157629102823119,0.0,0.0,0.3832199546485261,0.6190476190476191,tree_HoeffdingTreeClassifier
23,0.0017876625061035156,2.2172927856445312e-05,4.100799560546875e-05,0.6363636363636364,0.5,0.5,0.0,0.0,0.0,0.0,0.7177405625652734,0.0,12.559555052694796,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,0.0,0.0,0.0,0.7177405625652734,0.0,12.559555052694796,0.0,0.0,0.4049586776859504,0.6363636363636364,tree_HoeffdingTreeClassifier
24,0.0018572807312011719,2.2172927856445312e-05,4.744529724121094e-05,0.6521739130434783,0.5,0.5,0.0,0.0,0.0,0.0,0.7250459982682085,0.0,12.013487441708065,0.0,0.0,0.42533081285444235,0.6521739130434783,0.6521739130434783,0.5,0.5,0.0,0.0,0.0,0.0,0.7250459982682085,0.0,12.013487441708065,0.0,0.0,0.42533081285444235,0.6521739130434783,tree_HoeffdingTreeClassifier
25,0.0019309520721435547,2.09808349609375e-05,5.269050598144531e-05,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7322785563281032,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7322785563281032,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingTreeClassifier
26,0.0019893646240234375,2.1457672119140625e-05,3.695487976074219e-05,0.68,0.5,0.5,0.0,0.0,0.0,0.0,0.7393691004272944,0.0,11.05240844637142,0.0,0.0,0.46240000000000003,0.68,0.68,0.5,0.5,0.0,0.0,0.0,0.0,0.7393691004272944,0.0,11.05240844637142,0.0,0.0,0.46240000000000003,0.68,tree_HoeffdingTreeClassifier
27,0.0020503997802734375,2.1696090698242188e-05,3.933906555175781e-05,0.6923076923076923,0.5,0.5,0.0,0.0,0.0,0.0,0.7462727898852248,0.0,10.627315813818672,0.0,0.0,0.47928994082840237,0.6923076923076923,0.6923076923076923,0.5,0.5,0.0,0.0,0.0,0.0,0.7462727898852248,0.0,10.627315813818672,0.0,0.0,0.47928994082840237,0.6923076923076923,tree_HoeffdingTreeClassifier
28,0.002109050750732422,2.1696090698242188e-05,3.695487976074219e-05,0.7037037037037037,0.5,0.5,0.0,0.0,0.0,0.0,0.7529618628798984,0.0,10.23371152441798,0.0,0.0,0.49519890260631,0.7037037037037037,0.7037037037037037,0.5,0.5,0.0,0.0,0.0,0.0,0.7529618628798984,0.0,10.23371152441798,0.0,0.0,0.49519890260631,0.7037037037037037,tree_HoeffdingTreeClassifier
29,0.002172708511352539,2.1219253540039062e-05,4.2438507080078125e-05,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.759420553263853,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.759420553263853,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,tree_HoeffdingTreeClassifier
30,0.002233266830444336,2.193450927734375e-05,3.8623809814453125e-05,0.7241379310344828,0.5,0.5,0.0,0.0,0.0,0.0,0.7656414934887764,0.0,9.52793831583743,0.0,0.0,0.5243757431629014,0.7241379310344828,0.7241379310344828,0.5,0.5,0.0,0.0,0.0,0.0,0.7656414934887764,0.0,9.52793831583743,0.0,0.0,0.5243757431629014,0.7241379310344828,tree_HoeffdingTreeClassifier
31,0.0023355484008789062,2.4318695068359375e-05,7.796287536621094e-05,0.7333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.7716231585758522,0.0,9.210340371976182,0.0,0.0,0.5377777777777778,0.7333333333333333,0.7333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.7716231585758522,0.0,9.210340371976182,0.0,0.0,0.5377777777777778,0.7333333333333333,tree_HoeffdingTreeClassifier
32,0.002427339553833008,2.2649765014648438e-05,6.914138793945312e-05,0.7419354838709677,0.5,0.5,0.0,0.0,0.0,0.0,0.7773680436375148,0.0,8.913232618041466,0.0,0.0,0.5504682622268471,0.7419354838709677,0.7419354838709677,0.5,0.5,0.0,0.0,0.0,0.0,0.7773680436375148,0.0,8.913232618041466,0.0,0.0,0.5504682622268471,0.7419354838709677,tree_HoeffdingTreeClassifier
33,0.0025022029876708984,2.288818359375e-05,5.1975250244140625e-05,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7828813612588127,0.0,8.63469409872767,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7828813612588127,0.0,8.63469409872767,0.0,0.0,0.5625,0.75,tree_HoeffdingTreeClassifier
