Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.002195596694946289,-0.0001785755157470703,-0.0020170211791992188,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
2,-0.004208564758300781,-0.00011491775512695312,-0.001898050308227539,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
3,-0.005803823471069336,-0.00013589859008789062,-0.001459360122680664,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
4,-0.007800579071044922,-0.00010538101196289062,-0.0018913745880126953,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,LogisticRegression
5,-0.009273529052734375,-0.00010275840759277344,-0.0013701915740966797,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,LogisticRegression
6,-0.011312007904052734,-0.0001938343048095703,-0.001844644546508789,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
7,-0.013698816299438477,-0.00013399124145507812,-0.002252817153930664,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,LogisticRegression
8,-0.015704631805419922,-0.0001430511474609375,-0.0018627643585205078,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,LogisticRegression
9,-0.01742100715637207,-0.00020575523376464844,-0.0015106201171875,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
10,-0.01900792121887207,-0.0001480579376220703,-0.0014388561248779297,0.7,0.625,0.625,0.2857142857142855,0.30807185777561685,0.4,0.29411764705882354,0.6546536707079772,0.5,10.361632918473205,0.4082482904638629,1.0,0.8,0.7,0.7,0.5,0.625,0.2857142857142855,0.30807185777561685,0.4,0.29411764705882354,0.6546536707079772,0.5,10.361632918473205,0.4082482904638629,1.0,0.8,0.7,LogisticRegression
11,-0.020887136459350586,-0.0001494884490966797,-0.001729726791381836,0.7272727272727273,0.625,0.625,0.297872340425532,0.32875483597176036,0.4,0.29411764705882354,0.6885303726590962,0.5,9.419666289521096,0.4183300132670377,1.0,0.8090909090909091,0.7272727272727273,0.7272727272727273,0.5,0.625,0.297872340425532,0.32875483597176036,0.4,0.29411764705882354,0.6885303726590962,0.5,9.419666289521096,0.4183300132670377,1.0,0.8090909090909091,0.7272727272727273,LogisticRegression
12,-0.022701740264892578,-0.0002994537353515625,-0.0015151500701904297,0.6666666666666666,0.6,0.6,0.2258064516129032,0.27310023105868475,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,0.6666666666666666,0.6,0.6,0.2258064516129032,0.27310023105868475,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,LogisticRegression
13,-0.024535179138183594,-0.00020837783813476562,-0.00162506103515625,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,LogisticRegression
14,-0.026242971420288086,-0.00016427040100097656,-0.0015435218811035156,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3348428866460629,0.5,0.3846153846153846,0.6520732960932835,0.5773502691896257,9.868221827117338,0.4714045207910318,1.0,0.8095238095238094,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3348428866460629,0.5,0.3846153846153846,0.6520732960932835,0.5773502691896257,9.868221827117338,0.4714045207910318,1.0,0.8095238095238094,0.7142857142857143,LogisticRegression
15,-0.02777099609375,-0.00012874603271484375,-0.0013992786407470703,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.37499999999999983,0.35161135096063445,0.5,0.3846153846153846,0.6774384175924637,0.5773502691896257,9.210340371976182,0.48038446141526137,1.0,0.8153846153846154,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.37499999999999983,0.35161135096063445,0.5,0.3846153846153846,0.6774384175924637,0.5773502691896257,9.210340371976182,0.48038446141526137,1.0,0.8153846153846154,0.7333333333333333,LogisticRegression
16,-0.030592679977416992,-0.0001621246337890625,-0.0026595592498779297,0.6875,0.6428571428571428,0.6428571428571428,0.3103448275862069,0.3052981049953609,0.4444444444444445,0.3333333333333333,0.6490326075826763,0.5345224838248488,10.793367623409589,0.42857142857142855,1.0,0.7991071428571428,0.6875,0.6875,0.5714285714285714,0.6428571428571428,0.3103448275862069,0.3052981049953609,0.4444444444444445,0.3333333333333333,0.6490326075826763,0.5345224838248488,10.793367623409589,0.42857142857142855,1.0,0.7991071428571428,0.6875,LogisticRegression
17,-0.03202199935913086,-8.988380432128906e-05,-0.0013394355773925781,0.7058823529411765,0.6428571428571428,0.6428571428571428,0.32000000000000023,0.31988094678851864,0.4444444444444445,0.3333333333333333,0.6695193398023345,0.5345224838248488,10.158463645561966,0.4364357804719848,1.0,0.803921568627451,0.7058823529411765,0.7058823529411765,0.5714285714285714,0.6428571428571428,0.32000000000000023,0.31988094678851864,0.4444444444444445,0.3333333333333333,0.6695193398023345,0.5345224838248488,10.158463645561966,0.4364357804719848,1.0,0.803921568627451,0.7058823529411765,LogisticRegression
18,-0.03416109085083008,-0.00013589859008789062,-0.002003192901611328,0.7222222222222222,0.6428571428571428,0.6428571428571428,0.32835820895522394,0.33303042256287596,0.4444444444444445,0.3333333333333333,0.6882472016116853,0.5345224838248488,9.594104554141857,0.44320263021395917,1.0,0.8090277777777778,0.7222222222222222,0.7222222222222222,0.5714285714285714,0.6428571428571428,0.32835820895522394,0.33303042256287596,0.4444444444444445,0.3333333333333333,0.6882472016116853,0.5345224838248488,9.594104554141857,0.44320263021395917,1.0,0.8090277777777778,0.7222222222222222,LogisticRegression
19,-0.035831451416015625,-0.0001220703125,-0.0015482902526855469,0.7368421052631579,0.6428571428571428,0.6428571428571428,0.33566433566433573,0.3449691218489238,0.4444444444444445,0.3333333333333333,0.7052950166360542,0.5345224838248488,9.089151682871233,0.4490887131390719,1.0,0.8142414860681114,0.7368421052631579,0.7368421052631579,0.5714285714285714,0.6428571428571428,0.33566433566433573,0.3449691218489238,0.4444444444444445,0.3333333333333333,0.7052950166360542,0.5345224838248488,9.089151682871233,0.4490887131390719,1.0,0.8142414860681114,0.7368421052631579,LogisticRegression
