Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.011389493942260742,-0.00016307830810546875,-0.011226415634155273,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OutputCodeClassifier
2,-0.022625207901000977,-0.00011038780212402344,-0.011125326156616211,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OutputCodeClassifier
3,-0.03151535987854004,-0.00015783309936523438,-0.008732318878173828,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,OutputCodeClassifier
4,-0.04138541221618652,-0.00010395050048828125,-0.009766101837158203,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,OutputCodeClassifier
5,-0.0500180721282959,-0.00012183189392089844,-0.008510828018188477,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,OutputCodeClassifier
6,-0.060217857360839844,-0.0006875991821289062,-0.009512186050415039,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,OutputCodeClassifier
7,-0.0733332633972168,-0.0001399517059326172,-0.012975454330444336,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,OutputCodeClassifier
8,-0.08585166931152344,-0.00017142295837402344,-0.012346982955932617,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,OutputCodeClassifier
9,-0.09423041343688965,-0.00019049644470214844,-0.008188247680664062,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,OutputCodeClassifier
10,-0.10366415977478027,-0.00015926361083984375,-0.009274482727050781,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,OutputCodeClassifier
11,-0.11384201049804688,-0.0001513957977294922,-0.01002645492553711,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,OutputCodeClassifier
12,-0.12325406074523926,-0.0003876686096191406,-0.009024381637573242,0.5833333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,0.5833333333333334,0.4,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,OutputCodeClassifier
13,-0.13356733322143555,-0.0002193450927734375,-0.010093927383422852,0.5384615384615384,0.5,0.5,0.0,1.0,0.0,0.0,0.6793662204867574,0.0,15.940973720728008,0.0,0.0,0.28994082840236685,0.5384615384615384,0.5384615384615384,0.5,0.5,0.0,1.0,0.0,0.0,0.6793662204867574,0.0,15.940973720728008,0.0,0.0,0.28994082840236685,0.5384615384615384,OutputCodeClassifier
14,-0.14377522468566895,-0.00018262863159179688,-0.010025262832641602,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,OutputCodeClassifier
15,-0.1534876823425293,-0.00011754035949707031,-0.009594917297363281,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964274,0.0,0.0,0.36000000000000004,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964274,0.0,0.0,0.36000000000000004,0.6,OutputCodeClassifier
16,-0.16474151611328125,-0.00014662742614746094,-0.011107206344604492,0.5625,0.5,0.5,0.0,1.0,0.0,0.0,0.689202437604511,0.0,15.110714672773424,0.0,0.0,0.31640625,0.5625,0.5625,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.689202437604511,0.0,15.110714672773424,0.0,0.0,0.31640625,0.5625,OutputCodeClassifier
