Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.011726140975952148,-0.011690139770507812,-3.600120544433594e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomSampler
2,-0.024135828018188477,-0.012365102767944336,-4.458427429199219e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomSampler
3,-0.03741145133972168,-0.012326955795288086,-0.0009486675262451172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,RandomSampler
4,-0.04944634437561035,-0.011906147003173828,-0.00012874603271484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,RandomSampler
5,-0.06171822547912598,-0.012237548828125,-3.4332275390625e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,RandomSampler
6,-0.07491922378540039,-0.012778997421264648,-0.0004220008850097656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,RandomSampler
7,-0.08807873725891113,-0.012849092483520508,-0.0003104209899902344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,RandomSampler
8,-0.10009074211120605,-0.011827468872070312,-0.00018453598022460938,0.875,0.9166666666666667,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,RandomSampler
9,-0.11269688606262207,-0.01134037971496582,-0.0012657642364501953,0.8888888888888888,0.9166666666666667,0.9166666666666667,0.7692307692307692,0.562749723598772,0.8571428571428571,0.9375,0.7660323462854265,0.9128709291752769,3.8377306658156543,0.7905694150420948,0.75,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9166666666666667,0.7692307692307692,0.562749723598772,0.8571428571428571,0.9375,0.7660323462854265,0.9128709291752769,3.8377306658156543,0.7905694150420948,0.75,0.9166666666666666,0.8888888888888888,RandomSampler
10,-0.12506914138793945,-0.011942386627197266,-0.0004298686981201172,0.9,0.9166666666666667,0.9166666666666667,0.8,0.6099865470109875,0.888888888888889,0.9523809523809523,0.7807200583588264,0.9128709291752769,3.453957599234089,0.8164965809277261,0.8,0.9199999999999999,0.9,0.9,0.9166666666666666,0.9166666666666667,0.8,0.6099865470109875,0.888888888888889,0.9523809523809523,0.7807200583588264,0.9128709291752769,3.453957599234089,0.8164965809277261,0.8,0.9199999999999999,0.9,RandomSampler
11,-0.13986968994140625,-0.014759063720703125,-4.1484832763671875e-05,0.9090909090909091,0.9285714285714286,0.9285714285714286,0.8135593220338982,0.6212197209211734,0.888888888888889,0.9523809523809523,0.8082903768654761,0.9258200997725514,3.139961453849172,0.8280786712108251,0.8,0.9272727272727272,0.9090909090909091,0.9090909090909091,0.9285714285714286,0.9285714285714286,0.8135593220338982,0.6212197209211734,0.888888888888889,0.9523809523809523,0.8082903768654761,0.9258200997725514,3.139961453849172,0.8280786712108251,0.8,0.9272727272727272,0.9090909090909091,RandomSampler
12,-0.15779709815979004,-0.01709437370300293,-0.0008330345153808594,0.9166666666666666,0.9285714285714286,0.9285714285714286,0.8333333333333333,0.6548575458269756,0.9090909090909091,0.9615384615384615,0.8197822947299412,0.9258200997725514,2.8782979993617412,0.8451542547285167,0.8333333333333334,0.9305555555555557,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9285714285714286,0.8333333333333333,0.6548575458269756,0.9090909090909091,0.9615384615384615,0.8197822947299412,0.9258200997725514,2.8782979993617412,0.8451542547285167,0.8333333333333334,0.9305555555555557,0.9166666666666666,RandomSampler
