Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.005194187164306641,-0.00036025047302246094,-0.00483393669128418,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
2,-0.01129770278930664,-0.0001850128173828125,-0.0059185028076171875,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
3,-0.014918327331542969,-0.0005779266357421875,-0.0030426979064941406,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_ADWINBoostingClassifier
4,-0.019498825073242188,-0.0002875328063964844,-0.004292964935302734,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_ADWINBoostingClassifier
5,-0.02351999282836914,-0.00024437904357910156,-0.0037767887115478516,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_ADWINBoostingClassifier
6,-0.02625417709350586,-0.00046515464782714844,-0.0022690296173095703,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_ADWINBoostingClassifier
7,-0.03393411636352539,-0.0002741813659667969,-0.007405757904052734,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_ADWINBoostingClassifier
8,-0.04807639122009277,-0.00029921531677246094,-0.013843059539794922,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_ADWINBoostingClassifier
9,-0.05611467361450195,-0.0004265308380126953,-0.007611751556396484,0.5555555555555556,0.4166666666666667,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.0,0.0,0.5790660241435862,0.0,15.35065613078588,-0.24999999999999994,0.0,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.0,0.0,0.5790660241435862,0.0,15.35065613078588,-0.24999999999999994,0.0,0.4166666666666667,0.5555555555555556,ensemble_ADWINBoostingClassifier
10,-0.061026573181152344,-0.0003254413604736328,-0.004586458206176758,0.6,0.5416666666666667,0.5416666666666667,0.09090909090909075,0.010255027013253759,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,0.6,0.4166666666666667,0.5416666666666667,0.09090909090909075,0.010255027013253759,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,ensemble_ADWINBoostingClassifier
11,-0.06788396835327148,-0.0006263256072998047,-0.006231069564819336,0.5454545454545454,0.48214285714285715,0.48214285714285715,-0.037735849056603904,0.0012801380659743788,0.28571428571428575,0.2631578947368421,0.4839107908741984,0.4225771273642583,15.699589197219437,-0.038575837490522916,0.3333333333333333,0.5189393939393939,0.5454545454545454,0.5454545454545454,0.35714285714285715,0.48214285714285715,-0.037735849056603904,0.0012801380659743788,0.28571428571428575,0.2631578947368421,0.4839107908741984,0.4225771273642583,15.699589197219437,-0.038575837490522916,0.3333333333333333,0.5189393939393939,0.5454545454545454,ensemble_ADWINBoostingClassifier
12,-0.07674169540405273,-0.0008604526519775391,-0.007997274398803711,0.5,0.45714285714285713,0.4571428571428572,-0.09090909090909081,0.008613264733992931,0.25,0.21739130434782608,0.4889177122615931,0.37796447300922725,17.269521463693707,-0.09759000729485337,0.3333333333333333,0.46296296296296297,0.5,0.5,0.42857142857142855,0.4571428571428572,-0.09090909090909081,0.008613264733992931,0.25,0.21739130434782608,0.4889177122615931,0.37796447300922725,17.269521463693707,-0.09759000729485337,0.3333333333333333,0.46296296296296297,0.5,ensemble_ADWINBoostingClassifier
13,-0.08316683769226074,-0.0009801387786865234,-0.005445003509521484,0.46153846153846156,0.44047619047619047,0.44047619047619047,-0.12345679012345673,0.018710800866373112,0.2222222222222222,0.18518518518518515,0.5051814855409226,0.3450327796711771,18.597925689171937,-0.14085904245475284,0.3333333333333333,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.35714285714285715,0.44047619047619047,-0.12345679012345673,0.018710800866373112,0.2222222222222222,0.18518518518518515,0.5051814855409226,0.3450327796711771,18.597925689171937,-0.14085904245475284,0.3333333333333333,0.4230769230769231,0.46153846153846156,ensemble_ADWINBoostingClassifier
