Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.017773151397705078,-0.01093292236328125,-0.006840229034423828,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_AdaBoostClassifier
2,-0.034332990646362305,-0.010770082473754883,-0.005789756774902344,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_AdaBoostClassifier
3,-0.03468489646911621,-0.00011920928955078125,-0.000232696533203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_AdaBoostClassifier
4,-0.04587531089782715,-0.005656003952026367,-0.00553441047668457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
5,-0.04918050765991211,-0.0031316280364990234,-0.0001735687255859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,ensemble_AdaBoostClassifier
6,-0.05968308448791504,-0.007628917694091797,-0.002873659133911133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_AdaBoostClassifier
7,-0.06892657279968262,-0.0051267147064208984,-0.00411677360534668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
8,-0.07240915298461914,-0.0026772022247314453,-0.0008053779602050781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
9,-0.0791158676147461,-0.0030329227447509766,-0.0036737918853759766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_AdaBoostClassifier
10,-0.08472943305969238,-0.002731800079345703,-0.002881765365600586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_AdaBoostClassifier
11,-0.09285998344421387,-0.004960060119628906,-0.003170490264892578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
12,-0.09336733818054199,-0.0002923011779785156,-0.00021505355834960938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
13,-0.10154891014099121,-0.005235910415649414,-0.0029456615447998047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
14,-0.10773277282714844,-0.002650022506713867,-0.0035338401794433594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
15,-0.11301445960998535,-0.0049855709075927734,-0.0002961158752441406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_AdaBoostClassifier
16,-0.11664485931396484,-0.0033156871795654297,-0.0003147125244140625,0.9375,0.9285714285714286,0.9285714285714286,0.8709677419354839,0.7287849763980812,0.923076923076923,0.8823529411764707,0.872081599272381,0.9258200997725514,2.1586735246819186,0.8783100656536799,1.0,0.94375,0.9375,0.9375,0.8571428571428571,0.9285714285714286,0.8709677419354839,0.7287849763980812,0.923076923076923,0.8823529411764707,0.872081599272381,0.9258200997725514,2.1586735246819186,0.8783100656536799,1.0,0.94375,0.9375,ensemble_AdaBoostClassifier
17,-0.12507295608520508,-0.0048067569732666016,-0.003621339797973633,0.9411764705882353,0.9285714285714286,0.9285714285714286,0.875912408759124,0.7398970302956562,0.923076923076923,0.8823529411764707,0.8827348295047496,0.9258200997725514,2.031692729112394,0.8827348295047497,1.0,0.9465240641711231,0.9411764705882353,0.9411764705882353,0.8571428571428571,0.9285714285714286,0.875912408759124,0.7398970302956562,0.923076923076923,0.8823529411764707,0.8827348295047496,0.9258200997725514,2.031692729112394,0.8827348295047497,1.0,0.9465240641711231,0.9411764705882353,ensemble_AdaBoostClassifier
18,-0.13906145095825195,-0.008499622344970703,-0.005488872528076172,0.9444444444444444,0.9285714285714286,0.9285714285714286,0.8799999999999999,0.7494326328011747,0.923076923076923,0.8823529411764707,0.8921722983855179,0.9258200997725514,1.9188209108283723,0.8864052604279182,1.0,0.9490740740740742,0.9444444444444444,0.9444444444444444,0.8571428571428571,0.9285714285714286,0.8799999999999999,0.7494326328011747,0.923076923076923,0.8823529411764707,0.8921722983855179,0.9258200997725514,1.9188209108283723,0.8864052604279182,1.0,0.9490740740740742,0.9444444444444444,ensemble_AdaBoostClassifier
19,-0.147782564163208,-0.005548954010009766,-0.003172159194946289,0.9473684210526315,0.9285714285714286,0.9285714285714286,0.8834355828220858,0.7577257904915844,0.923076923076923,0.8823529411764707,0.9005004170528446,0.9258200997725514,1.8178303365742474,0.8894991799933214,1.0,0.951417004048583,0.9473684210526315,0.9473684210526315,0.8571428571428571,0.9285714285714286,0.8834355828220858,0.7577257904915844,0.923076923076923,0.8823529411764707,0.9005004170528446,0.9258200997725514,1.8178303365742474,0.8894991799933214,1.0,0.951417004048583,0.9473684210526315,ensemble_AdaBoostClassifier
20,-0.1509850025177002,-0.0029478073120117188,-0.00025463104248046875,0.9,0.875,0.875,0.782608695652174,0.6317773733202856,0.8571428571428571,0.7894736842105263,0.8214799971933826,0.8660254037844387,3.4538776394910693,0.8017837257372732,1.0,0.9142857142857143,0.9,0.9,0.875,0.875,0.782608695652174,0.6317773733202856,0.8571428571428571,0.7894736842105263,0.8214799971933826,0.8660254037844387,3.4538776394910693,0.8017837257372732,1.0,0.9142857142857143,0.9,ensemble_AdaBoostClassifier
21,-0.1654963493347168,-0.008112668991088867,-0.006398677825927734,0.9047619047619048,0.875,0.875,0.7878787878787878,0.6419291297384602,0.8571428571428571,0.7894736842105263,0.8334591100049927,0.8660254037844387,3.28940727570578,0.806225774829855,1.0,0.9174603174603174,0.9047619047619048,0.9047619047619048,0.875,0.875,0.7878787878787878,0.6419291297384602,0.8571428571428571,0.7894736842105263,0.8334591100049927,0.8660254037844387,3.28940727570578,0.806225774829855,1.0,0.9174603174603174,0.9047619047619048,ensemble_AdaBoostClassifier
22,-0.17728567123413086,-0.008693456649780273,-0.003095865249633789,0.9090909090909091,0.875,0.875,0.7924528301886792,0.6510204054960309,0.8571428571428571,0.7894736842105263,0.8441962385238857,0.8660254037844387,3.1398887631736994,0.8100925873009824,1.0,0.9204545454545454,0.9090909090909091,0.9090909090909091,0.875,0.875,0.7924528301886792,0.6510204054960309,0.8571428571428571,0.7894736842105263,0.8441962385238857,0.8660254037844387,3.1398887631736994,0.8100925873009824,1.0,0.9204545454545454,0.9090909090909091,ensemble_AdaBoostClassifier
