Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.004884958267211914,-0.0005793571472167969,-0.004305601119995117,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
2,-0.010267257690429688,-0.00025010108947753906,-0.005132198333740234,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
3,-0.01300358772277832,-0.00035953521728515625,-0.0023767948150634766,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BaggingClassifier
4,-0.0179750919342041,-0.0002906322479248047,-0.0046808719635009766,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_BaggingClassifier
5,-0.021829843521118164,-0.00030422210693359375,-0.0035505294799804688,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_BaggingClassifier
6,-0.02447199821472168,-0.0005285739898681641,-0.0021135807037353516,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BaggingClassifier
7,-0.033495426177978516,-0.0003528594970703125,-0.008670568466186523,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_BaggingClassifier
8,-0.04493451118469238,-0.00037860870361328125,-0.011060476303100586,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_BaggingClassifier
9,-0.051114559173583984,-0.0005033016204833984,-0.005676746368408203,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BaggingClassifier
10,-0.05461311340332031,-0.0003762245178222656,-0.0031223297119140625,0.7,0.625,0.625,0.2857142857142855,0.30807185777561685,0.4,0.29411764705882354,0.6546536707079772,0.5,10.361632918473205,0.4082482904638629,1.0,0.8,0.7,0.7,0.5,0.625,0.2857142857142855,0.30807185777561685,0.4,0.29411764705882354,0.6546536707079772,0.5,10.361632918473205,0.4082482904638629,1.0,0.8,0.7,ensemble_BaggingClassifier
11,-0.06009721755981445,-0.0003685951232910156,-0.005115509033203125,0.7272727272727273,0.625,0.625,0.297872340425532,0.32875483597176036,0.4,0.29411764705882354,0.6885303726590962,0.5,9.419666289521096,0.4183300132670377,1.0,0.8090909090909091,0.7272727272727273,0.7272727272727273,0.5,0.625,0.297872340425532,0.32875483597176036,0.4,0.29411764705882354,0.6885303726590962,0.5,9.419666289521096,0.4183300132670377,1.0,0.8090909090909091,0.7272727272727273,ensemble_BaggingClassifier
12,-0.06810522079467773,-0.0006194114685058594,-0.007388591766357422,0.6666666666666666,0.6,0.6,0.2258064516129032,0.27310023105868475,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,0.6666666666666666,0.6,0.6,0.2258064516129032,0.27310023105868475,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,ensemble_BaggingClassifier
13,-0.07491874694824219,-0.0014514923095703125,-0.005362033843994141,0.6153846153846154,0.5833333333333334,0.5833333333333334,0.1772151898734179,0.23318777267508517,0.2857142857142857,0.19999999999999996,0.6359727033932191,0.408248290463863,13.284144767273341,0.3118047822311618,1.0,0.7756410256410255,0.6153846153846154,0.6153846153846154,0.5,0.5833333333333334,0.1772151898734179,0.23318777267508517,0.2857142857142857,0.19999999999999996,0.6359727033932191,0.408248290463863,13.284144767273341,0.3118047822311618,1.0,0.7756410256410255,0.6153846153846154,ensemble_BaggingClassifier
14,-0.07870268821716309,-0.00042891502380371094,-0.0033550262451171875,0.5714285714285714,0.5208333333333334,0.5208333333333334,0.0454545454545455,0.004197400262474615,0.25,0.1923076923076923,0.5775506336826226,0.38188130791298663,14.802389854778166,0.058925565098878994,0.5,0.5476190476190477,0.5714285714285714,0.5714285714285714,0.4375,0.5208333333333334,0.0454545454545455,0.004197400262474615,0.25,0.1923076923076923,0.5775506336826226,0.38188130791298663,14.802389854778166,0.058925565098878994,0.5,0.5476190476190477,0.5714285714285714,ensemble_BaggingClassifier
