Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.024184465408325195,-0.00029587745666503906,-0.023888587951660156,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
2,-0.04201841354370117,-0.0001652240753173828,-0.017668724060058594,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
3,-0.06717514991760254,-0.00030994415283203125,-0.024846792221069336,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_LeveragingBaggingClassifier
4,-0.08740472793579102,-0.0001857280731201172,-0.02004384994506836,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_LeveragingBaggingClassifier
5,-0.11162400245666504,-0.0002014636993408203,-0.024017810821533203,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_LeveragingBaggingClassifier
6,-0.1370408535003662,-0.00043892860412597656,-0.024977922439575195,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_LeveragingBaggingClassifier
7,-0.18430542945861816,-0.00034427642822265625,-0.0469202995300293,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_LeveragingBaggingClassifier
8,-0.20440196990966797,-0.0002961158752441406,-0.019800424575805664,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_LeveragingBaggingClassifier
9,-0.23528647422790527,-0.0004589557647705078,-0.030425548553466797,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.1818181818181818,0.03239658212868923,0.4,0.3571428571428571,0.5527707983925667,0.5270462766947298,11.513014309129138,0.1889822365046136,0.5,0.6428571428571428,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5833333333333334,0.1818181818181818,0.03239658212868923,0.4,0.3571428571428571,0.5527707983925667,0.5270462766947298,11.513014309129138,0.1889822365046136,0.5,0.6428571428571428,0.6666666666666666,ensemble_LeveragingBaggingClassifier
10,-0.24956893920898438,-0.00030684471130371094,-0.01397562026977539,0.7,0.6666666666666666,0.6666666666666667,0.3478260869565216,0.10357243711623387,0.5714285714285715,0.5263157894736842,0.5345224838248488,0.6454972243679028,10.361712878216224,0.3563483225498993,0.6666666666666666,0.6952380952380952,0.7,0.7,0.6666666666666666,0.6666666666666667,0.3478260869565216,0.10357243711623387,0.5714285714285715,0.5263157894736842,0.5345224838248488,0.6454972243679028,10.361712878216224,0.3563483225498993,0.6666666666666666,0.6952380952380952,0.7,ensemble_LeveragingBaggingClassifier
