Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.7453467845916748,0.30906057357788086,0.43628621101379395,0.979372197309417,0.9343410648947628,0.9343410648947628,0.907176923209454,0.7980670174936111,0.9189570119802679,0.8907103825136612,0.9741064904915767,0.9323137637166226,0.7124619331593429,0.9088437729198658,0.9702380952380952,0.9792324751688196,0.979372197309417,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639491035,0.952033109297414,1.0,0.9901123595505618,0.99,ensemble_best_model_average
2,1.4367265701293945,0.27374982833862305,0.4176299571990967,0.9793758967001435,0.934341493814008,0.934341493814008,0.9071793428730572,0.7980776350710426,0.9189570119802679,0.8907103825136612,0.974112161113719,0.9323141652672767,0.7123341602158064,0.9088461098894876,0.9702380952380952,0.9792361464738681,0.9793758967001435,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639491035,0.952033109297414,1.0,0.9901123595505618,0.99,ensemble_best_model_average
3,2.340916395187378,0.23312807083129883,0.6710617542266846,0.9793795947642101,0.9344265040868284,0.9344265040868284,0.9072933080412579,0.7982194226201578,0.9190710767065446,0.8908594815825374,0.9741088810293338,0.9324049652050591,0.712206433093659,0.9089561822801028,0.9702823179791976,0.9792404643076693,0.9793795947642101,0.99,0.9230769230769231,0.9615384615384616,0.9542961608775137,0.9039187318008616,0.9600000000000001,0.9375,0.9872112004740947,0.9607689228305228,0.3453877639491035,0.9552944114708369,1.0,0.9901136363636364,0.99,ensemble_best_model_average
4,3.0796759128570557,0.2582969665527344,0.48046255111694336,0.9793832915023306,0.9344269328284674,0.9344269328284673,0.9072957267328852,0.7982300346885288,0.9190710767065446,0.8908594815825374,0.9741145502215561,0.9324053666283586,0.7120787517682569,0.9089585183990566,0.9702823179791976,0.9792441328857688,0.9793832915023306,0.99,0.9230769230769231,0.9615384615384616,0.9542961608775137,0.9039187318008616,0.9600000000000001,0.9375,0.9872112004740947,0.9607689228305228,0.3453877639491035,0.9552944114708369,1.0,0.9901136363636364,0.99,ensemble_best_model_average
5,3.7261428833007812,0.26218605041503906,0.3842809200286865,0.9793869869152177,0.9344273613926104,0.9344273613926104,0.9072981444313071,0.7982406434312513,0.9190710767065446,0.8908594815825374,0.9741202169902724,0.9324057678852988,0.7119511162149734,0.9089608535605428,0.9702823179791976,0.9792478001703743,0.9793869869152177,0.99,0.9230769230769231,0.9615384615384616,0.9542961608775137,0.9039187318008616,0.9600000000000001,0.9375,0.9872112004740947,0.9607689228305228,0.3453877639491035,0.9552944114708369,1.0,0.9901136363636364,0.99,ensemble_best_model_average
6,4.475102663040161,0.28192710876464844,0.46703267097473145,0.9793906810035843,0.9345121446687075,0.9345121446687075,0.9074117894211948,0.798382101317713,0.9191848208011244,0.8910081743869209,0.9741169414261582,0.9324963166385033,0.7118235264092001,0.9090706209295877,0.9703264094955489,0.9792521118305099,0.9793906810035843,0.99,0.9285714285714286,0.9642857142857143,0.9571917808219178,0.9067654008540641,0.962962962962963,0.9420289855072465,0.986959369351254,0.9636241116594315,0.3453877639491035,0.9580700359369679,1.0,0.9901149425287357,0.99,ensemble_best_model_average
7,5.275813102722168,0.2795679569244385,0.5211424827575684,0.9793943737681419,0.9345125730554646,0.9345125730554646,0.9074142061487472,0.7983927045597626,0.9191848208011244,0.8910081743869209,0.9741226067652212,0.932496717768139,0.7116959823263459,0.9090729552411626,0.9703264094955489,0.9792557763928731,0.9793943737681419,0.99,0.9285714285714286,0.9642857142857143,0.9571917808219178,0.9067654008540641,0.962962962962963,0.9420289855072465,0.986959369351254,0.9636241116594315,0.3453877639491035,0.9580700359369679,1.0,0.9901149425287357,0.99,ensemble_best_model_average
8,6.085620880126953,0.29369640350341797,0.5161113739013672,0.9793980652096023,0.9345130012649461,0.9345130012649461,0.9074166218843088,0.7984033044800595,0.9191848208011244,0.8910081743869209,0.9741282696834297,0.9324971187316061,0.7115684839418375,0.909075288596403,0.9703264094955489,0.9792594396638497,0.9793980652096023,0.99,0.9285714285714286,0.9642857142857143,0.9571917808219178,0.9067654008540641,0.962962962962963,0.9420289855072465,0.986959369351254,0.9636241116594315,0.3453877639491035,0.9580700359369679,1.0,0.9901149425287357,0.99,ensemble_best_model_average
9,6.73843240737915,0.2337944507598877,0.41901707649230957,0.9794017553286763,0.9345975584523071,0.934597558452307,0.9075299480432505,0.7985444339343428,0.9192982456140351,0.8911564625850339,0.9741249986319789,0.9325874173425165,0.7114410312311189,0.90918475221191,0.9703703703703703,0.979263745167333,0.9794017553286763,0.99,0.9333333333333333,0.9666666666666667,0.9596774193548386,0.9092769956446947,0.9655172413793104,0.9459459459459459,0.9867046403759253,0.9660917830792959,0.3453877639491035,0.9604585468176328,1.0,0.9901162790697674,0.99,ensemble_best_model_average
10,7.329230785369873,0.2205343246459961,0.37026405334472656,0.9794054441260746,0.9346818904540826,0.9346818904540825,0.9076429566680131,0.798685240517402,0.9194113524877365,0.8913043478260871,0.9741217301092886,0.932677466770258,0.711313624169652,0.909293913122316,0.9704142011834319,0.979268047381841,0.9794054441260746,0.99,0.9375,0.96875,0.9618320610687022,0.9115073073370926,0.967741935483871,0.9493670886075949,0.9864472631595712,0.9682458365518543,0.3453877639491035,0.9625334218796219,1.0,0.9901176470588235,0.99,ensemble_best_model_average
