Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0003504753112792969,-0.00011610984802246094,-0.00023436546325683594,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
2,-0.0005471706390380859,-6.723403930664062e-05,-0.00012946128845214844,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
3,-0.0010914802551269531,-0.00011706352233886719,-0.00042724609375,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,linear_model_PAClassifier
4,-0.0013055801391601562,-6.222724914550781e-05,-0.0001518726348876953,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,linear_model_PAClassifier
5,-0.0016069412231445312,-0.00012564659118652344,-0.00017571449279785156,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,linear_model_PAClassifier
6,-0.0021293163299560547,-0.00019860267639160156,-0.0003237724304199219,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7171371656006362,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7171371656006362,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,linear_model_PAClassifier
7,-0.0024306774139404297,-8.153915405273438e-05,-0.00021982192993164062,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.934110913558669,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,0.8571428571428571,0.5,0.75,0.5882352941176469,0.517107603971795,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.934110913558669,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,linear_model_PAClassifier
8,-0.0027704238891601562,-0.00010585784912109375,-0.0002338886260986328,0.875,0.75,0.75,0.6,0.5400729331587272,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.3173470493638355,0.6546536707079772,1.0,0.8928571428571429,0.875,0.875,0.5,0.75,0.6,0.5400729331587272,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.3173470493638355,0.6546536707079772,1.0,0.8928571428571429,0.875,linear_model_PAClassifier
9,-0.0032291412353515625,-0.0001575946807861328,-0.00030112266540527344,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4000000000000002,0.3917664344536761,0.5,0.3846153846153846,0.7126966450997982,0.5773502691896257,7.675283643313485,0.4999999999999999,1.0,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4000000000000002,0.3917664344536761,0.5,0.3846153846153846,0.7126966450997982,0.5773502691896257,7.675283643313485,0.4999999999999999,1.0,0.8333333333333334,0.7777777777777778,linear_model_PAClassifier
10,-0.0037772655487060547,-0.00011134147644042969,-0.0004367828369140625,0.8,0.75,0.75,0.5454545454545455,0.4459281986214856,0.6666666666666666,0.5555555555555556,0.6888747637021416,0.7071067811865476,6.907755278982136,0.6123724356957944,1.0,0.85,0.8,0.8,0.75,0.75,0.5454545454545455,0.4459281986214856,0.6666666666666666,0.5555555555555556,0.6888747637021416,0.7071067811865476,6.907755278982136,0.6123724356957944,1.0,0.85,0.8,linear_model_PAClassifier
11,-0.0040929317474365234,-9.107589721679688e-05,-0.00022459030151367188,0.8181818181818182,0.75,0.75,0.56,0.4683977614552497,0.6666666666666666,0.5555555555555556,0.7276877967435826,0.7071067811865476,6.279777526347396,0.6236095644623236,1.0,0.8585858585858586,0.8181818181818182,0.8181818181818182,0.75,0.75,0.56,0.4683977614552497,0.6666666666666666,0.5555555555555556,0.7276877967435826,0.7071067811865476,6.279777526347396,0.6236095644623236,1.0,0.8585858585858586,0.8181818181818182,linear_model_PAClassifier
12,-0.004500389099121094,-0.00015497207641601562,-0.0002524852752685547,0.75,0.7,0.7,0.43749999999999994,0.37761724178138645,0.5714285714285715,0.45454545454545453,0.66203392666547,0.6324555320336759,8.634694098727671,0.529150262212918,1.0,0.8250000000000001,0.75,0.75,0.6,0.7,0.43749999999999994,0.37761724178138645,0.5714285714285715,0.45454545454545453,0.66203392666547,0.6324555320336759,8.634694098727671,0.529150262212918,1.0,0.8250000000000001,0.75,linear_model_PAClassifier
13,-0.005051612854003906,-0.00016379356384277344,-0.00038743019104003906,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,linear_model_PAClassifier
14,-0.00549626350402832,-0.00014901161193847656,-0.0002956390380859375,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3348428866460629,0.5,0.3846153846153846,0.6520732960932835,0.5773502691896257,9.868221827117338,0.4714045207910318,1.0,0.8095238095238094,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3348428866460629,0.5,0.3846153846153846,0.6520732960932835,0.5773502691896257,9.868221827117338,0.4714045207910318,1.0,0.8095238095238094,0.7142857142857143,linear_model_PAClassifier
15,-0.00573420524597168,-7.486343383789062e-05,-0.00016307830810546875,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.37499999999999983,0.35161135096063445,0.5,0.3846153846153846,0.6774384175924637,0.5773502691896257,9.210340371976182,0.48038446141526137,1.0,0.8153846153846154,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.37499999999999983,0.35161135096063445,0.5,0.3846153846153846,0.6774384175924637,0.5773502691896257,9.210340371976182,0.48038446141526137,1.0,0.8153846153846154,0.7333333333333333,linear_model_PAClassifier
