Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0014126300811767578,-0.00015735626220703125,-0.0012552738189697266,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,model_linear_ALMAClassifier
2,-0.0016298294067382812,-7.581710815429688e-05,-0.00014138221740722656,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,model_linear_ALMAClassifier
3,-0.002027273178100586,-0.0001552104949951172,-0.0002422332763671875,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.5773502691896257,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,1.0,0.5,0.7142857142857143,0.5773502691896257,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,model_linear_ALMAClassifier
4,-0.003304719924926758,-8.630752563476562e-05,-0.0011911392211914062,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7071067811865476,0.0,25.90468199425566,0.0,0.25,0.0625,0.25,0.25,0.0,0.5,0.0,1.0,0.4,0.625,0.7071067811865476,0.0,25.90468199425566,0.0,0.25,0.0625,0.25,model_linear_ALMAClassifier
5,-0.004594564437866211,-0.00010466575622558594,-0.0011851787567138672,0.2,0.5,0.5,0.0,1.0,0.33333333333333337,0.5555555555555556,0.7745966692414834,0.0,27.631660793872705,0.0,0.2,0.04,0.2,0.2,0.0,0.5,0.0,1.0,0.33333333333333337,0.5555555555555556,0.7745966692414834,0.0,27.631660793872705,0.0,0.2,0.04,0.2,model_linear_ALMAClassifier
6,-0.0051572322845458984,-0.00022673606872558594,-0.00033593177795410156,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.6831300510639732,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.6831300510639732,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,model_linear_ALMAClassifier
7,-0.00645756721496582,-0.0001010894775390625,-0.0011992454528808594,0.2857142857142857,0.5,0.5,0.0,1.0,0.4444444444444445,0.6666666666666666,0.7237468644557459,0.0,24.671125708814913,0.0,0.2857142857142857,0.08163265306122448,0.2857142857142857,0.2857142857142857,0.5,0.5,0.0,1.0,0.4444444444444445,0.6666666666666666,0.7237468644557459,0.0,24.671125708814913,0.0,0.2857142857142857,0.08163265306122448,0.2857142857142857,model_linear_ALMAClassifier
8,-0.006841421127319336,-0.00012731552124023438,-0.00025653839111328125,0.375,0.5833333333333333,0.5833333333333334,0.09090909090909091,0.10311128269063408,0.4444444444444445,0.6666666666666666,0.600099198148979,0.408248290463863,21.58723499521305,0.2182178902359924,0.2857142857142857,0.8214285714285714,0.375,0.375,0.5833333333333334,0.5833333333333334,0.09090909090909091,0.10311128269063408,0.4444444444444445,0.6666666666666666,0.600099198148979,0.408248290463863,21.58723499521305,0.2182178902359924,0.2857142857142857,0.8214285714285714,0.375,model_linear_ALMAClassifier
9,-0.007382631301879883,-0.00017523765563964844,-0.00036597251892089844,0.4444444444444444,0.5833333333333333,0.5833333333333334,0.1176470588235294,0.13891484521147401,0.5454545454545454,0.75,0.5790660241435862,0.408248290463863,19.188653329078264,0.24999999999999992,0.375,0.7916666666666666,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5833333333333334,0.1176470588235294,0.13891484521147401,0.5454545454545454,0.75,0.5790660241435862,0.408248290463863,19.188653329078264,0.24999999999999992,0.375,0.7916666666666666,0.4444444444444444,model_linear_ALMAClassifier
10,-0.007944583892822266,-0.00013208389282226562,-0.0004298686981201172,0.5,0.5833333333333333,0.5833333333333334,0.13793103448275856,0.16840699929781555,0.6153846153846153,0.8,0.5819143739626462,0.408248290463863,17.269787996170436,0.27216552697590857,0.4444444444444444,0.7777777777777778,0.5,0.5,0.5833333333333334,0.5833333333333334,0.13793103448275856,0.16840699929781555,0.6153846153846153,0.8,0.5819143739626462,0.408248290463863,17.269787996170436,0.27216552697590857,0.4444444444444444,0.7777777777777778,0.5,model_linear_ALMAClassifier
