Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.00017881393432617188,-4.982948303222656e-05,-0.0001289844512939453,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
2,-0.0003914833068847656,-4.410743713378906e-05,-0.0001685619354248047,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
3,-0.0005698204040527344,-4.887580871582031e-05,-0.00012946128845214844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
4,-0.0007331371307373047,-4.267692565917969e-05,-0.00012063980102539062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
5,-0.0009152889251708984,-4.291534423828125e-05,-0.0001392364501953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
6,-0.0015263557434082031,-4.7206878662109375e-05,-0.0005638599395751953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
7,-0.0017156600952148438,-4.696846008300781e-05,-0.0001423358917236328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
8,-0.00188446044921875,-4.7206878662109375e-05,-0.00012159347534179688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
9,-0.0020530223846435547,-4.38690185546875e-05,-0.0001246929168701172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
10,-0.002222299575805664,-4.267692565917969e-05,-0.0001266002655029297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
11,-0.002864837646484375,-5.936622619628906e-05,-0.0005831718444824219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
12,-0.003088235855102539,-8.749961853027344e-05,-0.00013589859008789062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
13,-0.003261566162109375,-4.887580871582031e-05,-0.00012445449829101562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
14,-0.006600618362426758,-4.291534423828125e-05,-0.0032961368560791016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
15,-0.007212162017822266,-4.3392181396484375e-05,-0.0005681514739990234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
16,-0.007799386978149414,-4.315376281738281e-05,-0.0005440711975097656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
17,-0.007983922958374023,-5.14984130859375e-05,-0.00013303756713867188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
18,-0.008154630661010742,-4.935264587402344e-05,-0.00012135505676269531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
19,-0.008343219757080078,-4.220008850097656e-05,-0.00014638900756835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
20,-0.008575201034545898,-8.416175842285156e-05,-0.00014781951904296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
21,-0.009113311767578125,-4.1961669921875e-05,-0.0004961490631103516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
22,-0.009276151657104492,-4.1961669921875e-05,-0.00012087821960449219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
23,-0.00945901870727539,-4.267692565917969e-05,-0.00014019012451171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
24,-0.009686946868896484,-5.745887756347656e-05,-0.0001704692840576172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
25,-0.009851217269897461,-4.172325134277344e-05,-0.00012254714965820312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
26,-0.010016441345214844,-4.291534423828125e-05,-0.00012230873107910156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
27,-0.010220527648925781,-4.100799560546875e-05,-0.00016307830810546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
28,-0.010393619537353516,-5.054473876953125e-05,-0.00012254714965820312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
29,-0.011034250259399414,-4.1961669921875e-05,-0.0005986690521240234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
30,-0.011212348937988281,-4.076957702636719e-05,-0.0001373291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
31,-0.011374711990356445,-4.100799560546875e-05,-0.00012135505676269531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
32,-0.01155996322631836,-6.103515625e-05,-0.00012421607971191406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
33,-0.01172327995300293,-4.1961669921875e-05,-0.00012135505676269531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
34,-0.01188802719116211,-4.1961669921875e-05,-0.0001227855682373047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
35,-0.012129545211791992,-4.220008850097656e-05,-0.00019931793212890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
36,-0.015534400939941406,-0.003283262252807617,-0.00012159347534179688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
37,-0.01569843292236328,-4.172325134277344e-05,-0.00012230873107910156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
38,-0.8196451663970947,-4.029273986816406e-05,-0.8039064407348633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
39,-0.819892406463623,-4.100799560546875e-05,-0.00020623207092285156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
40,-0.8200654983520508,-4.601478576660156e-05,-0.0001270771026611328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
41,-0.8202354907989502,-4.696846008300781e-05,-0.00012302398681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
42,-0.8204023838043213,-4.5299530029296875e-05,-0.00012159347534179688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
43,-0.820573091506958,-4.839897155761719e-05,-0.00012230873107910156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
44,-0.8207404613494873,-4.363059997558594e-05,-0.00012373924255371094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
45,-0.8209035396575928,-4.1961669921875e-05,-0.00012111663818359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
46,-0.8210659027099609,-4.100799560546875e-05,-0.00012135505676269531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
47,-0.8212363719940186,-4.2438507080078125e-05,-0.00012803077697753906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
48,-0.8214969635009766,-7.700920104980469e-05,-0.00018358230590820312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
49,-0.8216829299926758,-6.29425048828125e-05,-0.00012302398681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
50,-0.8218481540679932,-4.458427429199219e-05,-0.00012063980102539062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
51,-0.822101354598999,-4.100799560546875e-05,-0.00021219253540039062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
52,-0.8222723007202148,-4.1484832763671875e-05,-0.00012946128845214844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
53,-0.8224368095397949,-4.220008850097656e-05,-0.00012230873107910156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
54,-0.8226003646850586,-4.1484832763671875e-05,-0.0001220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
55,-0.8227825164794922,-4.1484832763671875e-05,-0.00014066696166992188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
56,-0.8229968547821045,-4.1484832763671875e-05,-0.0001728534698486328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
57,-5.963187217712402,-4.482269287109375e-05,-5.140145540237427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0000000000000002,1.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
58,-10.874708652496338,-0.00011086463928222656,-4.911410570144653,0.9827586206896551,0.9891304347826088,0.9891304347826086,0.9490333919156414,0.8438933360282426,0.9600000000000001,0.9836065573770493,0.9738333253484374,0.9890707100936805,0.59550993090243,0.9502684007399256,0.9230769230769231,0.9840848806366048,0.9827586206896551,0.9827586206896551,0.9891304347826086,0.9891304347826086,0.9490333919156414,0.8438933360282426,0.9600000000000001,0.9836065573770493,0.9738333253484374,0.9890707100936805,0.59550993090243,0.9502684007399256,0.9230769230769231,0.9840848806366048,0.9827586206896551,tree_ExtremelyFastDecisionTreeClassifier
59,-10.87487006187439,-4.124641418457031e-05,-0.0001201629638671875,0.9830508474576272,0.9893617021276595,0.9893617021276595,0.94926913155632,0.8444555554259727,0.9600000000000001,0.9836065573770493,0.9744465623748026,0.9893045053244826,0.5854165422430668,0.9504930239319863,0.9230769230769231,0.984354628422425,0.9830508474576272,0.9830508474576272,0.9893617021276596,0.9893617021276595,0.94926913155632,0.8444555554259727,0.9600000000000001,0.9836065573770493,0.9744465623748026,0.9893045053244826,0.5854165422430668,0.9504930239319863,0.9230769230769231,0.984354628422425,0.9830508474576272,tree_ExtremelyFastDecisionTreeClassifier
60,-10.875032424926758,-4.076957702636719e-05,-0.00012159347534179688,0.9833333333333333,0.9895833333333333,0.9895833333333333,0.9494949494949493,0.8449998390184733,0.9600000000000001,0.9836065573770493,0.9750334981312586,0.9895285072531598,0.575659599872349,0.9507082380237135,0.9230769230769231,0.9846153846153847,0.9833333333333333,0.9833333333333333,0.9895833333333334,0.9895833333333333,0.9494949494949493,0.8449998390184733,0.9600000000000001,0.9836065573770493,0.9750334981312586,0.9895285072531598,0.575659599872349,0.9507082380237135,0.9230769230769231,0.9846153846153847,0.9833333333333333,tree_ExtremelyFastDecisionTreeClassifier
61,-10.875218152999878,-6.341934204101562e-05,-0.00012230873107910156,0.9836065573770492,0.9897959183673469,0.9897959183673469,0.9497114591920857,0.8455271244310644,0.9600000000000001,0.9836065573770493,0.9755956943965984,0.989743318610787,0.5662225572514908,0.9509146221003927,0.9230769230769231,0.9848675914249685,0.9836065573770492,0.9836065573770492,0.9897959183673469,0.9897959183673469,0.9497114591920857,0.8455271244310644,0.9600000000000001,0.9836065573770493,0.9755956943965984,0.989743318610787,0.5662225572514908,0.9509146221003927,0.9230769230769231,0.9848675914249685,0.9836065573770492,tree_ExtremelyFastDecisionTreeClassifier
62,-10.875381231307983,-4.100799560546875e-05,-0.0001220703125,0.9838709677419355,0.99,0.99,0.9499192245557351,0.8460382822660053,0.9600000000000001,0.9836065573770493,0.976134598745995,0.9899494936611666,0.5570899353603378,0.9511127086814605,0.9230769230769231,0.9851116625310175,0.9838709677419355,0.9838709677419355,0.99,0.99,0.9499192245557351,0.8460382822660053,0.9600000000000001,0.9836065573770493,0.976134598745995,0.9899494936611666,0.5570899353603378,0.9511127086814605,0.9230769230769231,0.9851116625310175,0.9838709677419355,tree_ExtremelyFastDecisionTreeClassifier
63,-10.875552892684937,-4.9591064453125e-05,-0.0001220703125,0.9841269841269841,0.9901960784313725,0.9901960784313726,0.9501187648456055,0.8465341221221716,0.9600000000000001,0.9836065573770493,0.976651554119513,0.9901475429766743,0.5482472379736658,0.9513029883089882,0.9230769230769231,0.9853479853479854,0.9841269841269841,0.9841269841269841,0.9901960784313726,0.9901960784313726,0.9501187648456055,0.8465341221221716,0.9600000000000001,0.9836065573770493,0.976651554119513,0.9901475429766743,0.5482472379736658,0.9513029883089882,0.9230769230769231,0.9853479853479854,0.9841269841269841,tree_ExtremelyFastDecisionTreeClassifier
64,-10.875739336013794,-6.198883056640625e-05,-0.00012445449829101562,0.984375,0.9903846153846153,0.9903846153846154,0.9503105590062112,0.8470153979682322,0.9600000000000001,0.9836065573770493,0.9771478075271827,0.9903379376602871,0.5396808748803273,0.9514859136040756,0.9230769230769231,0.9855769230769231,0.984375,0.984375,0.9903846153846154,0.9903846153846154,0.9503105590062112,0.8470153979682322,0.9600000000000001,0.9836065573770493,0.9771478075271827,0.9903379376602871,0.5396808748803273,0.9514859136040756,0.9230769230769231,0.9855769230769231,0.984375,tree_ExtremelyFastDecisionTreeClassifier
65,-10.875900745391846,-4.124641418457031e-05,-0.0001201629638671875,0.9846153846153847,0.9905660377358491,0.9905660377358491,0.9504950495049507,0.8474828129496873,0.9600000000000001,0.9836065573770493,0.9776245179679004,0.9905211130872972,0.5313780921898608,0.9516619028617729,0.9230769230769231,0.9857988165680474,0.9846153846153847,0.9846153846153847,0.9905660377358491,0.9905660377358491,0.9504950495049507,0.8474828129496873,0.9600000000000001,0.9836065573770493,0.9776245179679004,0.9905211130872972,0.5313780921898608,0.9516619028617729,0.9230769230769231,0.9857988165680474,0.9846153846153847,tree_ExtremelyFastDecisionTreeClassifier
