Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-1.9850423336029053,-1.922222375869751,-0.0628199577331543,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ARFClassifier
2,-2.082465648651123,-0.04819536209106445,-0.04922795295715332,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ARFClassifier
3,-2.097548007965088,-0.005841732025146484,-0.00924062728881836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ARFClassifier
4,-2.190959930419922,-0.04593348503112793,-0.047478437423706055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ARFClassifier
5,-2.2830629348754883,-0.04634666442871094,-0.04575634002685547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,ARFClassifier
6,-2.3747618198394775,-0.046370744705200195,-0.04532814025878906,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7171371656006362,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7171371656006362,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,ARFClassifier
7,-2.4646177291870117,-0.043855905532836914,-0.046000003814697266,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.934110913558669,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,0.8571428571428571,0.5,0.75,0.5882352941176469,0.517107603971795,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.934110913558669,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,ARFClassifier
8,-2.5556180477142334,-0.04583311080932617,-0.04516720771789551,0.875,0.75,0.75,0.6,0.5400729331587272,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.3173470493638355,0.6546536707079772,1.0,0.8928571428571429,0.875,0.875,0.5,0.75,0.6,0.5400729331587272,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.3173470493638355,0.6546536707079772,1.0,0.8928571428571429,0.875,ARFClassifier
9,-2.559907913208008,-0.001939535140991211,-0.002350330352783203,0.8888888888888888,0.8333333333333333,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.8,0.7142857142857142,0.8040302522073697,0.816496580927726,3.8376418216567427,0.7559289460184544,1.0,0.9047619047619047,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.8,0.7142857142857142,0.8040302522073697,0.816496580927726,3.8376418216567427,0.7559289460184544,1.0,0.9047619047619047,0.8888888888888888,ARFClassifier
10,-2.5609631538391113,-0.0003123283386230469,-0.0007429122924804688,0.9,0.875,0.875,0.782608695652174,0.6317773733202856,0.8571428571428571,0.7894736842105263,0.8017837257372731,0.8660254037844387,3.4538776394910684,0.8017837257372732,1.0,0.9142857142857143,0.9,0.9,0.75,0.875,0.782608695652174,0.6317773733202856,0.8571428571428571,0.7894736842105263,0.8017837257372731,0.8660254037844387,3.4538776394910684,0.8017837257372732,1.0,0.9142857142857143,0.9,ARFClassifier
11,-2.65224552154541,-0.04486584663391113,-0.046416521072387695,0.9090909090909091,0.875,0.875,0.7924528301886792,0.6510204054960309,0.8571428571428571,0.7894736842105263,0.8295613557843402,0.8660254037844387,3.1398887631736985,0.8100925873009824,1.0,0.9204545454545454,0.9090909090909091,0.9090909090909091,0.75,0.875,0.7924528301886792,0.6510204054960309,0.8571428571428571,0.7894736842105263,0.8295613557843402,0.8660254037844387,3.1398887631736985,0.8100925873009824,1.0,0.9204545454545454,0.9090909090909091,ARFClassifier
12,-2.65618896484375,-0.0013000965118408203,-0.0026433467864990234,0.9166666666666666,0.9,0.9,0.8235294117647058,0.6724330420387323,0.888888888888889,0.8333333333333334,0.8316554899054914,0.8944271909999159,2.878231366242557,0.8366600265340755,1.0,0.9270833333333334,0.9166666666666666,0.9166666666666666,0.8,0.9,0.8235294117647058,0.6724330420387323,0.888888888888889,0.8333333333333334,0.8316554899054914,0.8944271909999159,2.878231366242557,0.8366600265340755,1.0,0.9270833333333334,0.9166666666666666,ARFClassifier
13,-2.659240961074829,-0.002096891403198242,-0.0009551048278808594,0.9230769230769231,0.9166666666666667,0.9166666666666667,0.8433734939759037,0.6878912569714515,0.9090909090909091,0.8620689655172415,0.8381440091756065,0.9128709291752769,2.656828953454668,0.8539125638299665,1.0,0.9326923076923077,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.9166666666666667,0.8433734939759037,0.6878912569714515,0.9090909090909091,0.8620689655172415,0.8381440091756065,0.9128709291752769,2.656828953454668,0.8539125638299665,1.0,0.9326923076923077,0.9230769230769231,ARFClassifier
14,-2.75262188911438,-0.04635047912597656,-0.04703044891357422,0.9285714285714286,0.9166666666666667,0.9166666666666667,0.851063829787234,0.7037273232888106,0.9090909090909091,0.8620689655172415,0.854418125785247,0.9128709291752769,2.4670554567793346,0.8606629658238705,1.0,0.9365079365079365,0.9285714285714286,0.9285714285714286,0.8333333333333334,0.9166666666666667,0.851063829787234,0.7037273232888106,0.9090909090909091,0.8620689655172415,0.854418125785247,0.9128709291752769,2.4670554567793346,0.8606629658238705,1.0,0.9365079365079365,0.9285714285714286,ARFClassifier
15,-2.8477752208709717,-0.04771900177001953,-0.047434329986572266,0.9333333333333333,0.9166666666666667,0.9166666666666667,0.8571428571428572,0.7168570747932703,0.9090909090909091,0.8620689655172415,0.8685431488567652,0.9128709291752769,2.302585092994046,0.8660254037844385,1.0,0.94,0.9333333333333333,0.9333333333333333,0.8333333333333334,0.9166666666666667,0.8571428571428572,0.7168570747932703,0.9090909090909091,0.8620689655172415,0.8685431488567652,0.9128709291752769,2.302585092994046,0.8660254037844385,1.0,0.94,0.9333333333333333,ARFClassifier
16,-2.9423232078552246,-0.04687619209289551,-0.04767179489135742,0.875,0.8571428571428572,0.8571428571428572,0.7377049180327869,0.5785723922965109,0.8333333333333333,0.7575757575757576,0.7721536910078924,0.8451542547285166,4.3173470493638355,0.7644707871564383,1.0,0.8977272727272727,0.875,0.875,0.8571428571428571,0.8571428571428572,0.7377049180327869,0.5785723922965109,0.8333333333333333,0.7575757575757576,0.7721536910078924,0.8451542547285166,4.3173470493638355,0.7644707871564383,1.0,0.8977272727272727,0.875,ARFClassifier
17,-3.037719964981079,-0.047249794006347656,-0.048146963119506836,0.8823529411764706,0.8571428571428572,0.8571428571428572,0.7462686567164178,0.5933520665941737,0.8333333333333333,0.7575757575757576,0.790695492614867,0.8451542547285166,4.063385458224786,0.7715167498104596,1.0,0.9019607843137255,0.8823529411764706,0.8823529411764706,0.8571428571428571,0.8571428571428572,0.7462686567164178,0.5933520665941737,0.8333333333333333,0.7575757575757576,0.790695492614867,0.8451542547285166,4.063385458224786,0.7715167498104596,1.0,0.9019607843137255,0.8823529411764706,ARFClassifier
18,-3.1301114559173584,-0.04701566696166992,-0.045375823974609375,0.8888888888888888,0.8571428571428572,0.8571428571428572,0.7534246575342465,0.6062224781191168,0.8333333333333333,0.7575757575757576,0.8070413802734555,0.8451542547285166,3.8376418216567427,0.7774288420142413,1.0,0.9059829059829059,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8571428571428572,0.7534246575342465,0.6062224781191168,0.8333333333333333,0.7575757575757576,0.8070413802734555,0.8451542547285166,3.8376418216567427,0.7774288420142413,1.0,0.9059829059829059,0.8888888888888888,ARFClassifier
19,-3.2247743606567383,-0.04712367057800293,-0.04753923416137695,0.8947368421052632,0.8571428571428572,0.8571428571428572,0.759493670886076,0.6175567245306849,0.8333333333333333,0.7575757575757576,0.8214297200755095,0.8451542547285166,3.635660673148493,0.7824607964359516,1.0,0.9097744360902255,0.8947368421052632,0.8947368421052632,0.8571428571428571,0.8571428571428572,0.759493670886076,0.6175567245306849,0.8333333333333333,0.7575757575757576,0.8214297200755095,0.8451542547285166,3.635660673148493,0.7824607964359516,1.0,0.9097744360902255,0.8947368421052632,ARFClassifier
20,-3.319451093673706,-0.048050642013549805,-0.04662609100341797,0.85,0.8125,0.8125,0.6666666666666666,0.5294171139835568,0.7692307692307693,0.6756756756756757,0.7598261644514579,0.7905694150420948,5.180816459236603,0.7071067811865475,1.0,0.8800000000000001,0.85,0.85,0.75,0.8125,0.6666666666666666,0.5294171139835568,0.7692307692307693,0.6756756756756757,0.7598261644514579,0.7905694150420948,5.180816459236603,0.7071067811865475,1.0,0.8800000000000001,0.85,ARFClassifier
21,-3.4338109493255615,-0.05121111869812012,-0.06314873695373535,0.8571428571428571,0.8125,0.8125,0.6735751295336786,0.5408346648143856,0.7692307692307693,0.6756756756756757,0.7752053897041836,0.7905694150420948,4.934110913558669,0.7126096406869614,1.0,0.8839285714285714,0.8571428571428571,0.8571428571428571,0.75,0.8125,0.6735751295336786,0.5408346648143856,0.7692307692307693,0.6756756756756757,0.7752053897041836,0.7905694150420948,4.934110913558669,0.7126096406869614,1.0,0.8839285714285714,0.8571428571428571,ARFClassifier
22,-3.5249125957489014,-0.044816017150878906,-0.04628562927246094,0.8636363636363636,0.8125,0.8125,0.6796116504854369,0.5511446750407547,0.7692307692307693,0.6756756756756757,0.7890116771820274,0.7905694150420948,4.709833144760548,0.7174300539794393,1.0,0.8877005347593584,0.8636363636363636,0.8636363636363636,0.75,0.8125,0.6796116504854369,0.5511446750407547,0.7692307692307693,0.6756756756756757,0.7890116771820274,0.7905694150420948,4.709833144760548,0.7174300539794393,1.0,0.8877005347593584,0.8636363636363636,ARFClassifier
23,-3.633586883544922,-0.05167126655578613,-0.057003021240234375,0.8695652173913043,0.8125,0.8125,0.684931506849315,0.5605138332873087,0.7692307692307693,0.6756756756756757,0.8014240750038374,0.7905694150420948,4.5050577906405245,0.7216878364870322,1.0,0.8913043478260869,0.8695652173913043,0.8695652173913043,0.75,0.8125,0.684931506849315,0.5605138332873087,0.7692307692307693,0.6756756756756757,0.8014240750038374,0.7905694150420948,4.5050577906405245,0.7216878364870322,1.0,0.8913043478260869,0.8695652173913043,ARFClassifier
24,-3.726025342941284,-0.04555201530456543,-0.046886444091796875,0.875,0.8125,0.8125,0.6896551724137931,0.5690760000221395,0.7692307692307693,0.6756756756756757,0.812608752671678,0.7905694150420948,4.317347049363836,0.7254762501100116,1.0,0.8947368421052632,0.875,0.875,0.75,0.8125,0.6896551724137931,0.5690760000221395,0.7692307692307693,0.6756756756756757,0.812608752671678,0.7905694150420948,4.317347049363836,0.7254762501100116,1.0,0.8947368421052632,0.875,ARFClassifier
25,-3.82675838470459,-0.04413294792175293,-0.056600093841552734,0.88,0.8125,0.8125,0.693877551020408,0.5769400261619666,0.7692307692307693,0.6756756756756757,0.8227148692576067,0.7905694150420948,4.144653167389283,0.7288689868556626,1.0,0.898,0.88,0.88,0.75,0.8125,0.693877551020408,0.5769400261619666,0.7692307692307693,0.6756756756756757,0.8227148692576067,0.7905694150420948,4.144653167389283,0.7288689868556626,1.0,0.898,0.88,ARFClassifier
