Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,4.945967435836792,4.15364933013916,0.7923181056976318,0.9895057852722218,0.9665010811414136,0.9665010811414135,0.9537775103936847,0.8816270579233663,0.9598076262452766,0.9448126606249155,0.9865866434370858,0.9659899870220213,0.3624587703070389,0.9542191164459218,0.9858856739590685,0.9894771427967682,0.9895057852722218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
2,5.871561527252197,0.3990037441253662,0.5265903472900391,0.9895067264573991,0.9665011884045432,0.9665011884045434,0.9537781323424671,0.8816303589525164,0.9598076262452766,0.9448126606249155,0.986588132948469,0.9659900908522057,0.36242626279400686,0.9542197267903887,0.9858856739590685,0.9894780794788343,0.9895067264573991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
3,7.121020555496216,0.40891432762145996,0.8405447006225586,0.9895076674737692,0.9665229029102809,0.9665229029102809,0.953805721288602,0.8816720346169983,0.9598352214212152,0.9448499594484996,0.9865873158134023,0.966012523047058,0.362393761111396,0.9542468011280095,0.9858956276445698,0.9894790917965014,0.9895076674737692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
4,7.897854804992676,0.3004724979400635,0.4763617515563965,0.9895086083213773,0.9665230101511961,0.9665230101511961,0.9538063431097888,0.8816753346834674,0.9598352214212152,0.9448499594484996,0.9865888051230177,0.9660126268581384,0.3623612652576378,0.9542474113538354,0.9858956276445698,0.9894800281372687,0.9895086083213773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
5,8.726040124893188,0.3874692916870117,0.440716028213501,0.989509549000269,0.9665231173699035,0.9665231173699036,0.9538069648027325,0.8816786342254235,0.9598352214212152,0.9448499594484996,0.9865902941106937,0.96601273064771,0.3623287752311644,0.954248021453954,0.9858956276445698,0.9894809643115798,0.989509549000269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
6,9.642733812332153,0.32782793045043945,0.5888657569885254,0.9895104895104895,0.9665448028455531,0.9665448028455532,0.9538345158963079,0.8817202623531524,0.9598627787307034,0.9448872078886937,0.9865894775451207,0.9660351323379597,0.3622962910304085,0.9542750589425734,0.9859055673009162,0.9894819760014871,0.9895104895104895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
7,10.43633246421814,0.32393383979797363,0.4696648120880127,0.9895114298520843,0.9665449100420599,0.96654491004206,0.9538351374617337,0.881723560933265,0.9598627787307034,0.9448872078886937,0.9865909663310621,0.9660352361084359,0.36226381265380336,0.9542756689241146,0.9859055673009162,0.9894829118347835,0.9895114298520843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
8,11.338011026382446,0.3011190891265869,0.6005594730377197,0.9895123700250986,0.9665450172163725,0.9665450172163728,0.953835758898995,0.8817268589891928,0.9598627787307034,0.9448872078886937,0.9865924547952462,0.9660353398574163,0.36223134009978275,0.9542762787800252,0.9859055673009162,0.9894838475017584,0.9895123700250986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
9,12.173014402389526,0.270587682723999,0.564415693283081,0.9895133100295779,0.966566673720111,0.9665666737201111,0.9538632722178592,0.8817684396664779,0.9598902982516285,0.9449244060475162,0.9865916387986821,0.9660577111052666,0.3621988733667811,0.9543032794948556,0.9859154929577465,0.9894848585645958,0.9895133100295779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
10,12.94304633140564,0.2561216354370117,0.5139102935791016,0.9895142498655674,0.9665883013099591,0.9665883013099592,0.9538907478382813,0.8818099738524642,0.9599177800616651,0.9449615540267098,0.9865908231309636,0.9660800519679544,0.3621664124532332,0.9543302434967691,0.9859254046446164,0.9894858693498013,0.9895142498655674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
11,13.710004329681396,0.30629634857177734,0.4606616497039795,0.9895151895331122,0.9665884084620849,0.966588408462085,0.9538913691487844,0.8818132705108357,0.9599177800616651,0.9449615540267098,0.9865923115132971,0.9660801557002469,0.3621339573575747,0.9543308532412351,0.9859254046446164,0.9894868045016465,0.9895151895331122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
12,14.74383282661438,0.24557781219482422,0.7882506847381592,0.989516129032258,0.9666100071959093,0.9666100071959094,0.9539188071488738,0.8818547578534254,0.9599452242382746,0.9449986519277433,0.9865914962941911,0.9661024662420484,0.3621015080782416,0.9543577806121393,0.9859353023909986,0.9894878148351562,0.989516129032258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
13,15.47657585144043,0.2633843421936035,0.4693586826324463,0.9895170683630499,0.966631577131422,0.9666315771314219,0.9539462076051637,0.8818961988729966,0.9599726308587068,0.9450356998518119,0.9865906814038685,0.9661247465222778,0.3620690646136705,0.9543846714196094,0.9859451862262825,0.9894888248916459,0.9895170683630499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
14,16.255780458450317,0.31624269485473633,0.46296191215515137,0.9895180075255331,0.9666316842613677,0.9666316842613676,0.9539468287889432,0.8818994941357907,0.9599726308587068,0.9450356998518119,0.986592169703948,0.9661248502378736,0.36203662696229855,0.954385281052626,0.9859451862262825,0.9894897595288143,0.9895180075255331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
15,17.01580500602722,0.2867119312286377,0.4733126163482666,0.9895189465197528,0.96663179136914,0.96663179136914,0.9539474498446765,0.8819027888750095,0.9599726308587068,0.9450356998518119,0.9865936576824882,0.9661249539319919,0.3620041951225635,0.9543858905601219,0.9859451862262825,0.989490693999979,0.9895189465197528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
16,17.848968982696533,0.3097093105316162,0.5234546661376953,0.9895198853457542,0.9666533325638991,0.9666533325638991,0.9539748128355284,0.881944182784695,0.9600000000000001,0.9450726978998386,0.986592843359978,0.9661472040169709,0.36197176909290363,0.9544127448926776,0.9859550561797753,0.9894917034314031,0.9895198853457542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
17,18.56462836265564,0.311687707901001,0.40397167205810547,0.9895208240035827,0.9666534396495051,0.9666534396495052,0.9539754337639338,0.8819474765653064,0.9600000000000001,0.9450726978998386,0.9865943311365528,0.9661473076920056,0.3619393488717578,0.9544133542817284,0.9859550561797753,0.9894926375625157,0.9895208240035827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
18,19.33408236503601,0.29952359199523926,0.46993041038513184,0.9895217624932832,0.9666535467129518,0.9666535467129518,0.9539760545643718,0.8819507698226697,0.9600000000000001,0.9450726978998386,0.9865958185917704,0.9661474113455757,0.3619069344575655,0.954413963545335,0.9859550561797753,0.9894935715277586,0.9895217624932832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
19,20.07565975189209,0.30954480171203613,0.43203258514404297,0.989522700814901,0.9666536537542461,0.966653653754246,0.9539766752368826,0.8819540625569252,0.9600000000000001,0.9450726978998386,0.9865973057257326,0.9661475149776876,0.36187452584876656,0.9544145726835361,0.9859550561797753,0.9894945053271761,0.989522700814901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
20,21.249040842056274,0.31876301765441895,0.8546180725097656,0.9895236389684814,0.9666751662656564,0.9666751662656564,0.9540040008397624,0.8819954090072981,0.9600273317389819,0.9451096461724741,0.986596492089875,0.9661697349311631,0.3618421230438016,0.9544413906223975,0.9859649122807017,0.9894955139602745,0.9895236389684814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
21,22.142938137054443,0.39777064323425293,0.496126651763916,0.9895245769540693,0.9666752732848047,0.9666752732848047,0.9540046213850617,0.8819987007839643,0.9600273317389819,0.9451096461724741,0.9865979790219856,0.9661698385442062,0.36180972604111167,0.9544419996422541,0.9859649122807017,0.9894964474200125,0.9895245769540693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
22,22.986555099487305,0.2937920093536377,0.5498249530792236,0.9895255147717099,0.9666753802818142,0.9666753802818142,0.9540052418025127,0.8820019920378491,0.9600273317389819,0.9451096461724741,0.9865994656330226,0.9661699421358042,0.36177733483913843,0.9544426085367812,0.9859649122807017,0.989497380714059,0.9895255147717099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
23,24.19047260284424,0.39942145347595215,0.8044960498809814,0.9895264524214484,0.966675487256692,0.9666754872566918,0.954005862092155,0.8820052827690924,0.9600273317389819,0.9451096461724741,0.986600951923087,0.9661700457059634,0.36174494943632407,0.9544432173060176,0.9859649122807017,0.9894983138424582,0.9895264524214484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
24,25.133681058883667,0.3047454357147217,0.638463020324707,0.9895273899033298,0.9666755942094443,0.9666755942094443,0.9540064822540275,0.8820085729778333,0.9600273317389819,0.9451096461724741,0.9866024378922807,0.9661701492546907,0.3617125698311114,0.9544438259500017,0.9859649122807017,0.9894992468052541,0.9895273899033298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
25,26.103226900100708,0.3562626838684082,0.6132831573486328,0.9895283272173991,0.9666757011400784,0.9666757011400784,0.9540071022881701,0.8820118626642118,0.9600273317389819,0.9451096461724741,0.986603923540705,0.9661702527819925,0.3616801960219436,0.9544444344687724,0.9859649122807017,0.9895001796024908,0.9895283272173991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
26,27.01176953315735,0.38977527618408203,0.5187673568725586,0.9895292643637015,0.9666758080486013,0.9666758080486013,0.954007722194622,0.8820151518283678,0.9600273317389819,0.9451096461724741,0.9866054088684612,0.9661703562878757,0.36164782800726475,0.9544450428623679,0.9859649122807017,0.9895011122342121,0.9895292643637015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.342326415634034e-15,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
