Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0013966560363769531,-0.0011827945709228516,-0.00021386146545410156,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
2,-0.0016436576843261719,-8.535385131835938e-05,-0.00016164779663085938,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
3,-0.0021355152130126953,-0.00017595291137695312,-0.0003159046173095703,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,linear_model_PAClassifier
4,-0.0023882389068603516,-7.510185241699219e-05,-0.00017762184143066406,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,linear_model_PAClassifier
5,-0.0026361942291259766,-7.772445678710938e-05,-0.00017023086547851562,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,linear_model_PAClassifier
6,-0.003396749496459961,-0.00018215179443359375,-0.0005784034729003906,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7171371656006362,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7171371656006362,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,linear_model_PAClassifier
7,-0.003761768341064453,-0.00010895729064941406,-0.0002560615539550781,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.934110913558669,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,0.8571428571428571,0.5,0.75,0.5882352941176469,0.517107603971795,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.934110913558669,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,linear_model_PAClassifier
8,-0.00412297248840332,-0.00012373924255371094,-0.00023746490478515625,0.875,0.75,0.75,0.6,0.5400729331587272,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.3173470493638355,0.6546536707079772,1.0,0.8928571428571429,0.875,0.875,0.5,0.75,0.6,0.5400729331587272,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.3173470493638355,0.6546536707079772,1.0,0.8928571428571429,0.875,linear_model_PAClassifier
9,-0.004656314849853516,-0.00022935867309570312,-0.0003039836883544922,0.8888888888888888,0.8333333333333333,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.8,0.7142857142857142,0.8040302522073697,0.816496580927726,3.8376418216567427,0.7559289460184544,1.0,0.9047619047619047,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.8,0.7142857142857142,0.8040302522073697,0.816496580927726,3.8376418216567427,0.7559289460184544,1.0,0.9047619047619047,0.8888888888888888,linear_model_PAClassifier
10,-0.00531768798828125,-0.00017905235290527344,-0.00048232078552246094,0.9,0.875,0.875,0.782608695652174,0.6317773733202856,0.8571428571428571,0.7894736842105263,0.8017837257372731,0.8660254037844387,3.4538776394910684,0.8017837257372732,1.0,0.9142857142857143,0.9,0.9,0.75,0.875,0.782608695652174,0.6317773733202856,0.8571428571428571,0.7894736842105263,0.8017837257372731,0.8660254037844387,3.4538776394910684,0.8017837257372732,1.0,0.9142857142857143,0.9,linear_model_PAClassifier
