Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0020542144775390625,-0.0018143653869628906,-0.00023984909057617188,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,linear_model_SoftmaxRegression
2,-0.002342700958251953,-0.00013518333435058594,-0.0001533031463623047,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,linear_model_SoftmaxRegression
3,-0.0029282569885253906,-0.00015735626220703125,-0.00042819976806640625,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.5773502691896257,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,1.0,0.5,0.7142857142857143,0.5773502691896257,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,linear_model_SoftmaxRegression
4,-0.003253459930419922,-0.00011587142944335938,-0.00020933151245117188,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7071067811865476,0.0,25.90468199425566,0.0,0.25,0.0625,0.25,0.25,0.0,0.5,0.0,1.0,0.4,0.625,0.7071067811865476,0.0,25.90468199425566,0.0,0.25,0.0625,0.25,linear_model_SoftmaxRegression
5,-0.0035238265991210938,-8.416175842285156e-05,-0.0001862049102783203,0.2,0.5,0.5,0.0,1.0,0.33333333333333337,0.5555555555555556,0.7745966692414834,0.0,27.631660793872705,0.0,0.2,0.04,0.2,0.2,0.0,0.5,0.0,1.0,0.33333333333333337,0.5555555555555556,0.7745966692414834,0.0,27.631660793872705,0.0,0.2,0.04,0.2,linear_model_SoftmaxRegression
6,-0.004105806350708008,-0.0001895427703857422,-0.0003924369812011719,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.6831300510639732,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.6831300510639732,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,linear_model_SoftmaxRegression
7,-0.004580974578857422,-0.0001163482666015625,-0.00035881996154785156,0.2857142857142857,0.5,0.5,0.0,1.0,0.4444444444444445,0.6666666666666666,0.7237468644557459,0.0,24.671125708814913,0.0,0.2857142857142857,0.08163265306122448,0.2857142857142857,0.2857142857142857,0.5,0.5,0.0,1.0,0.4444444444444445,0.6666666666666666,0.7237468644557459,0.0,24.671125708814913,0.0,0.2857142857142857,0.08163265306122448,0.2857142857142857,linear_model_SoftmaxRegression
8,-0.004953145980834961,-0.00012445449829101562,-0.00024771690368652344,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7559289460184544,0.0,25.904681994255657,0.0,0.25,0.0625,0.25,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7559289460184544,0.0,25.904681994255657,0.0,0.25,0.0625,0.25,linear_model_SoftmaxRegression
9,-0.005832195281982422,-0.0005481243133544922,-0.00033092498779296875,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.7071067811865476,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0,0.5,0.7142857142857143,0.7071067811865476,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,linear_model_SoftmaxRegression
10,-0.006303310394287109,-0.0001957416534423828,-0.0002753734588623047,0.4,0.5,0.5,0.0,1.0,0.5714285714285715,0.7692307692307692,0.6831300510639732,0.0,20.723745595404527,0.0,0.4,0.16,0.4,0.4,0.5,0.5,0.0,1.0,0.5714285714285715,0.7692307692307692,0.6831300510639732,0.0,20.723745595404527,0.0,0.4,0.16,0.4,linear_model_SoftmaxRegression
