Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0022611618041992188,-0.0020494461059570312,-0.0002117156982421875,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
2,-0.008204221725463867,-0.00015234947204589844,-0.00579071044921875,0.5,-0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,17.26978799617044,0.0,0.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,17.26978799617044,0.0,0.0,1.0,0.5,model_linear_ALMAClassifier
3,-0.008779764175415039,-0.0002620220184326172,-0.0003135204315185547,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.0,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.0,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,model_linear_ALMAClassifier
4,-0.010727643966674805,-9.083747863769531e-05,-0.0018570423126220703,0.5,0.6666666666666667,0.6666666666666666,0.2,0.15106563978903287,0.5,0.7142857142857143,0.3333333333333333,0.5773502691896257,17.26978799617044,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.5,0.3333333333333333,0.6666666666666666,0.2,0.15106563978903287,0.5,0.7142857142857143,0.3333333333333333,0.5773502691896257,17.26978799617044,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,model_linear_ALMAClassifier
5,-0.011026144027709961,-0.00010180473327636719,-0.00019669532775878906,0.6,0.75,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.408248290463863,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,0.6,0.5,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.408248290463863,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,model_linear_ALMAClassifier
6,-0.0116119384765625,-0.00025463104248046875,-0.0003311634063720703,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.4285714285714285,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.4285714285714285,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,model_linear_ALMAClassifier
7,-0.013338327407836914,-0.00020313262939453125,-0.0015232563018798828,0.7142857142857143,0.8,0.8,0.4615384615384616,0.2960654354758694,0.6666666666666666,0.8333333333333334,0.502518907629606,0.7745966692414834,9.868450283525966,0.5477225575051661,0.5,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8,0.8,0.4615384615384616,0.2960654354758694,0.6666666666666666,0.8333333333333334,0.502518907629606,0.7745966692414834,9.868450283525966,0.5477225575051661,0.5,0.8571428571428571,0.7142857142857143,model_linear_ALMAClassifier
8,-0.013779878616333008,-0.00017905235290527344,-0.0002624988555908203,0.75,0.8333333333333334,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.5773502691896258,0.816496580927726,8.634893998085222,0.5773502691896258,0.5,0.875,0.75,0.75,0.8333333333333334,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.5773502691896258,0.816496580927726,8.634893998085222,0.5773502691896258,0.5,0.875,0.75,model_linear_ALMAClassifier
9,-0.014659404754638672,-0.0005626678466796875,-0.00031685829162597656,0.7777777777777778,0.8333333333333334,0.8333333333333333,0.5714285714285714,0.3822903735532419,0.7499999999999999,0.8823529411764706,0.5892556509887896,0.816496580927726,7.6754613316313085,0.6324555320336759,0.6,0.8666666666666667,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333333,0.5714285714285714,0.3822903735532419,0.7499999999999999,0.8823529411764706,0.5892556509887896,0.816496580927726,7.6754613316313085,0.6324555320336759,0.6,0.8666666666666667,0.7777777777777778,model_linear_ALMAClassifier
10,-0.015140295028686523,-0.00019860267639160156,-0.00028228759765625,0.8,0.8333333333333334,0.8333333333333333,0.6153846153846155,0.43253806776631254,0.8,0.9090909090909091,0.6190476190476192,0.816496580927726,6.907915198468178,0.6666666666666669,0.6666666666666666,0.8666666666666666,0.8,0.8,0.8333333333333334,0.8333333333333333,0.6153846153846155,0.43253806776631254,0.8,0.9090909090909091,0.6190476190476192,0.816496580927726,6.907915198468178,0.6666666666666669,0.6666666666666666,0.8666666666666666,0.8,model_linear_ALMAClassifier
11,-0.015563011169433594,-0.00020074844360351562,-0.0002219676971435547,0.8181818181818182,0.8571428571428572,0.8571428571428572,0.6451612903225807,0.44744280677625714,0.8,0.9090909090909091,0.6543303050815759,0.8451542547285166,6.279922907698344,0.6900655593423544,0.6666666666666666,0.8787878787878788,0.8181818181818182,0.8181818181818182,0.8571428571428571,0.8571428571428572,0.6451612903225807,0.44744280677625714,0.8,0.9090909090909091,0.6543303050815759,0.8451542547285166,6.279922907698344,0.6900655593423544,0.6666666666666666,0.8787878787878788,0.8181818181818182,model_linear_ALMAClassifier
12,-0.016004562377929688,-0.00019359588623046875,-0.000247955322265625,0.8333333333333334,0.8571428571428572,0.8571428571428572,0.6756756756756758,0.4861689436335571,0.8333333333333333,0.9259259259259259,0.6774193548387097,0.8451542547285166,5.7565959987234825,0.7142857142857143,0.7142857142857143,0.8809523809523809,0.8333333333333334,0.8333333333333334,0.8285714285714286,0.8571428571428572,0.6756756756756758,0.4861689436335571,0.8333333333333333,0.9259259259259259,0.6774193548387097,0.8451542547285166,5.7565959987234825,0.7142857142857143,0.7142857142857143,0.8809523809523809,0.8333333333333334,model_linear_ALMAClassifier
13,-0.01651763916015625,-0.0001804828643798828,-0.0003325939178466797,0.8461538461538461,0.8571428571428572,0.8571428571428572,0.6976744186046512,0.5165006961400775,0.8571428571428571,0.9375,0.7029594915666377,0.8451542547285166,5.3137809218986,0.7319250547114,0.75,0.8846153846153846,0.8461538461538461,0.8461538461538461,0.8571428571428571,0.8571428571428572,0.6976744186046512,0.5165006961400775,0.8571428571428571,0.9375,0.7029594915666377,0.8451542547285166,5.3137809218986,0.7319250547114,0.75,0.8846153846153846,0.8461538461538461,model_linear_ALMAClassifier
14,-0.018546104431152344,-0.00024628639221191406,-0.0017821788787841797,0.7857142857142857,0.8125,0.8125,0.588235294117647,0.4199734093814024,0.8,0.9090909090909091,0.6295712505786031,0.7905694150420948,7.401337712644477,0.6454972243679026,0.6666666666666666,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8125,0.8125,0.588235294117647,0.4199734093814024,0.8,0.9090909090909091,0.6295712505786031,0.7905694150420948,7.401337712644477,0.6454972243679026,0.6666666666666666,0.8571428571428571,0.7857142857142857,model_linear_ALMAClassifier
15,-0.020162105560302734,-9.775161743164062e-05,-0.00151824951171875,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.4999999999999999,0.3524465495205018,0.7499999999999999,0.8823529411764706,0.5853225568382547,0.7453559924999299,9.21055359795757,0.5773502691896258,0.6,0.84,0.7333333333333333,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.4999999999999999,0.3524465495205018,0.7499999999999999,0.8823529411764706,0.5853225568382547,0.7453559924999299,9.21055359795757,0.5773502691896258,0.6,0.84,0.7333333333333333,model_linear_ALMAClassifier
16,-0.021988630294799805,-0.00020956993103027344,-0.0016169548034667969,0.75,0.7777777777777778,0.7777777777777778,0.5223880597014925,0.3778387311866185,0.7777777777777778,0.8974358974358974,0.6078656716445112,0.7453559924999299,8.634893998085223,0.5945883900105632,0.6363636363636364,0.8409090909090908,0.75,0.75,0.746031746031746,0.7777777777777778,0.5223880597014925,0.3778387311866185,0.7777777777777778,0.8974358974358974,0.6078656716445112,0.7453559924999299,8.634893998085223,0.5945883900105632,0.6363636363636364,0.8409090909090908,0.75,model_linear_ALMAClassifier
17,-0.022249937057495117,-6.842613220214844e-05,-0.00019288063049316406,0.7647058823529411,0.8,0.8,0.5526315789473683,0.39023454904784505,0.7777777777777778,0.8974358974358974,0.6179143806533247,0.7745966692414834,8.126959057021386,0.6179143806533247,0.6363636363636364,0.8502673796791443,0.7647058823529411,0.7647058823529411,0.7714285714285715,0.8,0.5526315789473683,0.39023454904784505,0.7777777777777778,0.8974358974358974,0.6179143806533247,0.7745966692414834,8.126959057021386,0.6179143806533247,0.6363636363636364,0.8502673796791443,0.7647058823529411,model_linear_ALMAClassifier
18,-0.022542715072631836,-9.751319885253906e-05,-0.0001952648162841797,0.7777777777777778,0.8181818181818181,0.8181818181818181,0.5764705882352942,0.40056399894553907,0.7777777777777778,0.8974358974358974,0.631578947368421,0.7977240352174656,7.675461331631309,0.6363636363636362,0.6363636363636364,0.8585858585858586,0.7777777777777778,0.7777777777777778,0.7922077922077922,0.8181818181818181,0.5764705882352942,0.40056399894553907,0.7777777777777778,0.8974358974358974,0.631578947368421,0.7977240352174656,7.675461331631309,0.6363636363636362,0.6363636363636364,0.8585858585858586,0.7777777777777778,model_linear_ALMAClassifier
19,-0.024245023727416992,-9.72747802734375e-05,-0.0016050338745117188,0.7368421052631579,0.7916666666666666,0.7916666666666667,0.5077720207253886,0.34818772528270536,0.7368421052631579,0.875,0.5977011494252874,0.7637626158259734,9.089362103247602,0.5833333333333334,0.5833333333333334,0.8464912280701754,0.7368421052631579,0.7368421052631579,0.7619047619047619,0.7916666666666667,0.5077720207253886,0.34818772528270536,0.7368421052631579,0.875,0.5977011494252874,0.7637626158259734,9.089362103247602,0.5833333333333334,0.5833333333333334,0.8464912280701754,0.7368421052631579,model_linear_ALMAClassifier
20,-0.02507162094116211,-0.00019431114196777344,-0.0006322860717773438,0.75,0.7916666666666666,0.7916666666666667,0.5283018867924528,0.37057985164223395,0.761904761904762,0.888888888888889,0.6116042400116042,0.7637626158259734,8.634893998085222,0.5991446895152781,0.6153846153846154,0.8461538461538461,0.75,0.75,0.7916666666666666,0.7916666666666667,0.5283018867924528,0.37057985164223395,0.761904761904762,0.888888888888889,0.6116042400116042,0.7637626158259734,8.634893998085222,0.5991446895152781,0.6153846153846154,0.8461538461538461,0.75,model_linear_ALMAClassifier
21,-0.025393247604370117,-0.0001595020294189453,-0.0001621246337890625,0.7619047619047619,0.8076923076923077,0.8076923076923077,0.5493562231759656,0.3793221487489298,0.761904761904762,0.888888888888889,0.6226415094339622,0.7844645405527362,8.223708569604973,0.6153846153846153,0.6153846153846154,0.8534798534798534,0.7619047619047619,0.7619047619047619,0.8076923076923077,0.8076923076923077,0.5493562231759656,0.3793221487489298,0.761904761904762,0.888888888888889,0.6226415094339622,0.7844645405527362,8.223708569604973,0.6153846153846153,0.6153846153846154,0.8534798534798534,0.7619047619047619,model_linear_ALMAClassifier
22,-0.027324438095092773,-0.00013446807861328125,-0.001796722412109375,0.7272727272727273,0.7857142857142857,0.7857142857142857,0.49230769230769234,0.3370099641019665,0.7272727272727273,0.8695652173913042,0.5966386554621849,0.7559289460184544,9.419884361547515,0.5714285714285714,0.5714285714285714,0.8441558441558441,0.7272727272727273,0.7272727272727273,0.7857142857142857,0.7857142857142857,0.49230769230769234,0.3370099641019665,0.7272727272727273,0.8695652173913042,0.5966386554621849,0.7559289460184544,9.419884361547515,0.5714285714285714,0.5714285714285714,0.8441558441558441,0.7272727272727273,model_linear_ALMAClassifier
23,-0.0277557373046875,-0.00018644332885742188,-0.0002448558807373047,0.7391304347826086,0.8,0.8,0.5106382978723403,0.34423679202323265,0.7272727272727273,0.8695652173913042,0.6078541839111004,0.7745966692414834,9.010324171915014,0.5855400437691199,0.5714285714285714,0.8509316770186335,0.7391304347826086,0.7391304347826086,0.8,0.8,0.5106382978723403,0.34423679202323265,0.7272727272727273,0.8695652173913042,0.6078541839111004,0.7745966692414834,9.010324171915014,0.5855400437691199,0.5714285714285714,0.8509316770186335,0.7391304347826086,model_linear_ALMAClassifier
24,-0.029841184616088867,-0.00014829635620117188,-0.0019371509552001953,0.7083333333333334,0.78125,0.78125,0.46153846153846156,0.3093991445830566,0.6956521739130436,0.851063829787234,0.5884079226675369,0.75,10.074042997766092,0.5477225575051661,0.5333333333333333,0.8444444444444444,0.7083333333333334,0.7083333333333334,0.78125,0.78125,0.46153846153846156,0.3093991445830566,0.6956521739130436,0.851063829787234,0.5884079226675369,0.75,10.074042997766092,0.5477225575051661,0.5333333333333333,0.8444444444444444,0.7083333333333334,model_linear_ALMAClassifier
25,-0.030154943466186523,-0.00011944770812988281,-0.00019431114196777344,0.72,0.7941176470588236,0.7941176470588236,0.47761194029850734,0.31547071528139703,0.6956521739130436,0.851063829787234,0.599322110279538,0.7669649888473704,9.671081277855448,0.560112033611204,0.5333333333333333,0.8506666666666667,0.72,0.72,0.7941176470588235,0.7941176470588236,0.47761194029850734,0.31547071528139703,0.6956521739130436,0.851063829787234,0.599322110279538,0.7669649888473704,9.671081277855448,0.560112033611204,0.5333333333333333,0.8506666666666667,0.72,model_linear_ALMAClassifier
26,-0.030658721923828125,-0.00022077560424804688,-0.0002830028533935547,0.7307692307692307,0.8055555555555556,0.8055555555555556,0.49162011173184356,0.3209205434584588,0.6956521739130436,0.851063829787234,0.611130643138949,0.7817359599705717,9.299116613322546,0.5708992257184503,0.5333333333333333,0.8564102564102564,0.7307692307692307,0.7307692307692307,0.8055555555555556,0.8055555555555556,0.49162011173184356,0.3209205434584588,0.6956521739130436,0.851063829787234,0.611130643138949,0.7817359599705717,9.299116613322546,0.5708992257184503,0.5333333333333333,0.8564102564102564,0.7307692307692307,model_linear_ALMAClassifier
