Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002720355987548828,0.0001049041748046875,0.0001671314239501953,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
2,0.00038695335388183594,3.6716461181640625e-05,7.82012939453125e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
3,0.0007784366607666016,6.914138793945312e-05,0.0003223419189453125,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
4,0.0009589195251464844,5.364418029785156e-05,0.00012683868408203125,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
5,0.0011615753173828125,6.556510925292969e-05,0.00013709068298339844,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
6,0.0015554428100585938,0.00013518333435058594,0.0002586841583251953,0.0,-0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,OneVsOneClassifier
7,0.0017843246459960938,7.915496826171875e-05,0.00014972686767578125,0.0,-0.0,0.0,-0.6,0.0,0.0,0.0,1.0,0.0,34.53937609298333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,1.0,0.0,34.53937609298333,-1.0,0.0,0.0,0.0,OneVsOneClassifier
8,0.0020651817321777344,8.916854858398438e-05,0.00019168853759765625,0.2,0.125,0.125,-0.4285714285714287,0.0,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,0.2,0.0,0.125,-0.4285714285714287,0.0,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,OneVsOneClassifier
9,0.0024573802947998047,0.00012993812561035156,0.00026226043701171875,0.16666666666666666,0.125,0.125,-0.6666666666666667,0.0,0.0,0.0,0.6172133998483675,0.0,28.78271346114067,-0.7071067811865475,0.0,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.125,0.125,-0.6666666666666667,0.0,0.0,0.0,0.6172133998483675,0.0,28.78271346114067,-0.7071067811865475,0.0,0.2222222222222222,0.16666666666666666,OneVsOneClassifier
10,0.002748250961303711,9.560585021972656e-05,0.0001952648162841797,0.14285714285714285,0.125,0.125,-0.7499999999999997,0.0,0.0,0.0,0.6666666666666666,0.0,29.605008165964957,-0.7499999999999999,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.125,-0.7499999999999997,0.0,0.0,0.0,0.6666666666666666,0.0,29.605008165964957,-0.7499999999999999,0.0,0.14285714285714285,0.14285714285714285,OneVsOneClassifier
