Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0007128715515136719,7.033348083496094e-05,0.0006425380706787109,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsRestClassifier
2,0.0008840560913085938,4.1961669921875e-05,0.00012922286987304688,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OneVsRestClassifier
3,0.0016407966613769531,7.653236389160156e-05,0.0006802082061767578,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,OneVsRestClassifier
4,0.0018591880798339844,5.888938903808594e-05,0.0001595020294189453,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.25,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,OneVsRestClassifier
5,0.002104043960571289,7.224082946777344e-05,0.00017261505126953125,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,OneVsRestClassifier
6,0.0025594234466552734,0.00013375282287597656,0.0003216266632080078,0.4,0.33333333333333337,0.3333333333333333,-0.36363636363636376,0.0,0.0,0.0,0.408248290463863,0.0,20.723425756432448,-0.408248290463863,0.0,0.3,0.4,0.4,0.3333333333333333,0.3333333333333333,-0.36363636363636376,0.0,0.0,0.0,0.408248290463863,0.0,20.723425756432448,-0.408248290463863,0.0,0.3,0.4,OneVsRestClassifier
7,0.0029113292694091797,8.249282836914062e-05,0.0002694129943847656,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,OneVsRestClassifier
8,0.003234386444091797,9.298324584960938e-05,0.0002300739288330078,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,OneVsRestClassifier
9,0.0036504268646240234,0.00013494491577148438,0.0002810955047607422,0.5,0.4,0.4,-0.23076923076923078,0.0,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,0.5,0.26666666666666666,0.4,-0.23076923076923078,0.0,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,OneVsRestClassifier
10,0.003989458084106445,9.942054748535156e-05,0.0002396106719970703,0.4444444444444444,0.4,0.4,-0.2162162162162162,0.0,0.0,0.0,0.5669467095138407,0.0,19.188297952442625,-0.31622776601683794,0.0,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.4,0.4,-0.2162162162162162,0.0,0.0,0.0,0.5669467095138407,0.0,19.188297952442625,-0.31622776601683794,0.0,0.2777777777777778,0.4444444444444444,OneVsRestClassifier
