Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00037741661071777344,0.00011205673217773438,0.00026535987854003906,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
2,0.0005383491516113281,4.649162292480469e-05,0.00011444091796875,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
3,0.0008141994476318359,8.58306884765625e-05,0.0001900196075439453,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,Perceptron
4,0.0009968280792236328,5.316734313964844e-05,0.00012946128845214844,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,Perceptron
5,0.0011970996856689453,6.4849853515625e-05,0.0001354217529296875,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,Perceptron
6,0.0015838146209716797,0.0001266002655029297,0.0002601146697998047,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,Perceptron
7,0.0018117427825927734,7.486343383789062e-05,0.00015306472778320312,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,Perceptron
8,0.0020821094512939453,8.654594421386719e-05,0.0001838207244873047,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,Perceptron
9,0.0025568008422851562,0.00013113021850585938,0.00034356117248535156,0.5555555555555556,0.4166666666666667,0.4166666666666667,-0.19999999999999965,0.0,0.0,0.0,0.5790660241435862,0.0,15.35065613078588,-0.24999999999999994,0.0,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.4166666666666667,-0.19999999999999965,0.0,0.0,0.0,0.5790660241435862,0.0,15.35065613078588,-0.24999999999999994,0.0,0.4166666666666667,0.5555555555555556,Perceptron
10,0.0028464794158935547,9.250640869140625e-05,0.0001971721649169922,0.6,0.5416666666666667,0.5416666666666667,0.09090909090909075,0.25,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,0.6,0.4166666666666667,0.5416666666666667,0.09090909090909075,0.25,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,Perceptron
