Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00017118453979492188,8.392333984375e-05,8.726119995117188e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomSampler
2,0.0002543926239013672,5.0067901611328125e-05,3.314018249511719e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomSampler
3,0.0005321502685546875,8.177757263183594e-05,0.00019598007202148438,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomSampler
4,0.0008716583251953125,0.000225067138671875,0.00011444091796875,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,RandomSampler
5,0.0012166500091552734,0.0002009868621826172,0.00014400482177734375,0.5,-0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,17.26978799617044,0.0,0.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,17.26978799617044,0.0,0.0,1.0,0.5,RandomSampler
6,0.0017697811126708984,0.0002887248992919922,0.0002644062042236328,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.25,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,RandomSampler
7,0.0020797252655029297,0.0002772808074951172,3.266334533691406e-05,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,RandomSampler
8,0.0024099349975585938,0.00028443336486816406,4.57763671875e-05,0.4,0.25,0.25,-0.36363636363636376,0.0,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,0.4,0.0,0.25,-0.36363636363636376,0.0,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,RandomSampler
9,0.002990245819091797,0.0005254745483398438,5.4836273193359375e-05,0.5,0.5,0.5,0.0,0.5,0.4,0.45454545454545453,0.3086066999241838,0.5,17.26965472993207,0.0,0.3333333333333333,0.5555555555555555,0.5,0.5,0.25,0.5,0.0,0.5,0.4,0.45454545454545453,0.3086066999241838,0.5,17.26965472993207,0.0,0.3333333333333333,0.5555555555555555,0.5,RandomSampler
10,0.0033240318298339844,0.00029969215393066406,3.409385681152344e-05,0.5714285714285714,0.5833333333333333,0.5833333333333333,0.16000000000000003,0.6666666666666666,0.5714285714285715,0.625,0.3333333333333333,0.5773502691896257,14.802561197084632,0.16666666666666674,0.5,0.5952380952380951,0.5714285714285714,0.5714285714285714,0.5,0.5833333333333333,0.16000000000000003,0.6666666666666666,0.5714285714285715,0.625,0.3333333333333333,0.5773502691896257,14.802561197084632,0.16666666666666674,0.5,0.5952380952380951,0.5714285714285714,RandomSampler
11,0.004239320755004883,0.0004496574401855469,0.00046563148498535156,0.625,0.6333333333333333,0.6333333333333333,0.25,0.6666666666666666,0.5714285714285715,0.625,0.40032038451271784,0.6324555320336759,12.952241047449053,0.2581988897471611,0.5,0.65625,0.625,0.625,0.5333333333333333,0.6333333333333333,0.25,0.6666666666666666,0.5714285714285715,0.625,0.40032038451271784,0.6324555320336759,12.952241047449053,0.2581988897471611,0.5,0.65625,0.625,RandomSampler
12,0.0046520233154296875,0.00035452842712402344,5.817413330078125e-05,0.6666666666666666,0.675,0.675,0.3414634146341463,0.75,0.6666666666666665,0.7142857142857143,0.43750000000000006,0.6708203932499369,11.513103153288048,0.35,0.6,0.6833333333333333,0.6666666666666666,0.6666666666666666,0.55,0.675,0.3414634146341463,0.75,0.6666666666666665,0.7142857142857143,0.43750000000000006,0.6708203932499369,11.513103153288048,0.35,0.6,0.6833333333333333,0.6666666666666666,RandomSampler
13,0.005447864532470703,0.0003559589385986328,0.0004398822784423828,0.7,0.7000000000000001,0.7,0.3999999999999999,0.8,0.7272727272727272,0.7692307692307692,0.48795003647426666,0.6928203230275509,10.361792837959243,0.4082482904638632,0.6666666666666666,0.7083333333333334,0.7,0.7,0.64,0.7,0.3999999999999999,0.8,0.7272727272727272,0.7692307692307692,0.48795003647426666,0.6928203230275509,10.361792837959243,0.4082482904638632,0.6666666666666666,0.7083333333333334,0.7,RandomSampler
14,0.006091117858886719,0.00035381317138671875,0.0002894401550292969,0.6363636363636364,0.65,0.65,0.29032258064516137,0.8,0.6666666666666666,0.7407407407407408,0.4618802153517006,0.6324555320336759,12.55977312472121,0.3105295017040596,0.5714285714285714,0.6688311688311689,0.6363636363636364,0.6363636363636364,0.6,0.65,0.29032258064516137,0.8,0.6666666666666666,0.7407407407407408,0.4618802153517006,0.6324555320336759,12.55977312472121,0.3105295017040596,0.5714285714285714,0.6688311688311689,0.6363636363636364,RandomSampler
