Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003821849822998047,5.626678466796875e-05,0.00032591819763183594,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_BOLEClassifier
2,0.0007791519165039062,9.036064147949219e-05,0.0003066062927246094,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BOLEClassifier
3,0.0014481544494628906,0.00012135505676269531,0.0005476474761962891,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,ensemble_BOLEClassifier
4,0.0021698474884033203,0.0001456737518310547,0.000576019287109375,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BOLEClassifier
5,0.0026662349700927734,0.00015091896057128906,0.00034546852111816406,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_BOLEClassifier
6,0.0035903453826904297,0.0001575946807861328,0.0007665157318115234,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,ensemble_BOLEClassifier
7,0.004509925842285156,0.00016164779663085938,0.0007579326629638672,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.0,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,ensemble_BOLEClassifier
8,0.005335330963134766,0.0001704692840576172,0.0006549358367919922,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_BOLEClassifier
9,0.006184101104736328,0.00017213821411132812,0.0006766319274902344,0.5,0.4,0.4,-0.23076923076923078,0.0,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,0.5,0.26666666666666666,0.4,-0.23076923076923078,0.0,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,ensemble_BOLEClassifier
10,0.0068547725677490234,0.0001811981201171875,0.0004894733428955078,0.5555555555555556,0.525,0.525,0.05263157894736842,0.25,0.3333333333333333,0.2777777777777778,0.4797016118001235,0.447213595499958,15.35065613078588,0.059761430466719674,0.5,0.5396825396825398,0.5555555555555556,0.5555555555555556,0.4,0.525,0.05263157894736842,0.25,0.3333333333333333,0.2777777777777778,0.4797016118001235,0.447213595499958,15.35065613078588,0.059761430466719674,0.5,0.5396825396825398,0.5555555555555556,ensemble_BOLEClassifier
11,0.007842302322387695,0.00018978118896484375,0.0007977485656738281,0.5,0.4583333333333334,0.4583333333333333,-0.08695652173913052,0.25,0.28571428571428575,0.2631578947368421,0.445435403187374,0.408248290463863,17.26954811694138,-0.08908708063747475,0.3333333333333333,0.47619047619047616,0.5,0.5,0.3333333333333333,0.4583333333333333,-0.08695652173913052,0.25,0.28571428571428575,0.2631578947368421,0.445435403187374,0.408248290463863,17.26954811694138,-0.08908708063747475,0.3333333333333333,0.47619047619047616,0.5,ensemble_BOLEClassifier
12,0.008647918701171875,0.00018596649169921875,0.0006196498870849609,0.45454545454545453,0.43333333333333335,0.43333333333333335,-0.13793103448275848,0.2,0.25,0.21739130434782608,0.4669737852696148,0.36514837167011077,18.839477960393136,-0.14907119849998593,0.3333333333333333,0.42424242424242425,0.45454545454545453,0.45454545454545453,0.4,0.43333333333333335,-0.13793103448275848,0.2,0.25,0.21739130434782608,0.4669737852696148,0.36514837167011077,18.839477960393136,-0.14907119849998593,0.3333333333333333,0.42424242424242425,0.45454545454545453,ensemble_BOLEClassifier
13,0.009366750717163086,0.0001819133758544922,0.0005369186401367188,0.5,0.5,0.5,0.0,0.3333333333333333,0.4,0.3571428571428571,0.43835700375960457,0.4714045207910317,17.269521463693707,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.4,0.3571428571428571,0.43835700375960457,0.4714045207910317,17.269521463693707,0.0,0.5,0.5,0.5,ensemble_BOLEClassifier
