Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.002307415008544922,0.00022292137145996094,0.002084493637084961,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
2,0.004403114318847656,0.00014400482177734375,0.0019516944885253906,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
3,0.007378339767456055,0.00029659271240234375,0.0026786327362060547,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_LeveragingBaggingClassifier
4,0.009611368179321289,0.0001621246337890625,0.002070903778076172,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_LeveragingBaggingClassifier
5,0.011833429336547852,0.00018477439880371094,0.0020372867584228516,0.6,0.375,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,ensemble_LeveragingBaggingClassifier
6,0.017413616180419922,0.00042366981506347656,0.005156517028808594,0.6666666666666666,0.625,0.625,0.24999999999999986,0.5,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.625,0.24999999999999986,0.5,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,ensemble_LeveragingBaggingClassifier
7,0.020071744918823242,0.0002129077911376953,0.002445220947265625,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,ensemble_LeveragingBaggingClassifier
8,0.0236051082611084,0.00026297569274902344,0.003270387649536133,0.625,0.5833333333333334,0.5833333333333333,0.14285714285714285,0.5,0.4,0.45454545454545453,0.4853626716970755,0.5773502691896257,12.952241047449055,0.14907119849998599,0.3333333333333333,0.6833333333333333,0.625,0.625,0.3333333333333333,0.5833333333333333,0.14285714285714285,0.5,0.4,0.45454545454545453,0.4853626716970755,0.5773502691896257,12.952241047449055,0.14907119849998599,0.3333333333333333,0.6833333333333333,0.625,ensemble_LeveragingBaggingClassifier
9,0.028481006622314453,0.0003724098205566406,0.004503488540649414,0.5555555555555556,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4714045207910317,15.350744974944792,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4714045207910317,15.350744974944792,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,ensemble_LeveragingBaggingClassifier
10,0.032439231872558594,0.0003006458282470703,0.0036575794219970703,0.5,0.4583333333333334,0.4583333333333333,-0.08695652173913052,0.25,0.28571428571428575,0.2631578947368421,0.445435403187374,0.408248290463863,17.26954811694138,-0.08908708063747475,0.3333333333333333,0.47619047619047616,0.5,0.5,0.3333333333333333,0.4583333333333333,-0.08695652173913052,0.25,0.28571428571428575,0.2631578947368421,0.445435403187374,0.408248290463863,17.26954811694138,-0.08908708063747475,0.3333333333333333,0.47619047619047616,0.5,ensemble_LeveragingBaggingClassifier
