Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.06122779846191406,0.007606029510498047,0.053621768951416016,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
2,0.11717581748962402,0.007245302200317383,0.04870271682739258,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
3,0.2075812816619873,0.011017799377441406,0.07938766479492188,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_voting
4,0.27748703956604004,0.010977506637573242,0.05892825126647949,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_voting
5,0.3509705066680908,0.01124882698059082,0.06223464012145996,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_voting
6,0.4649679660797119,0.01753687858581543,0.09646058082580566,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_voting
7,0.5491442680358887,0.012939691543579102,0.07123661041259766,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_voting
8,0.6440203189849854,0.016104698181152344,0.07877135276794434,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_voting
9,0.7524445056915283,0.017811298370361328,0.09061288833618164,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_voting
10,0.84153151512146,0.015270709991455078,0.07381629943847656,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,ensemble_voting
11,0.9574477672576904,0.019630908966064453,0.09628534317016602,0.6363636363636364,0.5,0.5,0.0,0.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,0.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,ensemble_voting
