Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0006334781646728516,0.00012111663818359375,0.0005123615264892578,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HardSamplingClassifier
2,0.0011157989501953125,0.0001404285430908203,0.0003418922424316406,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,HardSamplingClassifier
3,0.0016794204711914062,0.0001895427703857422,0.00037407875061035156,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,HardSamplingClassifier
4,0.002329111099243164,0.0003218650817871094,0.00032782554626464844,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,HardSamplingClassifier
5,0.0029380321502685547,0.0002505779266357422,0.00035834312438964844,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,HardSamplingClassifier
6,0.0037641525268554688,0.0003266334533691406,0.0004994869232177734,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,HardSamplingClassifier
7,0.004521608352661133,0.0003151893615722656,0.00044226646423339844,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,HardSamplingClassifier
8,0.005423545837402344,0.0003466606140136719,0.0005552768707275391,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,HardSamplingClassifier
9,0.00665736198425293,0.0004153251647949219,0.0008184909820556641,0.625,0.5,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,0.625,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,HardSamplingClassifier
10,0.007550954818725586,0.00037980079650878906,0.0005137920379638672,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,HardSamplingClassifier
11,0.008453130722045898,0.0003924369812011719,0.0005097389221191406,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,HardSamplingClassifier
12,0.010360479354858398,0.0004572868347167969,0.0014500617980957031,0.6363636363636364,0.6,0.6,0.21428571428571427,0.2533529380070312,0.33333333333333337,0.23809523809523808,0.626099033699941,0.447213595499958,12.559555052694794,0.3464101615137755,1.0,0.7818181818181817,0.6363636363636364,0.6363636363636364,0.6,0.6,0.21428571428571427,0.2533529380070312,0.33333333333333337,0.23809523809523808,0.626099033699941,0.447213595499958,12.559555052694794,0.3464101615137755,1.0,0.7818181818181817,0.6363636363636364,HardSamplingClassifier
13,0.011565208435058594,0.00048661231994628906,0.0007181167602539062,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333326,0.2936429548646673,0.5,0.3846153846153846,0.592220092263982,0.5773502691896257,11.512925464970229,0.4472135954999579,1.0,0.7999999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333326,0.2936429548646673,0.5,0.3846153846153846,0.592220092263982,0.5773502691896257,11.512925464970229,0.4472135954999579,1.0,0.7999999999999999,0.6666666666666666,HardSamplingClassifier
14,0.012675285339355469,0.0004901885986328125,0.0006198883056640625,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,HardSamplingClassifier
