Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0004737377166748047,8.296966552734375e-05,0.00039076805114746094,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
2,0.0006566047668457031,4.2438507080078125e-05,0.0001404285430908203,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
3,0.0010526180267333984,0.00012063980102539062,0.0002753734588623047,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
4,0.0012936592102050781,9.512901306152344e-05,0.00014591217041015625,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,LogisticRegression
5,0.001556396484375,0.00010347366333007812,0.00015926361083984375,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,LogisticRegression
6,0.0019762516021728516,0.00014090538024902344,0.0002789497375488281,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
7,0.0022385120391845703,8.440017700195312e-05,0.00017786026000976562,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,LogisticRegression
8,0.002535581588745117,9.72747802734375e-05,0.00019979476928710938,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,LogisticRegression
9,0.0030214786529541016,0.00013709068298339844,0.00034880638122558594,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,LogisticRegression
10,0.003357410430908203,0.000102996826171875,0.00023293495178222656,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,LogisticRegression
11,0.0037200450897216797,9.465217590332031e-05,0.00026798248291015625,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,LogisticRegression
12,0.0041294097900390625,0.00010919570922851562,0.0003001689910888672,0.5833333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,0.5833333333333334,0.4,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,LogisticRegression
13,0.004653215408325195,0.0001423358917236328,0.0003814697265625,0.6153846153846154,0.5833333333333334,0.5833333333333334,0.1772151898734179,0.23318777267508517,0.2857142857142857,0.19999999999999996,0.6359727033932191,0.408248290463863,13.28414476727334,0.3118047822311618,1.0,0.7756410256410255,0.6153846153846154,0.6153846153846154,0.5,0.5833333333333334,0.1772151898734179,0.23318777267508517,0.2857142857142857,0.19999999999999996,0.6359727033932191,0.408248290463863,13.28414476727334,0.3118047822311618,1.0,0.7756410256410255,0.6153846153846154,LogisticRegression
14,0.005011796951293945,0.00011777877807617188,0.00024080276489257812,0.5714285714285714,0.5208333333333334,0.5208333333333334,0.0454545454545455,0.004197400262474615,0.25,0.1923076923076923,0.5775506336826226,0.38188130791298663,14.802389854778163,0.058925565098878994,0.5,0.5476190476190477,0.5714285714285714,0.5714285714285714,0.4375,0.5208333333333334,0.0454545454545455,0.004197400262474615,0.25,0.1923076923076923,0.5775506336826226,0.38188130791298663,14.802389854778163,0.058925565098878994,0.5,0.5476190476190477,0.5714285714285714,LogisticRegression
15,0.0052318572998046875,6.818771362304688e-05,0.0001518726348876953,0.6,0.5277777777777778,0.5277777777777778,0.06249999999999989,0.008023761253072026,0.25,0.1923076923076923,0.5986665085700842,0.38490017945975047,13.81556386445962,0.08006407690254354,0.5,0.5692307692307692,0.6,0.6,0.4444444444444444,0.5277777777777778,0.06249999999999989,0.008023761253072026,0.25,0.1923076923076923,0.5986665085700842,0.38490017945975047,13.81556386445962,0.08006407690254354,0.5,0.5692307692307692,0.6,LogisticRegression
16,0.0055201053619384766,9.632110595703125e-05,0.0001919269561767578,0.5625,0.5158730158730158,0.5158730158730158,0.034482758620689655,0.0029891382316387105,0.22222222222222224,0.16666666666666666,0.5937957899160655,0.3563483225498992,15.110764647612811,0.047619047619047616,0.5,0.5401785714285714,0.5625,0.5625,0.5079365079365079,0.5158730158730158,0.034482758620689655,0.0029891382316387105,0.22222222222222224,0.16666666666666666,0.5937957899160655,0.3563483225498992,15.110764647612811,0.047619047619047616,0.5,0.5401785714285714,0.5625,LogisticRegression
17,0.005729198455810547,6.222724914550781e-05,0.0001468658447265625,0.5882352941176471,0.5214285714285714,0.5214285714285715,0.048000000000000216,0.005835979793157975,0.22222222222222224,0.16666666666666666,0.6097408273199832,0.35856858280031806,14.221896138929704,0.06546536707079771,0.5,0.5588235294117647,0.5882352941176471,0.5882352941176471,0.5142857142857142,0.5214285714285715,0.048000000000000216,0.005835979793157975,0.22222222222222224,0.16666666666666666,0.6097408273199832,0.35856858280031806,14.221896138929704,0.06546536707079771,0.5,0.5588235294117647,0.5882352941176471,LogisticRegression
18,0.006079912185668945,8.177757263183594e-05,0.0002689361572265625,0.6111111111111112,0.5259740259740259,0.525974025974026,0.05970149253731369,0.009104416167124096,0.22222222222222224,0.16666666666666666,0.6256792741924412,0.3603749850782236,13.431790797878055,0.08058229640253803,0.5,0.5763888888888888,0.6111111111111112,0.6111111111111112,0.5194805194805194,0.525974025974026,0.05970149253731369,0.009104416167124096,0.22222222222222224,0.16666666666666666,0.6256792741924412,0.3603749850782236,13.431790797878055,0.08058229640253803,0.5,0.5763888888888888,0.6111111111111112,LogisticRegression
19,0.006438732147216797,9.1552734375e-05,0.00026726722717285156,0.631578947368421,0.5297619047619047,0.5297619047619048,0.06993006993007009,0.01260254715474085,0.22222222222222224,0.16666666666666666,0.6411772878509585,0.36187343222787294,12.724854440095,0.09356014857063998,0.5,0.5928792569659443,0.631578947368421,0.631578947368421,0.5238095238095238,0.5297619047619048,0.06993006993007009,0.01260254715474085,0.22222222222222224,0.16666666666666666,0.6411772878509585,0.36187343222787294,12.724854440095,0.09356014857063998,0.5,0.5928792569659443,0.631578947368421,LogisticRegression
20,0.006858110427856445,0.00014543533325195312,0.0002739429473876953,0.6,0.5208333333333334,0.5208333333333333,0.04761904761904741,0.006993042519146897,0.2,0.14705882352941177,0.6316686236224496,0.33850160019316505,13.815550537835783,0.06804138174397713,0.5,0.5666666666666667,0.6,0.6,0.4583333333333333,0.5208333333333333,0.04761904761904741,0.006993042519146897,0.2,0.14705882352941177,0.6316686236224496,0.33850160019316505,13.815550537835783,0.06804138174397713,0.5,0.5666666666666667,0.6,LogisticRegression
21,0.0070934295654296875,7.43865966796875e-05,0.0001609325408935547,0.6190476190476191,0.5240384615384616,0.5240384615384616,0.05617977528089903,0.009798575525346687,0.2,0.14705882352941177,0.6443207184628292,0.33968311024337877,13.157667178891222,0.07953559537197225,0.5,0.5814536340852131,0.6190476190476191,0.6190476190476191,0.46153846153846156,0.5240384615384616,0.05617977528089903,0.009798575525346687,0.2,0.14705882352941177,0.6443207184628292,0.33968311024337877,13.157667178891222,0.07953559537197225,0.5,0.5814536340852131,0.6190476190476191,LogisticRegression
22,0.0074040889739990234,8.797645568847656e-05,0.00022268295288085938,0.6363636363636364,0.5267857142857143,0.5267857142857143,0.06382978723404262,0.012738280907637511,0.2,0.14705882352941177,0.6566667556277508,0.3406925719346235,12.55959139803253,0.08964214570007951,0.5,0.5954545454545455,0.6363636363636364,0.6363636363636364,0.4642857142857143,0.5267857142857143,0.06382978723404262,0.012738280907637511,0.2,0.14705882352941177,0.6566667556277508,0.3406925719346235,12.55959139803253,0.08964214570007951,0.5,0.5954545454545455,0.6363636363636364,LogisticRegression
23,0.007941484451293945,9.703636169433594e-05,0.00044035911560058594,0.6521739130434783,0.5291666666666667,0.5291666666666667,0.07070707070707079,0.015745124992842086,0.2,0.14705882352941177,0.668576295502956,0.3415650255319867,12.013522206813725,0.09860132971832695,0.5,0.6086956521739131,0.6521739130434783,0.6521739130434783,0.4666666666666667,0.5291666666666667,0.07070707070707079,0.015745124992842086,0.2,0.14705882352941177,0.668576295502956,0.3415650255319867,12.013522206813725,0.09860132971832695,0.5,0.6086956521739131,0.6521739130434783,LogisticRegression
24,0.008275985717773438,8.58306884765625e-05,0.0002486705780029297,0.6666666666666666,0.53125,0.53125,0.07692307692307694,0.018773179858172173,0.2,0.14705882352941177,0.6799793045477442,0.3423265984407289,11.51295878152982,0.10660035817780521,0.5,0.6212121212121212,0.6666666666666666,0.6666666666666666,0.46875,0.53125,0.07692307692307694,0.018773179858172173,0.2,0.14705882352941177,0.6799793045477442,0.3423265984407289,11.51295878152982,0.10660035817780521,0.5,0.6212121212121212,0.6666666666666666,LogisticRegression
25,0.008606910705566406,8.0108642578125e-05,0.00025081634521484375,0.68,0.5330882352941176,0.5330882352941176,0.08256880733944968,0.021790874668984106,0.2,0.14705882352941177,0.6908445412262562,0.3429971702850177,11.052440430268627,0.11378739092043907,0.5,0.6330434782608695,0.68,0.68,0.47058823529411764,0.5330882352941176,0.08256880733944968,0.021790874668984106,0.2,0.14705882352941177,0.6908445412262562,0.3429971702850177,11.052440430268627,0.11378739092043907,0.5,0.6330434782608695,0.68,LogisticRegression
26,0.008965253829956055,0.00010657310485839844,0.00025177001953125,0.6923076923076923,0.5347222222222222,0.5347222222222222,0.08771929824561384,0.02477655741527296,0.2,0.14705882352941177,0.7011654054382271,0.3435921354681384,10.627346567565988,0.12028130608117202,0.5,0.6442307692307693,0.6923076923076923,0.6923076923076923,0.4722222222222222,0.5347222222222222,0.08771929824561384,0.02477655741527296,0.2,0.14705882352941177,0.7011654054382271,0.3435921354681384,10.627346567565988,0.12028130608117202,0.5,0.6442307692307693,0.6923076923076923,LogisticRegression
27,0.009345531463623047,6.604194641113281e-05,0.0003142356872558594,0.7037037037037037,0.5361842105263158,0.5361842105263157,0.09243697478991611,0.027715515690649117,0.2,0.14705882352941177,0.7109506609119388,0.3441236008058427,10.233741139137619,0.12617865362880898,0.5,0.6548148148148148,0.7037037037037037,0.7037037037037037,0.47368421052631576,0.5361842105263157,0.09243697478991611,0.027715515690649117,0.2,0.14705882352941177,0.7109506609119388,0.3441236008058427,10.233741139137619,0.12617865362880898,0.5,0.6548148148148148,0.7037037037037037,LogisticRegression
