Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003044605255126953,8.130073547363281e-05,0.0002231597900390625,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
2,0.0004811286926269531,4.220008850097656e-05,0.00013446807861328125,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
3,0.0008437633514404297,0.00011014938354492188,0.0002524852752685547,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,Perceptron
4,0.0010302066802978516,6.532669067382812e-05,0.00012111663818359375,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,Perceptron
5,0.0013403892517089844,8.678436279296875e-05,0.00022339820861816406,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,Perceptron
6,0.001714468002319336,0.0001232624053955078,0.00025081634521484375,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,Perceptron
7,0.002126932144165039,6.842613220214844e-05,0.0003440380096435547,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,Perceptron
8,0.0023865699768066406,8.106231689453125e-05,0.0001785755157470703,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.95214109777028,-0.2182178902359924,0.0,0.5357142857142857,0.625,Perceptron
9,0.0027594566345214844,0.00012087821960449219,0.00025200843811035156,0.5555555555555556,0.4166666666666667,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.0,0.0,0.5790660241435862,0.0,15.35065613078588,-0.24999999999999994,0.0,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.0,0.0,0.5790660241435862,0.0,15.35065613078588,-0.24999999999999994,0.0,0.4166666666666667,0.5555555555555556,Perceptron
10,0.003043651580810547,9.298324584960938e-05,0.00019121170043945312,0.6,0.5416666666666667,0.5416666666666667,0.09090909090909075,0.010255027013253759,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,0.6,0.4166666666666667,0.5416666666666667,0.09090909090909075,0.010255027013253759,0.3333333333333333,0.2777777777777778,0.5267865840075201,0.45643546458763845,13.815590517707292,0.10206207261596568,0.5,0.575,0.6,Perceptron
11,0.003286123275756836,7.748603820800781e-05,0.00016498565673828125,0.5454545454545454,0.48214285714285715,0.48214285714285715,-0.037735849056603904,0.0012801380659743788,0.28571428571428575,0.2631578947368421,0.4839107908741984,0.4225771273642583,15.699589197219437,-0.038575837490522916,0.3333333333333333,0.5189393939393939,0.5454545454545454,0.5454545454545454,0.35714285714285715,0.48214285714285715,-0.037735849056603904,0.0012801380659743788,0.28571428571428575,0.2631578947368421,0.4839107908741984,0.4225771273642583,15.699589197219437,-0.038575837490522916,0.3333333333333333,0.5189393939393939,0.5454545454545454,Perceptron
12,0.003597736358642578,9.202957153320312e-05,0.00021958351135253906,0.5,0.45714285714285713,0.4571428571428572,-0.09090909090909081,0.008613264733992931,0.25,0.21739130434782608,0.4889177122615931,0.37796447300922725,17.269521463693707,-0.09759000729485337,0.3333333333333333,0.46296296296296297,0.5,0.5,0.42857142857142855,0.4571428571428572,-0.09090909090909081,0.008613264733992931,0.25,0.21739130434782608,0.4889177122615931,0.37796447300922725,17.269521463693707,-0.09759000729485337,0.3333333333333333,0.46296296296296297,0.5,Perceptron
