Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00018906593322753906,6.127357482910156e-05,0.0001277923583984375,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
2,0.0003414154052734375,3.7670135498046875e-05,0.00011467933654785156,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
3,0.0005598068237304688,0.00018477439880371094,3.361701965332031e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,RandomUnderSampler
4,0.0007805824279785156,0.00017976760864257812,4.100799560546875e-05,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomUnderSampler
5,0.0010652542114257812,0.00015044212341308594,0.0001342296600341797,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomUnderSampler
6,0.0015568733215332031,0.000225067138671875,0.0002665519714355469,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomUnderSampler
7,0.0018112659454345703,0.00022339820861816406,3.0994415283203125e-05,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,RandomUnderSampler
8,0.002105712890625,0.0002357959747314453,5.8650970458984375e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomUnderSampler
9,0.0027968883514404297,0.00027370452880859375,0.00041747093200683594,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,RandomUnderSampler
10,0.003281831741333008,0.0002796649932861328,0.0002052783966064453,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6546536707079771,0.0,17.269388197455342,0.0,0.0,0.25,0.5,RandomUnderSampler
11,0.003639698028564453,0.0003066062927246094,5.125999450683594e-05,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,RandomUnderSampler
12,0.00418853759765625,0.0003247261047363281,0.00022411346435546875,0.6,0.6,0.6,0.19999999999999996,0.23034661225454434,0.33333333333333337,0.23809523809523808,0.5962847939999438,0.447213595499958,13.815510557964274,0.3333333333333333,1.0,0.7777777777777778,0.6,0.6,0.6,0.6,0.19999999999999996,0.23034661225454434,0.33333333333333337,0.23809523809523808,0.5962847939999438,0.447213595499958,13.815510557964274,0.3333333333333333,1.0,0.7777777777777778,0.6,RandomUnderSampler
13,0.004957437515258789,0.0003840923309326172,0.0003848075866699219,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.3124999999999999,0.26774781845547224,0.5,0.3846153846153846,0.5589565568382148,0.5773502691896257,12.559555052694794,0.4303314829119353,1.0,0.797979797979798,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.3124999999999999,0.26774781845547224,0.5,0.3846153846153846,0.5589565568382148,0.5773502691896257,12.559555052694794,0.4303314829119353,1.0,0.797979797979798,0.6363636363636364,RandomUnderSampler
14,0.005368232727050781,0.0003762245178222656,3.457069396972656e-05,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16666666666666674,0.033427496428294234,0.4444444444444444,0.3703703703703703,0.4969995442739832,0.5270462766947298,14.391223464331969,0.19245008972987523,0.6666666666666666,0.6111111111111112,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16666666666666674,0.033427496428294234,0.4444444444444444,0.3703703703703703,0.4969995442739832,0.5270462766947298,14.391223464331969,0.19245008972987523,0.6666666666666666,0.6111111111111112,0.5833333333333334,RandomUnderSampler
