Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00048089027404785156,5.698204040527344e-05,0.0004239082336425781,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_BOLEClassifier
2,0.0008919239044189453,8.678436279296875e-05,0.000324249267578125,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BOLEClassifier
3,0.0015399456024169922,0.00011610984802246094,0.0005319118499755859,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,ensemble_BOLEClassifier
4,0.002270221710205078,0.00014138221740722656,0.0005888938903808594,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_BOLEClassifier
5,0.002774477005004883,0.00015592575073242188,0.0003483295440673828,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_BOLEClassifier
6,0.003726959228515625,0.0001590251922607422,0.00079345703125,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,ensemble_BOLEClassifier
7,0.00466465950012207,0.00016164779663085938,0.0007760524749755859,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,ensemble_BOLEClassifier
8,0.005369424819946289,0.00016808509826660156,0.0005366802215576172,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_BOLEClassifier
9,0.0061833858489990234,0.0002589225769042969,0.0005550384521484375,0.5,0.4,0.4,-0.23076923076923078,0.1699143221203684,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,0.5,0.26666666666666666,0.4,-0.23076923076923078,0.1699143221203684,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,ensemble_BOLEClassifier
10,0.006806373596191406,0.0001652240753173828,0.000457763671875,0.5555555555555556,0.525,0.525,0.05263157894736842,0.00335680743215927,0.3333333333333333,0.2777777777777778,0.4797016118001235,0.447213595499958,15.35065613078588,0.059761430466719674,0.5,0.5396825396825398,0.5555555555555556,0.5555555555555556,0.4,0.525,0.05263157894736842,0.00335680743215927,0.3333333333333333,0.2777777777777778,0.4797016118001235,0.447213595499958,15.35065613078588,0.059761430466719674,0.5,0.5396825396825398,0.5555555555555556,ensemble_BOLEClassifier
11,0.0077936649322509766,0.00019478797912597656,0.0007925033569335938,0.5,0.4583333333333334,0.4583333333333333,-0.08695652173913052,0.006583693329195395,0.28571428571428575,0.2631578947368421,0.445435403187374,0.408248290463863,17.26954811694138,-0.08908708063747475,0.3333333333333333,0.47619047619047616,0.5,0.5,0.3333333333333333,0.4583333333333333,-0.08695652173913052,0.006583693329195395,0.28571428571428575,0.2631578947368421,0.445435403187374,0.408248290463863,17.26954811694138,-0.08908708063747475,0.3333333333333333,0.47619047619047616,0.5,ensemble_BOLEClassifier
12,0.008594751358032227,0.0001697540283203125,0.0006313323974609375,0.45454545454545453,0.43333333333333335,0.43333333333333335,-0.13793103448275848,0.01929750724700252,0.25,0.21739130434782608,0.4669737852696148,0.36514837167011077,18.839477960393136,-0.14907119849998593,0.3333333333333333,0.42424242424242425,0.45454545454545453,0.45454545454545453,0.4,0.43333333333333335,-0.13793103448275848,0.01929750724700252,0.25,0.21739130434782608,0.4669737852696148,0.36514837167011077,18.839477960393136,-0.14907119849998593,0.3333333333333333,0.42424242424242425,0.45454545454545453,ensemble_BOLEClassifier
13,0.009378194808959961,0.00016951560974121094,0.0006139278411865234,0.5,0.5,0.5,0.0,0.0,0.4,0.3571428571428571,0.43835700375960457,0.4714045207910317,17.269521463693707,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.4,0.3571428571428571,0.43835700375960457,0.4714045207910317,17.269521463693707,0.0,0.5,0.5,0.5,ensemble_BOLEClassifier
14,0.010229825973510742,0.0001785755157470703,0.0006730556488037109,0.46153846153846156,0.45238095238095233,0.45238095238095233,-0.09638554216867475,0.007178565961479033,0.3636363636363636,0.3448275862068965,0.4325904563487001,0.4364357804719847,18.597987196666566,-0.09759000729485336,0.4,0.4538461538461539,0.46153846153846156,0.46153846153846156,0.4523809523809524,0.45238095238095233,-0.09638554216867475,0.007178565961479033,0.3636363636363636,0.3448275862068965,0.4325904563487001,0.4364357804719847,18.597987196666566,-0.09759000729485336,0.4,0.4538461538461539,0.46153846153846156,ensemble_BOLEClassifier
15,0.011011838912963867,0.00018906593322753906,0.0005929470062255859,0.42857142857142855,0.41666666666666663,0.41666666666666663,-0.1666666666666665,0.020547735507476683,0.3333333333333333,0.3333333333333333,0.4418604651162791,0.408248290463863,19.7366721106433,-0.16666666666666663,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4166666666666667,0.41666666666666663,-0.1666666666666665,0.020547735507476683,0.3333333333333333,0.3333333333333333,0.4418604651162791,0.408248290463863,19.7366721106433,-0.16666666666666663,0.3333333333333333,0.42857142857142855,0.42857142857142855,ensemble_BOLEClassifier
16,0.011743307113647461,0.00016808509826660156,0.0005633831024169922,0.4,0.3928571428571428,0.39285714285714285,-0.21621621621621628,0.035869654600158674,0.30769230769230765,0.2941176470588235,0.46009202760920326,0.3779644730092272,20.723479062927794,-0.21821789023599242,0.3333333333333333,0.3925925925925926,0.4,0.4,0.35714285714285715,0.39285714285714285,-0.21621621621621628,0.035869654600158674,0.30769230769230765,0.2941176470588235,0.46009202760920326,0.3779644730092272,20.723479062927794,-0.21821789023599242,0.3333333333333333,0.3925925925925926,0.4,ensemble_BOLEClassifier
17,0.012687444686889648,0.00016450881958007812,0.0007796287536621094,0.375,0.365079365079365,0.36507936507936506,-0.2698412698412698,0.054216555034040326,0.2857142857142857,0.2857142857142857,0.47368421052631576,0.3563483225498992,21.586985121016113,-0.2698412698412698,0.2857142857142857,0.375,0.375,0.375,0.3333333333333333,0.36507936507936506,-0.2698412698412698,0.054216555034040326,0.2857142857142857,0.2857142857142857,0.47368421052631576,0.3563483225498992,21.586985121016113,-0.2698412698412698,0.2857142857142857,0.375,0.375,ensemble_BOLEClassifier
18,0.013413429260253906,0.00016736984252929688,0.0005586147308349609,0.4117647058823529,0.3928571428571428,0.39285714285714285,-0.21428571428571436,0.03456038528037453,0.2857142857142857,0.2857142857142857,0.4696969696969697,0.3779644730092272,20.317162466838695,-0.21428571428571425,0.2857142857142857,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35714285714285715,0.39285714285714285,-0.21428571428571436,0.03456038528037453,0.2857142857142857,0.2857142857142857,0.4696969696969697,0.3779644730092272,20.317162466838695,-0.21428571428571425,0.2857142857142857,0.4117647058823529,0.4117647058823529,ensemble_BOLEClassifier
19,0.014020681381225586,0.00020265579223632812,0.00040459632873535156,0.4444444444444444,0.4155844155844155,0.41558441558441556,-0.16883116883116916,0.02173874134825382,0.2857142857142857,0.2857142857142857,0.47368421052631576,0.39477101697586137,19.18843121868099,-0.16883116883116886,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.37662337662337664,0.41558441558441556,-0.16883116883116916,0.02173874134825382,0.2857142857142857,0.2857142857142857,0.47368421052631576,0.39477101697586137,19.18843121868099,-0.16883116883116886,0.2857142857142857,0.4444444444444444,0.4444444444444444,ensemble_BOLEClassifier
20,0.014919042587280273,0.0002014636993408203,0.0006968975067138672,0.42105263157894735,0.3977272727272727,0.3977272727272727,-0.20809248554913307,0.03409340393381022,0.26666666666666666,0.2564102564102564,0.48248651994978076,0.3692744729379982,19.996344122693078,-0.20935894733965596,0.2857142857142857,0.40977443609022557,0.42105263157894735,0.42105263157894735,0.3977272727272727,0.3977272727272727,-0.20809248554913307,0.03409340393381022,0.26666666666666666,0.2564102564102564,0.48248651994978076,0.3692744729379982,19.996344122693078,-0.20935894733965596,0.2857142857142857,0.40977443609022557,0.42105263157894735,ensemble_BOLEClassifier
21,0.015514373779296875,0.000179290771484375,0.00041604042053222656,0.45,0.4166666666666666,0.4166666666666667,-0.17021276595744686,0.023162714404625473,0.26666666666666666,0.2564102564102564,0.48721015729737965,0.3818813079129867,18.996526916558423,-0.17118419700436507,0.2857142857142857,0.4373626373626374,0.45,0.45,0.4166666666666667,0.4166666666666667,-0.17021276595744686,0.023162714404625473,0.26666666666666666,0.2564102564102564,0.48721015729737965,0.3818813079129867,18.996526916558423,-0.17118419700436507,0.2857142857142857,0.4373626373626374,0.45,ensemble_BOLEClassifier
