Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.001367330551147461,0.0007600784301757812,0.0006072521209716797,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,forest_AMFClassifier
2,0.001848459243774414,0.00021576881408691406,0.00026535987854003906,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,forest_AMFClassifier
3,0.003971576690673828,0.00020456314086914062,0.0019185543060302734,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,forest_AMFClassifier
4,0.0046122074127197266,0.00025844573974609375,0.0003821849822998047,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.0,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,forest_AMFClassifier
5,0.005505800247192383,0.00028061866760253906,0.0006129741668701172,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,forest_AMFClassifier
6,0.007525444030761719,0.000370025634765625,0.001649618148803711,0.4,0.33333333333333337,0.3333333333333333,-0.36363636363636376,0.23679725954056519,0.0,0.0,0.408248290463863,0.0,20.723425756432448,-0.408248290463863,0.0,0.3,0.4,0.4,0.3333333333333333,0.3333333333333333,-0.36363636363636376,0.23679725954056519,0.0,0.0,0.408248290463863,0.0,20.723425756432448,-0.408248290463863,0.0,0.3,0.4,forest_AMFClassifier
7,0.008893251419067383,0.00032019615173339844,0.0010476112365722656,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,forest_AMFClassifier
8,0.010523080825805664,0.00033020973205566406,0.0012996196746826172,0.42857142857142855,0.3,0.3,-0.4,0.19647826253528533,0.0,0.0,0.4545454545454545,0.0,19.736672110643305,-0.39999999999999997,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3,0.3,-0.4,0.19647826253528533,0.0,0.0,0.4545454545454545,0.0,19.736672110643305,-0.39999999999999997,0.0,0.42857142857142855,0.42857142857142855,forest_AMFClassifier
9,0.012627124786376953,0.0003705024719238281,0.001733541488647461,0.375,0.3,0.3,-0.42857142857142855,0.25199003493562466,0.0,0.0,0.4853626716970755,0.0,21.586935146176728,-0.4472135954999579,0.0,0.3125,0.375,0.375,0.2,0.3,-0.42857142857142855,0.25199003493562466,0.0,0.0,0.4853626716970755,0.0,21.586935146176728,-0.4472135954999579,0.0,0.3125,0.375,forest_AMFClassifier
10,0.014344453811645508,0.00034809112548828125,0.0013692378997802734,0.4444444444444444,0.425,0.425,-0.15384615384615383,0.019939959587111034,0.28571428571428575,0.2631578947368421,0.4124789556921527,0.3872983346207417,19.188386796601534,-0.15811388300841894,0.3333333333333333,0.4259259259259259,0.4444444444444444,0.4444444444444444,0.3,0.425,-0.15384615384615383,0.019939959587111034,0.28571428571428575,0.2631578947368421,0.4124789556921527,0.3872983346207417,19.188386796601534,-0.15811388300841894,0.3333333333333333,0.4259259259259259,0.4444444444444444,forest_AMFClassifier
11,0.016230106353759766,0.0003604888916015625,0.0015251636505126953,0.4,0.375,0.375,-0.25,0.047828741169985145,0.25,0.25,0.4285714285714285,0.3535533905932738,20.72350571617547,-0.2500000000000001,0.25,0.4,0.4,0.4,0.25,0.375,-0.25,0.047828741169985145,0.25,0.25,0.4285714285714285,0.3535533905932738,20.72350571617547,-0.2500000000000001,0.25,0.4,0.4,forest_AMFClassifier
12,0.018378734588623047,0.00039386749267578125,0.0017547607421875,0.45454545454545453,0.44999999999999996,0.45,-0.09999999999999976,0.0072779344544120494,0.4000000000000001,0.4,0.4,0.447213595499958,18.83955065106861,-0.09999999999999991,0.4,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4,0.45,-0.09999999999999976,0.0072779344544120494,0.4000000000000001,0.4,0.4,0.447213595499958,18.83955065106861,-0.09999999999999991,0.4,0.45454545454545453,0.45454545454545453,forest_AMFClassifier
13,0.020313501358032227,0.00046133995056152344,0.0014734268188476562,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.4,0.5,17.269588096812893,0.0,0.5,0.5,0.5,0.5,0.4166666666666667,0.5,0.0,0.0,0.5,0.5,0.4,0.5,17.269588096812893,0.0,0.5,0.5,0.5,forest_AMFClassifier
14,0.02249932289123535,0.0003917217254638672,0.0017940998077392578,0.46153846153846156,0.4642857142857143,0.4642857142857143,-0.07058823529411756,0.0036973297001688943,0.4615384615384615,0.48387096774193544,0.41666666666666663,0.46291004988627577,18.5980487041612,-0.07142857142857136,0.42857142857142855,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.38095238095238093,0.4642857142857143,-0.07058823529411756,0.0036973297001688943,0.4615384615384615,0.48387096774193544,0.41666666666666663,0.46291004988627577,18.5980487041612,-0.07142857142857136,0.42857142857142855,0.46703296703296704,0.46153846153846156,forest_AMFClassifier
15,0.023549556732177734,0.00028896331787109375,0.0007612705230712891,0.5,0.5,0.5,0.0,1.1102230246251565e-16,0.4615384615384615,0.48387096774193544,0.4235587248015105,0.5,17.269616653863974,0.0,0.42857142857142855,0.5102040816326531,0.5,0.5,0.4166666666666667,0.5,0.0,1.1102230246251565e-16,0.4615384615384615,0.48387096774193544,0.4235587248015105,0.5,17.269616653863974,0.0,0.42857142857142855,0.5102040816326531,0.5,forest_AMFClassifier
16,0.025610685348510742,0.00035500526428222656,0.0017061233520507812,0.4666666666666667,0.4642857142857143,0.4642857142857143,-0.07142857142857144,0.003697029931581275,0.42857142857142855,0.42857142857142855,0.4285714285714285,0.46291004988627577,18.420893969933754,-0.07142857142857144,0.42857142857142855,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.4642857142857143,-0.07142857142857144,0.003697029931581275,0.42857142857142855,0.42857142857142855,0.4285714285714285,0.46291004988627577,18.420893969933754,-0.07142857142857144,0.42857142857142855,0.4666666666666667,0.4666666666666667,forest_AMFClassifier
17,0.026781797409057617,0.0003139972686767578,0.0008571147918701172,0.4375,0.4365079365079365,0.4365079365079365,-0.125,0.01148240682601498,0.39999999999999997,0.41666666666666663,0.4424952033779929,0.4364357804719847,19.4283115963342,-0.1259881576697424,0.375,0.4453125,0.4375,0.4375,0.3968253968253968,0.4365079365079365,-0.125,0.01148240682601498,0.39999999999999997,0.41666666666666663,0.4424952033779929,0.4364357804719847,19.4283115963342,-0.1259881576697424,0.375,0.4453125,0.4375,forest_AMFClassifier
18,0.02825331687927246,0.00035190582275390625,0.0011196136474609375,0.47058823529411764,0.4642857142857143,0.4642857142857143,-0.06993006993006988,0.0035940545749536534,0.39999999999999997,0.41666666666666663,0.44620665480008115,0.46291004988627577,18.285469737726306,-0.07042952122737633,0.375,0.4812091503267974,0.47058823529411764,0.47058823529411764,0.42857142857142855,0.4642857142857143,-0.06993006993006988,0.0035940545749536534,0.39999999999999997,0.41666666666666663,0.44620665480008115,0.46291004988627577,18.285469737726306,-0.07042952122737633,0.375,0.4812091503267974,0.47058823529411764,forest_AMFClassifier
