Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0010280609130859375,5.888938903808594e-05,0.0009691715240478516,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,model_GaussianNB
2,0.0014739036560058594,0.0003228187561035156,0.00012302398681640625,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_GaussianNB
3,0.004254579544067383,0.0016908645629882812,0.0010898113250732422,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,model_GaussianNB
4,0.005118846893310547,0.0007674694061279297,9.679794311523438e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,model_GaussianNB
5,0.006263256072998047,0.0010123252868652344,0.00013208389282226562,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,model_GaussianNB
6,0.008848190307617188,0.002306222915649414,0.00027871131896972656,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,model_GaussianNB
7,0.01116490364074707,0.0021681785583496094,0.00014853477478027344,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,model_GaussianNB
8,0.01280522346496582,0.0014796257019042969,0.00016069412231445312,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,model_GaussianNB
9,0.01485586166381836,0.0017242431640625,0.00032639503479003906,0.5,0.4,0.4,-0.23076923076923078,0.1699143221203684,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,0.5,0.26666666666666666,0.4,-0.23076923076923078,0.1699143221203684,0.0,0.0,0.5447047794019222,0.0,17.269488147134116,-0.29277002188455997,0.0,0.35714285714285715,0.5,model_GaussianNB
10,0.016493797302246094,0.0014660358428955078,0.00017189979553222656,0.4444444444444444,0.4,0.4,-0.2162162162162162,0.20305112481622145,0.0,0.0,0.5669467095138407,0.0,19.188297952442625,-0.31622776601683794,0.0,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.4,0.4,-0.2162162162162162,0.20305112481622145,0.0,0.0,0.5669467095138407,0.0,19.188297952442625,-0.31622776601683794,0.0,0.2777777777777778,0.4444444444444444,model_GaussianNB
