Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00033092498779296875,7.462501525878906e-05,0.0002562999725341797,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,model_KNNClassifier
2,0.0005390644073486328,0.0001010894775390625,0.00010704994201660156,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_KNNClassifier
3,0.000993490219116211,0.0002448558807373047,0.00020956993103027344,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,model_KNNClassifier
4,0.0012385845184326172,0.0001354217529296875,0.00010967254638671875,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,model_KNNClassifier
5,0.0015490055084228516,0.00016570091247558594,0.00014472007751464844,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,model_KNNClassifier
6,0.0021114349365234375,0.00029158592224121094,0.000270843505859375,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,model_KNNClassifier
7,0.0025005340576171875,0.00024700164794921875,0.00014209747314453125,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,model_KNNClassifier
8,0.002944469451904297,0.00025725364685058594,0.00018668174743652344,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,model_KNNClassifier
9,0.003538846969604492,0.0003285408020019531,0.0002658367156982422,0.625,0.5,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,0.625,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,model_KNNClassifier
10,0.004052877426147461,0.0003108978271484375,0.00020313262939453125,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,model_KNNClassifier
11,0.0046961307525634766,0.00048351287841796875,0.00015974044799804688,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,model_KNNClassifier
12,0.0053327083587646484,0.0003705024719238281,0.00026607513427734375,0.5454545454545454,0.5,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,15.699443815868493,0.0,0.0,0.2975206611570248,0.5454545454545454,0.5454545454545454,0.4,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,15.699443815868493,0.0,0.0,0.2975206611570248,0.5454545454545454,model_KNNClassifier
13,0.006026744842529297,0.0004420280456542969,0.00025200843811035156,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,17.269388197455342,0.0,0.0,0.25,0.5,model_KNNClassifier
14,0.006664276123046875,0.0004239082336425781,0.000213623046875,0.5384615384615384,0.5,0.5,0.0,1.0,0.0,0.0,0.6793662204867574,0.0,15.940973720728008,0.0,0.0,0.28994082840236685,0.5384615384615384,0.5384615384615384,0.5,0.5,0.0,1.0,0.0,0.0,0.6793662204867574,0.0,15.940973720728008,0.0,0.0,0.28994082840236685,0.5384615384615384,model_KNNClassifier
15,0.007044792175292969,0.0002677440643310547,0.00011277198791503906,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,model_KNNClassifier
16,0.0076410770416259766,0.00042891502380371094,0.00016736984252929688,0.5333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,model_KNNClassifier
17,0.008101940155029297,0.00036144256591796875,9.942054748535156e-05,0.5625,0.5,0.5,0.0,1.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,0.5625,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,model_KNNClassifier
18,0.008892059326171875,0.0005800724029541016,0.00021004676818847656,0.5882352941176471,0.5,0.5,0.0,1.0,0.0,0.0,0.6966305460192359,0.0,14.221849103786754,0.0,0.0,0.34602076124567477,0.5882352941176471,0.5882352941176471,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.6966305460192359,0.0,14.221849103786754,0.0,0.0,0.34602076124567477,0.5882352941176471,model_KNNClassifier
19,0.009398460388183594,0.00034999847412109375,0.000156402587890625,0.6111111111111112,0.5,0.5,0.0,1.0,0.0,0.0,0.7047921864945659,0.0,13.431746375798602,0.0,0.0,0.3734567901234568,0.6111111111111112,0.6111111111111112,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.7047921864945659,0.0,13.431746375798602,0.0,0.0,0.3734567901234568,0.6111111111111112,model_KNNClassifier
20,0.010165929794311523,0.0005178451538085938,0.00024962425231933594,0.5789473684210527,0.5,0.5,0.0,1.0,0.0,0.0,0.696692268479466,0.0,14.542642692593974,0.0,0.0,0.335180055401662,0.5789473684210527,0.5789473684210527,0.5,0.5,0.0,1.0,0.0,0.0,0.696692268479466,0.0,14.542642692593974,0.0,0.0,0.335180055401662,0.5789473684210527,model_KNNClassifier
21,0.01063847541809082,0.0003490447998046875,0.00012350082397460938,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.7033753209384469,0.0,13.815510557964275,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.7033753209384469,0.0,13.815510557964275,0.0,0.0,0.36,0.6,model_KNNClassifier
22,0.011176824569702148,0.00039458274841308594,0.0001437664031982422,0.6190476190476191,0.5,0.5,0.0,1.0,0.0,0.0,0.7104659772022196,0.0,13.157629102823119,0.0,0.0,0.3832199546485261,0.6190476190476191,0.6190476190476191,0.5,0.5,0.0,1.0,0.0,0.0,0.7104659772022196,0.0,13.157629102823119,0.0,0.0,0.3832199546485261,0.6190476190476191,model_KNNClassifier
23,0.011793851852416992,0.0004291534423828125,0.00018787384033203125,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7177405625652734,0.0,12.559555052694796,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7177405625652734,0.0,12.559555052694796,0.0,0.0,0.4049586776859504,0.6363636363636364,model_KNNClassifier
24,0.012403726577758789,0.0004687309265136719,0.000141143798828125,0.6521739130434783,0.5,0.5,0.0,1.0,0.0,0.0,0.7250459982682085,0.0,12.013487441708065,0.0,0.0,0.42533081285444235,0.6521739130434783,0.6521739130434783,0.5,0.5,0.0,1.0,0.0,0.0,0.7250459982682085,0.0,12.013487441708065,0.0,0.0,0.42533081285444235,0.6521739130434783,model_KNNClassifier
25,0.012951850891113281,0.0004189014434814453,0.00012922286987304688,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7322785563281032,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7322785563281032,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,model_KNNClassifier
26,0.013788938522338867,0.0005815029144287109,0.000255584716796875,0.68,0.5,0.5,0.0,1.0,0.0,0.0,0.7393691004272944,0.0,11.05240844637142,0.0,0.0,0.46240000000000003,0.68,0.68,0.5,0.5,0.0,1.0,0.0,0.0,0.7393691004272944,0.0,11.05240844637142,0.0,0.0,0.46240000000000003,0.68,model_KNNClassifier
27,0.01471090316772461,0.0006158351898193359,0.00030612945556640625,0.6923076923076923,0.5,0.5,0.0,1.0,0.0,0.0,0.7462727898852248,0.0,10.627315813818672,0.0,0.0,0.47928994082840237,0.6923076923076923,0.6923076923076923,0.5,0.5,0.0,1.0,0.0,0.0,0.7462727898852248,0.0,10.627315813818672,0.0,0.0,0.47928994082840237,0.6923076923076923,model_KNNClassifier
28,0.016271352767944336,0.001344919204711914,0.0002155303955078125,0.7037037037037037,0.5,0.5,0.0,1.0,0.0,0.0,0.7529618628798984,0.0,10.23371152441798,0.0,0.0,0.49519890260631,0.7037037037037037,0.7037037037037037,0.5,0.5,0.0,1.0,0.0,0.0,0.7529618628798984,0.0,10.23371152441798,0.0,0.0,0.49519890260631,0.7037037037037037,model_KNNClassifier
29,0.017237424850463867,0.0007824897766113281,0.00018358230590820312,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.759420553263853,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.759420553263853,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,model_KNNClassifier
30,0.01793527603149414,0.0004892349243164062,0.0002086162567138672,0.7241379310344828,0.5,0.5,0.0,1.0,0.0,0.0,0.7656414934887764,0.0,9.52793831583743,0.0,0.0,0.5243757431629014,0.7241379310344828,0.7241379310344828,0.5,0.5,0.0,1.0,0.0,0.0,0.7656414934887764,0.0,9.52793831583743,0.0,0.0,0.5243757431629014,0.7241379310344828,model_KNNClassifier
31,0.018927335739135742,0.0008158683776855469,0.0001761913299560547,0.7333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,0.7716231585758522,0.0,9.210340371976182,0.0,0.0,0.5377777777777778,0.7333333333333333,0.7333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,0.7716231585758522,0.0,9.210340371976182,0.0,0.0,0.5377777777777778,0.7333333333333333,model_KNNClassifier
