Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00021004676818847656,1.3589859008789062e-05,0.0001964569091796875,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tree_ExtremelyFastDecisionTreeClassifier
2,0.0003135204315185547,3.0517578125e-05,7.295608520507812e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_ExtremelyFastDecisionTreeClassifier
3,0.00042748451232910156,3.695487976074219e-05,7.700920104980469e-05,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_ExtremelyFastDecisionTreeClassifier
4,0.0005526542663574219,3.600120544433594e-05,8.916854858398438e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_ExtremelyFastDecisionTreeClassifier
5,0.0006856918334960938,4.7206878662109375e-05,8.58306884765625e-05,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_ExtremelyFastDecisionTreeClassifier
6,0.0008003711700439453,3.4332275390625e-05,8.034706115722656e-05,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,tree_ExtremelyFastDecisionTreeClassifier
7,0.0009243488311767578,3.695487976074219e-05,8.702278137207031e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_ExtremelyFastDecisionTreeClassifier
8,0.001079559326171875,7.390975952148438e-05,8.130073547363281e-05,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,tree_ExtremelyFastDecisionTreeClassifier
9,0.0012087821960449219,3.600120544433594e-05,9.322166442871094e-05,0.625,0.5,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,0.625,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,tree_ExtremelyFastDecisionTreeClassifier
10,0.0013210773468017578,3.266334533691406e-05,7.963180541992188e-05,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,tree_ExtremelyFastDecisionTreeClassifier
11,0.0014491081237792969,3.361701965332031e-05,9.441375732421875e-05,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,tree_ExtremelyFastDecisionTreeClassifier
12,0.0015690326690673828,3.814697265625e-05,8.177757263183594e-05,0.5454545454545454,0.5,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,15.699443815868493,0.0,0.0,0.2975206611570248,0.5454545454545454,0.5454545454545454,0.4,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,15.699443815868493,0.0,0.0,0.2975206611570248,0.5454545454545454,tree_ExtremelyFastDecisionTreeClassifier
13,0.0017349720001220703,8.320808410644531e-05,8.273124694824219e-05,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.674199862463242,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_ExtremelyFastDecisionTreeClassifier
