Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00026226043701171875,9.775161743164062e-06,0.0002524852752685547,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tree_HoeffdingAdaptiveTreeClassifier
2,0.00047850608825683594,0.000118255615234375,9.799003601074219e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_HoeffdingAdaptiveTreeClassifier
3,0.0006015300750732422,3.24249267578125e-05,9.059906005859375e-05,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_HoeffdingAdaptiveTreeClassifier
4,0.0007328987121582031,3.743171691894531e-05,9.393692016601562e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingAdaptiveTreeClassifier
5,0.0008690357208251953,4.00543212890625e-05,9.608268737792969e-05,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_HoeffdingAdaptiveTreeClassifier
6,0.0010294914245605469,3.409385681152344e-05,0.00012636184692382812,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6324555320336759,0.0,13.815510557964274,0.0,0.0,0.36,0.6,tree_HoeffdingAdaptiveTreeClassifier
7,0.0011630058288574219,3.504753112792969e-05,9.846687316894531e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingAdaptiveTreeClassifier
8,0.0013031959533691406,3.743171691894531e-05,0.00010275840759277344,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,tree_HoeffdingAdaptiveTreeClassifier
9,0.0014357566833496094,3.6716461181640625e-05,9.584426879882812e-05,0.625,0.5,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,0.625,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6813851438692469,0.0,12.952041148091507,0.0,0.0,0.390625,0.625,tree_HoeffdingAdaptiveTreeClassifier
10,0.0016274452209472656,3.3855438232421875e-05,0.00015783309936523438,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,0.5555555555555556,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,15.350567286626971,0.0,0.0,0.30864197530864196,0.5555555555555556,tree_HoeffdingAdaptiveTreeClassifier
