Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.000308990478515625,7.224082946777344e-05,0.00023674964904785156,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,tree_SGTClassifier
2,0.00041985511779785156,4.38690185546875e-05,6.699562072753906e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,tree_SGTClassifier
3,0.0005087852478027344,1.430511474609375e-05,7.462501525878906e-05,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.5773502691896257,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,1.0,0.5,0.7142857142857143,0.5773502691896257,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,tree_SGTClassifier
4,0.0005936622619628906,1.4543533325195312e-05,7.033348083496094e-05,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7071067811865476,0.0,25.90468199425566,0.0,0.25,0.0625,0.25,0.25,0.0,0.5,0.0,1.0,0.4,0.625,0.7071067811865476,0.0,25.90468199425566,0.0,0.25,0.0625,0.25,tree_SGTClassifier
5,0.0007054805755615234,1.4781951904296875e-05,9.703636169433594e-05,0.2,0.5,0.5,0.0,1.0,0.33333333333333337,0.5555555555555556,0.7745966692414834,0.0,27.631660793872705,0.0,0.2,0.04,0.2,0.2,0.0,0.5,0.0,1.0,0.33333333333333337,0.5555555555555556,0.7745966692414834,0.0,27.631660793872705,0.0,0.2,0.04,0.2,tree_SGTClassifier
6,0.0007884502410888672,1.5497207641601562e-05,6.747245788574219e-05,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.6831300510639732,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.6831300510639732,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,tree_SGTClassifier
7,0.0008704662322998047,1.33514404296875e-05,6.866455078125e-05,0.2857142857142857,0.5,0.5,0.0,1.0,0.4444444444444445,0.6666666666666666,0.7237468644557459,0.0,24.671125708814913,0.0,0.2857142857142857,0.08163265306122448,0.2857142857142857,0.2857142857142857,0.5,0.5,0.0,1.0,0.4444444444444445,0.6666666666666666,0.7237468644557459,0.0,24.671125708814913,0.0,0.2857142857142857,0.08163265306122448,0.2857142857142857,tree_SGTClassifier
8,0.0009505748748779297,1.3589859008789062e-05,6.651878356933594e-05,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7559289460184544,0.0,25.904681994255657,0.0,0.25,0.0625,0.25,0.25,0.5,0.5,0.0,1.0,0.4,0.625,0.7559289460184544,0.0,25.904681994255657,0.0,0.25,0.0625,0.25,tree_SGTClassifier
9,0.0010528564453125,1.33514404296875e-05,8.893013000488281e-05,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.7142857142857143,0.7071067811865476,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0,0.5,0.7142857142857143,0.7071067811865476,0.0,23.02638399489392,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,tree_SGTClassifier
10,0.001142263412475586,1.3113021850585938e-05,7.62939453125e-05,0.4,0.5,0.5,0.0,1.0,0.5714285714285715,0.7692307692307692,0.6831300510639732,0.0,20.723745595404527,0.0,0.4,0.16,0.4,0.4,0.5,0.5,0.0,1.0,0.5714285714285715,0.7692307692307692,0.6831300510639732,0.0,20.723745595404527,0.0,0.4,0.16,0.4,tree_SGTClassifier
