Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.003146648406982422,0.00014019012451171875,0.0030014514923095703,0.9235738510955193,0.7609155633102862,0.7609155633102863,0.6131200525280152,0.43537773277695624,0.6538805363673302,0.5795326860468466,0.9132350313932546,0.7277444933325591,2.6396773473941306,0.6314180976098565,0.8317138722348563,0.9188247136543244,0.9235738510955193,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389252,0.0,0.0,0.7744,0.88,OutputCodeClassifier
2,0.0005202293395996094,0.00010323524475097656,0.0002410411834716797,0.923575222509331,0.7609157380649493,0.7609157380649494,0.6131208700795792,0.4353798160161336,0.6538805363673302,0.5795326860468466,0.9132367774636406,0.7277446226912255,2.6396299802295564,0.6314188587295666,0.8317138722348563,0.9188261074875759,0.923575222509331,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389252,0.0,0.0,0.7744,0.88,OutputCodeClassifier
3,0.0007054805755615234,0.000141143798828125,0.0004107952117919922,0.9235586498950277,0.7608796757777152,0.7608796757777152,0.613059897086635,0.4353358858182974,0.6538274012676742,0.5794659061446721,0.9132188934458283,0.7276959033858862,2.6402023778396817,0.6313676522109325,0.8317138722348563,0.9188086802573328,0.9235586498950277,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,OutputCodeClassifier
4,0.0005090236663818359,9.560585021972656e-05,0.0002620220184326172,0.9235600215323883,0.7608798505251363,0.7608798505251362,0.613060714751277,0.4353379691700259,0.6538274012676742,0.5794659061446721,0.9132206397566859,0.7276960327305093,2.6401550029540215,0.6313684134187137,0.8317138722348563,0.9188100742910956,0.9235600215323883,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,OutputCodeClassifier
5,0.0006113052368164062,0.00013113021850585938,0.0003082752227783203,0.9235613931205254,0.7608800252653157,0.7608800252653156,0.6130615323831207,0.4353400524618031,0.6538274012676742,0.5794659061446721,0.9132223859981405,0.7276961620697493,2.6401076297684885,0.631369174595947,0.8317138722348563,0.9188114682773006,0.9235613931205254,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,OutputCodeClassifier
6,0.0008428096771240234,0.00018525123596191406,0.0005052089691162109,0.9235448216464509,0.7608439726333122,0.7608439726333123,0.6130005692821427,0.43529613254100363,0.6537742748029576,0.5793991416309012,0.9132045037211409,0.727647452530415,2.6406799879965286,0.6313179782356517,0.8317138722348563,0.9187940427919322,0.9235448216464509,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,OutputCodeClassifier
7,0.0005986690521240234,0.00011372566223144531,0.0003330707550048828,0.9235461934580949,0.7608441473662505,0.7608441473662505,0.613001387027027,0.43529821594526386,0.6537742748029576,0.5793991416309012,0.9132062502030013,0.7276475818556151,2.640632607091356,0.6313187395009252,0.8317138722348563,0.9187954369785918,0.9235461934580949,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,OutputCodeClassifier
8,0.0006899833679199219,0.00013065338134765625,0.00040411949157714844,0.9235475652205117,0.760844322091948,0.7608443220919481,0.613002204739111,0.43530029928957537,0.6537742748029576,0.5793991416309012,0.9132079966154567,0.727647711175433,2.6405852278864343,0.63131950073565,0.8317138722348563,0.9187968311176917,0.9235475652205117,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,OutputCodeClassifier
9,0.0008263587951660156,0.00017571449279785156,0.0004940032958984375,0.9235309948865166,0.7608082791112984,0.7608082791112984,0.6129412515278383,0.4352563896413396,0.6537211569710757,0.579332392500216,0.9131901160789908,0.7275990113988383,2.641157546737552,0.6312683145303302,0.8317138722348563,0.9187794073768998,0.9235309948865166,0.85,0.4666666666666667,0.5,0.0,1.0,0.0,0.0,0.8616404368553291,0.0,5.180816459236573,0.0,0.0,0.7225,0.85,OutputCodeClassifier
10,0.0007402896881103516,0.00013875961303710938,0.0004475116729736328,0.9235144251471221,0.7607722457781276,0.7607722457781275,0.6128803079124571,0.4352124899166063,0.6536680477699245,0.5792656587473003,0.9131722366633949,0.7275503213990249,2.641729845051894,0.6312171382395598,0.8317138722348563,0.9187619848845664,0.9235144251471221,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.5262042231856805,0.0,0.0,0.7056,0.84,OutputCodeClassifier
