Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.000392913818359375,0.00014400482177734375,0.0002446174621582031,0.9460494048687123,0.8059165797046454,0.8059165797046454,0.7247204652481661,0.637369924853795,0.7532822757111597,0.6633587050775603,0.9377811936992925,0.7828442253167925,1.8633893589874766,0.7489063735216118,0.9731448763250884,0.9475118238064388,0.9460494048687123,0.98,0.9109848484848485,0.9526515151515151,0.9053030303030303,0.7570711900301603,0.9166666666666666,0.9166666666666666,0.9748330765279918,0.9519716382329885,0.6907835238725051,0.9053030303030304,0.9166666666666666,0.98,0.98,RandomOverSampler
2,0.00043129920959472656,0.00014972686767578125,0.0001049041748046875,0.9460526315789474,0.8059166703418412,0.8059166703418412,0.7247223712355774,0.6373759976508837,0.7532822757111597,0.6633587050775603,0.9377854395147357,0.7828442964583178,1.8632779122554797,0.7489079912473762,0.9731448763250884,0.947514780821699,0.9460526315789474,0.98,0.9109848484848485,0.9526515151515151,0.9053030303030303,0.7570711900301603,0.9166666666666666,0.9166666666666666,0.9748330765279918,0.9519716382329885,0.6907835238725051,0.9053030303030304,0.9166666666666666,0.98,0.98,RandomOverSampler
3,0.0007007122039794922,0.0001876354217529297,0.0003097057342529297,0.9459960528676514,0.8057796369271835,0.8057796369271835,0.7244889440861594,0.6371860778997813,0.7530762920426579,0.6631031493787923,0.9377225705133008,0.7826696908363271,1.8652320716049597,0.7487150621777344,0.9731448763250884,0.9474629336333186,0.9459960528676514,0.97,0.9168877099911583,0.9173297966401415,0.862888482632541,0.6990845978643391,0.8799999999999999,0.8593749999999999,0.9623169858049292,0.9145643443061925,1.0361712878216118,0.8637911153529407,0.9166666666666666,0.9693939393939394,0.97,RandomOverSampler
4,0.0005013942718505859,0.00021648406982421875,0.00011277198791503906,0.9459992823824901,0.8057797275518602,0.8057797275518603,0.7244908515612843,0.637192153038749,0.7530762920426579,0.6631031493787923,0.9377268196440557,0.7826697619521544,1.865120528005414,0.7487166809693446,0.9731448763250884,0.9474658928346055,0.9459992823824901,0.97,0.9168877099911583,0.9173297966401415,0.862888482632541,0.6990845978643391,0.8799999999999999,0.8593749999999999,0.9623169858049292,0.9145643443061925,1.0361712878216118,0.8637911153529407,0.9166666666666666,0.9693939393939394,0.97,RandomOverSampler
5,0.000652313232421875,0.00032782554626464844,0.0001499652862548828,0.9460025115110925,0.8057798181640208,0.8057798181640208,0.7244927587818764,0.6371982275798949,0.7530762920426579,0.6631031493787923,0.9377310682012849,0.7826698330581535,1.8650089977460105,0.7487182995460253,0.9731448763250884,0.9474688517058387,0.9460025115110925,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278982031,0.9094719088470241,1.0,0.9804494382022472,0.98,RandomOverSampler
6,0.0012102127075195312,0.0003185272216796875,0.0007200241088867188,0.9459459459459459,0.8056429069369819,0.8056429069369819,0.7242594581210402,0.6370084666801747,0.7528704209950793,0.6628477905073649,0.9376682197431957,0.7824953441844974,1.8669627030436167,0.7485254987885709,0.9731448763250884,0.9474170227213023,0.9459459459459459,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.03616329184731,0.8713377843927309,1.0,0.9710112359550561,0.97,RandomOverSampler
7,0.0011532306671142578,0.0004916191101074219,0.0002689361572265625,0.945949177877429,0.8056429975366286,0.8056429975366287,0.7242613668279101,0.637014543559387,0.7528704209950793,0.6628477905073649,0.9376724716128914,0.7824954152648198,1.86685107597617,0.7485271184298924,0.9731448763250884,0.9474199837764925,0.945949177877429,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.03616329184731,0.8713377843927309,1.0,0.9710112359550561,0.97,RandomOverSampler
8,0.0008122920989990234,0.0003917217254638672,0.0002148151397705078,0.9459524094224561,0.8056430881237642,0.8056430881237643,0.7242632752801271,0.6370206198407304,0.7528704209950793,0.6628477905073649,0.9376767229088202,0.7824954863353201,1.8667394622564537,0.7485287378562102,0.9731448763250884,0.947422944501509,0.9459524094224561,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.03616329184731,0.8713377843927309,1.0,0.9710112359550561,0.97,RandomOverSampler
9,0.0006804466247558594,0.000457763671875,4.00543212890625e-05,0.9458958569976684,0.8055062989209921,0.805506298920992,0.7240301010109222,0.6368310175350274,0.7526646624760863,0.6625926282359734,0.9376138949830989,0.7823211140799327,1.8686927137021794,0.7483360652689406,0.9731448763250884,0.9473711337102096,0.9458958569976684,0.96,0.8666666666666667,0.8666666666666667,0.8237885462555066,0.7489655826312451,0.846153846153846,0.7746478873239436,0.9504901786092314,0.8563488385776752,1.3815510557964168,0.8368838221851381,1.0,0.9617977528089888,0.96,RandomOverSampler
10,0.0008821487426757812,0.00034499168395996094,0.0003654956817626953,0.9458393113342898,0.8053696315794249,0.8053696315794249,0.723797049559577,0.6366415677093351,0.7524590163934426,0.6623376623376622,0.9375510798160128,0.7821468583445981,1.870645731617125,0.7481435181550536,0.9731448763250884,0.947319336080738,0.9458393113342898,0.95,0.8125,0.84375,0.787052810902896,0.7132195624802484,0.8148148148148148,0.7333333333333333,0.9383997157950013,0.82915619758885,1.7269388197455238,0.805528649083558,1.0,0.952808988764045,0.95,RandomOverSampler
11,0.0006895065307617188,0.00035452842712402344,0.0001628398895263672,0.9458425488672365,0.8053697221540518,0.8053697221540519,0.7237989612352045,0.6366476492537091,0.7524590163934426,0.6623376623376622,0.9375553383031823,0.7821469293736183,1.8705339110820292,0.7481451399223992,0.9731448763250884,0.9473223014981635,0.9458425488672365,0.95,0.8125,0.84375,0.787052810902896,0.7132195624802484,0.8148148148148148,0.7333333333333333,0.9383997157950013,0.82915619758885,1.7269388197455238,0.805528649083558,1.0,0.952808988764045,0.95,RandomOverSampler
