Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0067408084869384766,0.004375934600830078,0.0020563602447509766,0.9056032729621744,0.6848624839657577,0.6848624839657576,0.47619807039365164,0.3570182140090775,0.5211481279203835,0.4286455837725603,0.8984980514225067,0.6148908631074024,3.2603568406454713,0.5179705265022368,0.813874147081122,0.8986613371479683,0.9056032729621744,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389252,0.0,0.0,0.7744,0.88,ensemble_ADWINBaggingClassifier
2,0.0008852481842041016,0.0001728534698486328,0.0005385875701904297,0.9056044021771638,0.684862577658584,0.684862577658584,0.4761986585805767,0.35701964982769263,0.5211481279203835,0.4286455837725603,0.8984993472339973,0.6148909215105138,3.2603178388290868,0.517971059766074,0.813874147081122,0.898662469543266,0.9056044021771638,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389252,0.0,0.0,0.7744,0.88,ensemble_ADWINBaggingClassifier
3,0.001154184341430664,0.0003161430358886719,0.0006792545318603516,0.9055935690702904,0.684845472598332,0.684845472598332,0.4761632501275936,0.3569972233286952,0.5211165048543689,0.4286113551066038,0.8984884540569519,0.6148634802108678,3.260692000972683,0.5179429409195442,0.813874147081122,0.8986513738002215,0.9055935690702904,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,ensemble_ADWINBaggingClassifier
4,0.0011222362518310547,0.00018095970153808594,0.0007731914520263672,0.9055946983743436,0.6848455662885701,0.6848455662885701,0.4761638383425387,0.35699865916432516,0.5211165048543689,0.4286113551066038,0.8984897499486162,0.6148635386097538,3.260652996080151,0.5179434742069094,0.813874147081122,0.8986525062666557,0.9055946983743436,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,ensemble_ADWINBaggingClassifier
5,0.0008478164672851562,0.0002636909484863281,0.000385284423828125,0.9055958276513792,0.6848456599762197,0.6848456599762198,0.4761644265420915,0.3570000949737704,0.5211165048543689,0.4286113551066038,0.89849104580748,0.614863597007021,3.2606139921207733,0.5179440074802409,0.813874147081122,0.8986536387080366,0.9055958276513792,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,ensemble_ADWINBaggingClassifier
6,0.00666499137878418,0.003360271453857422,0.002989053726196289,0.9055849950358258,0.6848285579690798,0.6848285579690798,0.4761290224533091,0.3569776715013009,0.5210848856258722,0.4285771319067391,0.8984801533146998,0.6148361593757792,3.260988137294792,0.5179158923348793,0.813874147081122,0.8986425436802414,0.9055849950358258,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,ensemble_ADWINBaggingClassifier
7,0.0011951923370361328,0.0002422332763671875,0.0007758140563964844,0.9055861244019139,0.6848286516541414,0.6848286516541413,0.4761296106808733,0.3569791073277502,0.5210848856258722,0.4285771319067391,0.898481449253722,0.6148362177688217,3.260949130259657,0.5179164256317328,0.813874147081122,0.8986436761927448,0.9055861244019139,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,ensemble_ADWINBaggingClassifier
8,0.0007531642913818359,0.00028824806213378906,0.00030541419982910156,0.9055752921615771,0.6848218388776944,0.6848218388776943,0.4760892790226527,0.3568509288221611,0.521053270234195,0.4285685769606963,0.898468901127541,0.6148319714130772,3.261323272038608,0.5178518382739192,0.8137199166192912,0.8986231617007391,0.9055752921615771,0.85,0.4941860465116279,0.4941860465116279,-0.019021739130434184,0.027078322247226283,0.0,0.0,0.8588161545862545,0.0,5.1808244552108755,-0.04055059163020663,0.0,0.7383838383838384,0.85,ensemble_ADWINBaggingClassifier
9,0.0009748935699462891,0.0004181861877441406,0.00039196014404296875,0.9055764216167077,0.6848493588769806,0.6848493588769807,0.4761456923829291,0.35689246097841143,0.5211113807328318,0.42862560376831266,0.8984677492074215,0.6148761222650918,3.2612842619279405,0.5179029880836704,0.8137552103069344,0.8986268768967708,0.9055764216167077,0.85,0.5270588235294118,0.5274509803921569,0.08536585365853665,0.07070802703378065,0.11764705882352941,0.08064516129032256,0.8557771371590174,0.2566755791678992,5.1808244552108755,0.14002800840280097,0.5,0.8035714285714286,0.85,ensemble_ADWINBaggingClassifier
10,0.001214742660522461,0.0003018379211425781,0.0007572174072265625,0.905565589751564,0.6848322589922662,0.6848322589922662,0.47611029592327875,0.3568700433165217,0.5210797694874129,0.4285913862611265,0.8984568573772035,0.6148486889716495,3.261658381183625,0.5178748780305492,0.8137552103069344,0.8986157813924549,0.905565589751564,0.84,0.49404761904761907,0.5252976190476191,0.07834101382488508,0.06511728957886431,0.1111111111111111,0.07575757575757576,0.8472608416035122,0.24850744934700125,5.526212219159982,0.13248943335756683,0.5,0.7914285714285714,0.84,ensemble_ADWINBaggingClassifier
11,0.0016262531280517578,0.00026702880859375,0.0011970996856689453,0.9055547581455433,0.6848254464040253,0.6848254464040252,0.4760699729115733,0.35674195625830096,0.5210481620769137,0.42858283273794084,0.8984443099320366,0.6148444425884279,3.262032501053621,0.5178103152958716,0.813601060806971,0.8985952749942755,0.9055547581455433,0.84,0.5207843137254902,0.5215686274509804,0.064327485380117,0.02411824204759694,0.1111111111111111,0.07936507936507936,0.8446409889413047,0.25514317395471564,5.526220215134284,0.09029445948927291,0.3333333333333333,0.7773195876288659,0.84,ensemble_ADWINBaggingClassifier
12,0.0014023780822753906,0.0003306865692138672,0.0009105205535888672,0.9055439267986365,0.6848083495706819,0.684808349570682,0.476034584186204,0.35671954549420504,0.5210165585006369,0.428548622059029,0.8984334187814564,0.6148170131559864,3.2624066024099254,0.5177822106051145,0.813601060806971,0.8985841784077498,0.9055439267986365,0.83,0.4880952380952381,0.5193452380952381,0.05764966740576477,0.02094458004023747,0.10526315789473684,0.07462686567164178,0.8360935787019976,0.24700588001483845,5.871607979083391,0.08314903528244477,0.3333333333333333,0.7634364261168385,0.83,ensemble_ADWINBaggingClassifier
13,0.0011012554168701172,0.0004267692565917969,0.0004572868347167969,0.9055450565748869,0.6848358628001158,0.6848358628001157,0.47609098471467526,0.3567610715709646,0.5210746558311602,0.42860563492696946,0.8984322665656272,0.6148611536115339,3.262367581208069,0.517833352599166,0.8136363636363636,0.8985878949627467,0.9055450565748869,0.83,0.5180722891566265,0.5467753366406803,0.13441955193482677,0.07203232508579493,0.19047619047619047,0.1388888888888889,0.8326212246724232,0.33883947517403495,5.871607979083391,0.1793266403534839,0.5,0.7853125,0.83,ensemble_ADWINBaggingClassifier
14,0.0019614696502685547,0.0003542900085449219,0.0014460086822509766,0.9055461863241117,0.684835956668202,0.684835956668202,0.4760915732869756,0.35676250738512083,0.5210746558311602,0.42860563492696946,0.898433563055351,0.6148612121226377,3.262328560939656,0.5178338862918271,0.8136363636363636,0.8985890280170699,0.9055461863241117,0.83,0.5180722891566265,0.5467753366406803,0.13441955193482677,0.07203232508579493,0.19047619047619047,0.1388888888888889,0.8326212246724232,0.33883947517403495,5.871607979083391,0.1793266403534839,0.5,0.7853125,0.83,ensemble_ADWINBaggingClassifier
15,0.0008938312530517578,0.0001952648162841797,0.0005190372467041016,0.9055353554683763,0.684829144360958,0.6848291443609579,0.4760512590309961,0.35663451156547676,0.5210430563978168,0.42859708282618675,0.8984210164427426,0.6148569657702343,3.262702654895156,0.5177693483136481,0.8134822950198826,0.8985685299505002,0.9055353554683763,0.82,0.5124025513819985,0.5407512402551382,0.1133004926108375,0.03970184066463234,0.1818181818181818,0.136986301369863,0.8214442981930571,0.3367413777553309,6.2170037390068,0.14047127639471943,0.4,0.7669473684210526,0.82,ensemble_ADWINBaggingClassifier
