Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0020062923431396484,0.0004100799560546875,0.0013396739959716797,0.9038332137089539,0.6777109256833151,0.6777109256833151,0.46174688369982414,0.3484534992958267,0.5068721605612744,0.4138883149570803,0.8971258073970223,0.603206321678587,3.3214923825913867,0.5059293451297905,0.8102592388306674,0.8965566410706503,0.9038332137089539,0.92,0.7386363636363636,0.7386363636363636,0.5575221238938054,0.35921066620228903,0.6,0.5357142857142857,0.9099344164365243,0.6990252954195317,2.763118103541419,0.5716887818044943,0.75,0.912608695652174,0.92,ensemble_ADWINBoostingClassifier
2,0.0009534358978271484,0.00017905235290527344,0.0006148815155029297,0.9038342921867465,0.6777110122213401,0.6777110122213401,0.46174743607298585,0.34845484442828467,0.5068721605612744,0.4138883149570803,0.8971270325381868,0.6032063745859628,3.3214551331842768,0.5059298462432821,0.8102592388306674,0.8965577225892136,0.9038342921867465,0.92,0.7386363636363636,0.7386363636363636,0.5575221238938054,0.35921066620228903,0.6,0.5357142857142857,0.9099344164365243,0.6990252954195317,2.763118103541419,0.5716887818044943,0.75,0.912608695652174,0.92,ensemble_ADWINBoostingClassifier
3,0.0021820068359375,0.0005364418029785156,0.0012938976287841797,0.9038241561063138,0.6776955831103503,0.6776955831103503,0.4617148847600081,0.3484343837188353,0.5068430132259919,0.4138572206675055,0.8971169082032685,0.6031811374094319,3.3218052208960827,0.5059040660251014,0.8102592388306674,0.8965473441573462,0.9038241561063138,0.91,0.6816976127320955,0.7192749778956675,0.5243128964059199,0.33655663708460193,0.5714285714285714,0.5,0.8991332278436031,0.671512011778542,3.1085058674905257,0.5436400789351309,0.75,0.901304347826087,0.91,ensemble_ADWINBoostingClassifier
4,0.0010929107666015625,0.00020432472229003906,0.0007126331329345703,0.9038140202532213,0.6776891946396589,0.677689194639659,0.4616774024152595,0.3483127179430684,0.5068138692427118,0.4138494478251071,0.8971051839534981,0.6031772317950171,3.3221553097228473,0.5058426542228882,0.810110294117647,0.8965275318454784,0.9038140202532213,0.9,0.6763925729442971,0.713527851458886,0.4913530010172938,0.2720919349230063,0.5454545454545455,0.4918032786885245,0.8874761581366685,0.6675502544191458,3.4539016274139342,0.5018499409775783,0.6666666666666666,0.8897435897435898,0.9,ensemble_ADWINBoostingClassifier
5,0.0008690357208251953,0.00022530555725097656,0.00048804283142089844,0.9038150989099717,0.6776892812570517,0.6776892812570519,0.46167795491281816,0.3483140630029382,0.5068138692427118,0.4138494478251071,0.8971064092954378,0.6031772847490393,3.3221180541346613,0.5058431554939016,0.810110294117647,0.8965286136474337,0.9038150989099717,0.9,0.6763925729442971,0.713527851458886,0.4913530010172938,0.2720919349230063,0.5454545454545455,0.4918032786885245,0.8874761581366685,0.6675502544191458,3.4539016274139342,0.5018499409775783,0.6666666666666666,0.8897435897435898,0.9,ensemble_ADWINBoostingClassifier
6,0.002640247344970703,0.0004603862762451172,0.0020172595977783203,0.9038049633857782,0.677673854727908,0.6776738547279079,0.46164541038052115,0.3482936083418253,0.5067847286108556,0.41381835937500006,0.8970962856499323,0.6031520509010667,3.3224681226345525,0.5058173799735176,0.810110294117647,0.8965182343031696,0.9038049633857782,0.89,0.696843853820598,0.696843853820598,0.46289062500000033,0.25381317947769033,0.5217391304347826,0.4615384615384615,0.8767619832363684,0.6431339381952035,3.7992893913630414,0.47733485457981817,0.6666666666666666,0.8777289377289377,0.89,ensemble_ADWINBoostingClassifier
7,0.0013279914855957031,0.0002493858337402344,0.0009205341339111328,0.9038060421199005,0.6776739413430574,0.6776739413430574,0.4616459629007798,0.348294953414362,0.5067847286108556,0.41381835937500006,0.8970975110602537,0.6031521038514974,3.3224308643740432,0.5058178812641192,0.810110294117647,0.8965193161663967,0.9038060421199005,0.89,0.696843853820598,0.696843853820598,0.46289062500000033,0.25381317947769033,0.5217391304347826,0.4615384615384615,0.8767619832363684,0.6431339381952035,3.7992893913630414,0.47733485457981817,0.6666666666666666,0.8777289377289377,0.89,ensemble_ADWINBoostingClassifier
8,0.0010039806365966797,0.0003409385681152344,0.0005056858062744141,0.9037959069245864,0.677667553201033,0.677667553201033,0.4616084874802563,0.34817336533505405,0.5067555913298454,0.4138105879922628,0.8970857877394471,0.6031481985767962,3.3227809304814495,0.5057564870624401,0.8099614041536483,0.896499510627484,0.9037959069245864,0.88,0.6910299003322259,0.6910299003322259,0.4339622641509433,0.20825059045873007,0.5,0.45454545454545453,0.8652039684196322,0.639247896949339,4.14468515128645,0.4418993202399134,0.6,0.8675555555555556,0.88,ensemble_ADWINBoostingClassifier
9,0.0012526512145996094,0.0004067420959472656,0.0006887912750244141,0.9037969857360725,0.6776939597558898,0.6776939597558896,0.461663429271903,0.34821363866727173,0.5068123023857432,0.4138656251173621,0.8970846828076462,0.6031913920137875,3.322743669548794,0.5058063388018895,0.8099963248805586,0.8965032209233291,0.9037969857360725,0.88,0.7082352941176471,0.7098039215686274,0.47136563876652005,0.23542641130901376,0.5384615384615385,0.49295774647887325,0.8625351524421419,0.6668627162714535,4.14468515128645,0.47885865761395613,0.6363636363636364,0.869050051072523,0.88,ensemble_ADWINBoostingClassifier
10,0.0013828277587890625,0.00031304359436035156,0.0009133815765380859,0.9037980645233636,0.677720361892718,0.677720361892718,0.4617183586194713,0.34825390250837474,0.5068690004023683,0.41392065190859756,0.8970835779138346,0.6032345751321645,3.322706409451801,0.5058561784786691,0.8100312327760426,0.896506930199113,0.9037980645233636,0.88,0.7261904761904762,0.7261904761904762,0.5033112582781458,0.2594765028361725,0.5714285714285715,0.5263157894736842,0.8598341724061922,0.6900655593423543,4.14468515128645,0.5103545438827409,0.6666666666666666,0.8703030303030304,0.88,ensemble_ADWINBoostingClassifier
