Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.000225067138671875,4.029273986816406e-05,0.00017905235290527344,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BernoulliNB
2,0.00041484832763671875,0.0001652240753173828,4.267692565917969e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
3,0.0003902912139892578,0.0001518726348876953,5.173683166503906e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
4,0.0002548694610595703,9.083747863769531e-05,3.981590270996094e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,BernoulliNB
5,0.0002932548522949219,0.0001232624053955078,4.076957702636719e-05,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,BernoulliNB
6,0.0005397796630859375,0.0001823902130126953,8.0108642578125e-05,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,BernoulliNB
7,0.000324249267578125,0.00013780593872070312,4.601478576660156e-05,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.625,0.24999999999999986,0.048035084242561754,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,BernoulliNB
8,0.00027751922607421875,0.00011563301086425781,3.933906555175781e-05,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,BernoulliNB
9,0.0002872943878173828,0.00011372566223144531,4.172325134277344e-05,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,BernoulliNB
10,0.0002770423889160156,0.00011420249938964844,4.100799560546875e-05,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.35714285714285715,0.10702939421636304,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.10702939421636304,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,BernoulliNB
