Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003523826599121094,6.842613220214844e-05,0.00027680397033691406,0.7173051519154557,0.7083729658887886,0.7083729658887887,0.4217114972065435,0.13796735484309375,0.6635975746687627,0.6378982816682498,0.6057680273212769,0.7030682036421648,9.764024608083727,0.4245491527462798,0.7113625421280694,0.716753680678203,0.7173051519154557,0.91,0.8977777777777778,0.908080808080808,0.8178137651821863,0.562163871926072,0.8988764044943819,0.8928571428571428,0.8349143684529443,0.9078779787187395,3.108521859439108,0.8179813767622686,0.9090909090909091,0.9099837662337663,0.91,HardSamplingClassifier
2,0.0011222362518310547,0.0001957416534423828,0.0004963874816894531,0.7173318237569583,0.7083905045840653,0.7083905045840654,0.4217507257296439,0.13799544166002553,0.6635975746687627,0.6378982816682498,0.6058001300980594,0.7030837159383155,9.763103386779067,0.4245882563294106,0.7113625421280694,0.7167779633358449,0.7173318237569583,0.91,0.8977777777777778,0.908080808080808,0.8178137651821863,0.562163871926072,0.8988764044943819,0.8928571428571428,0.8349143684529443,0.9078779787187395,3.108521859439108,0.8179813767622686,0.9090909090909091,0.9099837662337663,0.91,HardSamplingClassifier
3,0.0007662773132324219,0.00018715858459472656,0.00024008750915527344,0.7173584905660377,0.7084080372811563,0.7084080372811563,0.42178994153082566,0.13802352337038726,0.6635975746687627,0.6378982816682498,0.6058322328947593,0.7030992225872353,9.762182339289748,0.4246273471862696,0.7113625421280694,0.7168022421692172,0.7173584905660377,0.92,0.9188311688311688,0.9188311688311688,0.8376623376623377,0.5945090569969761,0.9090909090909091,0.9090909090909091,0.8519710378117458,0.9187795405622854,2.7631340954900008,0.8376623376623378,0.9090909090909091,0.92,0.92,HardSamplingClassifier
4,0.0007576942443847656,0.0001800060272216797,0.00024127960205078125,0.7172908216206019,0.7083426213928391,0.7083426213928391,0.4216603046539411,0.13794694533753826,0.6635230717413271,0.6377881377881378,0.6057773202260015,0.7030252549659074,9.764519533333292,0.42450579943854844,0.7113625421280694,0.7167400166855892,0.7172908216206019,0.91,0.8961038961038961,0.9074675324675325,0.8169243287225387,0.5611380140267275,0.896551724137931,0.8904109589041096,0.8357099630933702,0.9072221051385091,3.108521859439108,0.817093397296785,0.9069767441860465,0.9099469604243166,0.91,HardSamplingClassifier
5,0.0007874965667724609,0.0001995563507080078,0.0002665519714355469,0.7173174872665535,0.7083601480948207,0.7083601480948207,0.421699513086849,0.13797501795992162,0.6635230717413271,0.6377881377881378,0.6058094183120347,0.70304075433995,9.763598526020207,0.4245448827058381,0.7113625421280694,0.7167642905950349,0.7173174872665535,0.91,0.8961038961038961,0.9074675324675325,0.8169243287225387,0.5611380140267275,0.896551724137931,0.8904109589041096,0.8357099630933702,0.9072221051385091,3.108521859439108,0.817093397296785,0.9069767441860465,0.9099469604243166,0.91,HardSamplingClassifier
6,0.0008399486541748047,0.00022411346435546875,0.00027489662170410156,0.7172498349523719,0.7082921987192975,0.7082921987192974,0.42155730926980606,0.1378655991189519,0.6634485855410868,0.6377606077610394,0.6057457439087474,0.702980662818464,9.76593522105617,0.42439163173271643,0.7111913357400722,0.7166879580092957,0.7172498349523719,0.9,0.8871753246753247,0.898538961038961,0.797077922077922,0.5272453832840769,0.8863636363636365,0.8863636363636364,0.8189863234111022,0.8984564686026952,3.453917619362517,0.7970779220779222,0.8863636363636364,0.9,0.9,HardSamplingClassifier
7,0.0009660720825195312,0.00020933151245117188,0.00040435791015625,0.7172764994341758,0.7083319849411561,0.7083319849411561,0.4216321857181385,0.13791241186120984,0.6635241301907967,0.6378387709304332,0.6057545102386396,0.7030256483143749,9.765014253947431,0.42446627033394435,0.7112608277189605,0.7167185943960711,0.7172764994341758,0.91,0.8977777777777778,0.908080808080808,0.8178137651821863,0.562163871926072,0.8988764044943819,0.8928571428571428,0.8349143684529443,0.9078779787187395,3.108521859439108,0.8179813767622686,0.9090909090909091,0.9099837662337663,0.91,HardSamplingClassifier
8,0.0009262561798095703,0.00022268295288085938,0.0003464221954345703,0.7173031588873173,0.7083495142699143,0.7083495142699143,0.42167138981792235,0.1379404751855492,0.6635241301907967,0.6378387709304332,0.6057865986448598,0.7030411519866794,9.764093460524146,0.4245053498356375,0.7112608277189605,0.7167428682936319,0.7173031588873173,0.91,0.8977777777777778,0.908080808080808,0.8178137651821863,0.562163871926072,0.8988764044943819,0.8928571428571428,0.8349143684529443,0.9078779787187395,3.108521859439108,0.8179813767622686,0.9090909090909091,0.9099837662337663,0.91,HardSamplingClassifier
9,0.0010256767272949219,0.0002124309539794922,0.00044989585876464844,0.7173298133132189,0.7083670376077877,0.7083670376077877,0.4217105812119303,0.1379685334114733,0.6635241301907967,0.6378387709304332,0.605818687068616,0.7030566500186857,9.763172840737184,0.4245444166271655,0.7112608277189605,0.7167671383697513,0.7173298133132189,0.91,0.8977777777777778,0.908080808080808,0.8178137651821863,0.562163871926072,0.8988764044943819,0.8928571428571428,0.8349143684529443,0.9078779787187395,3.108521859439108,0.8179813767622686,0.9090909090909091,0.9099837662337663,0.91,HardSamplingClassifier
10,0.0007674694061279297,0.00019216537475585938,0.0002415180206298828,0.7173564627133026,0.708384554957847,0.7083845549578471,0.4217497599063389,0.13799658654021696,0.6635241301907967,0.6378387709304332,0.6058507755065486,0.7030721424134827,9.762252394537436,0.42458347071473557,0.7112608277189605,0.7167914046251586,0.7173564627133026,0.91,0.8977777777777778,0.908080808080808,0.8178137651821863,0.562163871926072,0.8988764044943819,0.8928571428571428,0.8349143684529443,0.9078779787187395,3.108521859439108,0.8179813767622686,0.9090909090909091,0.9099837662337663,0.91,HardSamplingClassifier
11,0.0007932186126708984,0.0001857280731201172,0.0002522468566894531,0.717288838612368,0.7083191719741447,0.7083191719741446,0.42162020414102686,0.13792006249460287,0.6634496689484906,0.6377286848463927,0.6057958964270883,0.7029982087530003,9.764588039710924,0.42446199428309667,0.7112608277189605,0.7167292015191952,0.717288838612368,0.9,0.8961616161616162,0.896969696969697,0.797160243407708,0.531615791433597,0.8863636363636364,0.8744394618834082,0.8190686419862532,0.8964576753178946,3.4539096233882147,0.7978170208845512,0.9069767441860465,0.9002447980416156,0.9,HardSamplingClassifier
12,0.0009779930114746094,0.0002105236053466797,0.00041174888610839844,0.7172212272598737,0.708253816485389,0.7082538164853891,0.42149068583099875,0.1378435904429166,0.663375224416517,0.637618636755824,0.6057410525723357,0.7029242984117612,9.766923244570496,0.42434056254278435,0.7112608277189605,0.7166670292551398,0.7172212272598737,0.89,0.8760064412238325,0.8868760064412238,0.7775080906148867,0.5042397125880662,0.8764044943820224,0.8590308370044053,0.8028374715589686,0.8860158884519915,3.7992973873373215,0.7789434539367224,0.9069767441860465,0.8908935128518972,0.89,HardSamplingClassifier
13,0.0008802413940429688,0.00021076202392578125,0.00031828880310058594,0.7171536286522149,0.7081884884742408,0.7081884884742407,0.42136120496748986,0.13776717033686736,0.6633007965892517,0.6375086266390614,0.6056862439271938,0.7028504113775095,9.76925800924065,0.4242191754688629,0.7112608277189605,0.7166048878153871,0.7171536286522149,0.89,0.8760064412238325,0.8868760064412238,0.7775080906148867,0.5042397125880662,0.8764044943820224,0.8590308370044053,0.8028374715589686,0.8860158884519915,3.7992973873373215,0.7789434539367224,0.9069767441860465,0.8908935128518972,0.89,HardSamplingClassifier
14,0.0008916854858398438,0.0002162456512451172,0.0002999305725097656,0.71718028461031,0.7082059998395546,0.7082059998395546,0.4214003869745612,0.13779520643483678,0.6633007965892517,0.6375086266390614,0.6057183182032856,0.7028658932540537,9.768337336541636,0.42425823221692227,0.7112608277189605,0.7166291469508675,0.71718028461031,0.89,0.8755555555555555,0.8858585858585859,0.7764227642276423,0.5033719727485053,0.8735632183908046,0.8558558558558558,0.8037928499343712,0.8848899948752404,3.7992973873373215,0.7778701812482094,0.9047619047619048,0.8907635467980296,0.89,HardSamplingClassifier
15,0.0008480548858642578,0.00021219253540039062,0.0002739429473876953,0.7171127026008293,0.7081406992886883,0.7081406992886883,0.4212709488742612,0.13771883424330422,0.6632263854610724,0.6373986544764533,0.6056635400194557,0.702792027887526,9.770671527934246,0.42413689489494755,0.7112608277189605,0.7165670352094282,0.7171127026008293,0.88,0.8760064412238325,0.8760064412238325,0.7568881685575365,0.47798138705129267,0.8636363636363636,0.84070796460177,0.7879884108213346,0.8745829463880035,4.144685151286428,0.7593857340696308,0.9047619047619048,0.8817077175697865,0.88,HardSamplingClassifier
16,0.0008828639984130859,0.00021791458129882812,0.0002841949462890625,0.7170451333270518,0.7080754261807937,0.7080754261807937,0.42114154819799693,0.1376425138987134,0.66315199102636,0.6372887202483615,0.6056087970105706,0.7027181858040138,9.773005279452853,0.4240156021850836,0.7112608277189605,0.7165049542529184,0.7170451333270518,0.87,0.8566840626254516,0.8665194700923324,0.7374798061389337,0.45413526293683704,0.853932584269663,0.8260869565217391,0.7726191420474975,0.864575599634259,4.490072915235534,0.7412680257729537,0.9047619047619048,0.8729967159277504,0.87,HardSamplingClassifier
17,0.0008685588836669922,0.0002071857452392578,0.0002987384796142578,0.7170717919728661,0.7081152225153813,0.7081152225153813,0.42121642193325,0.13768927567993816,0.6632275428955927,0.6373669008923568,0.6056175264573411,0.7027632074770412,9.772084513928126,0.42409023567836196,0.7113302862641327,0.7165356098538687,0.7170717919728661,0.87,0.8566840626254516,0.8665194700923324,0.7374798061389337,0.45413526293683704,0.853932584269663,0.8260869565217391,0.7726191420474975,0.864575599634259,4.490072915235534,0.7412680257729537,0.9047619047619048,0.8729967159277504,0.87,HardSamplingClassifier
18,0.0008423328399658203,0.0002117156982421875,0.0002663135528564453,0.7170984455958549,0.708155002132332,0.708155002132332,0.4212912621999036,0.13773602539335927,0.6633030608812647,0.6374450478407033,0.6056262669285442,0.7028082073551154,9.771163921887247,0.424164835644658,0.7113997113997114,0.7165662577810377,0.7170984455958549,0.87,0.8573717948717948,0.8677884615384616,0.7385358004827031,0.4546354867077297,0.8571428571428572,0.8297872340425534,0.7716853931737216,0.8660254037844387,4.490072915235534,0.7422987525884315,0.9069767441860465,0.8732435740514076,0.87,HardSamplingClassifier
19,0.0008087158203125,0.000209808349609375,0.00026726722717285156,0.7170308967596082,0.7080871104194681,0.7080871104194681,0.4211492400030626,0.13762679359122676,0.6632286995515695,0.637417575313537,0.6055627187600268,0.7027481870119209,9.773497042843394,0.4240117211667467,0.7112286607357537,0.7164899418136023,0.7170308967596082,0.86,0.8474508229626656,0.8570855078281814,0.717628075837031,0.42172672420432256,0.8444444444444444,0.8225108225108224,0.7571847877836356,0.8557079231719227,4.835468675158943,0.7199750202080983,0.8837209302325582,0.8616646266829865,0.86,HardSamplingClassifier
20,0.0008327960968017578,0.00022363662719726562,0.0002644062042236328,0.7170575492135255,0.7081046244073259,0.7081046244073259,0.42118842846824783,0.13765481691127546,0.6632286995515695,0.637417575313537,0.6055947670629312,0.7027636709174935,9.77257649117693,0.424050784423698,0.7112286607357537,0.7165141935517698,0.7170575492135255,0.86,0.8450080515297906,0.855877616747182,0.7163695299837926,0.4208769968133148,0.8409090909090908,0.8185840707964602,0.7582681547556981,0.8543249823827871,4.835468675158943,0.7187333928453464,0.8809523809523809,0.8614449917898193,0.86,HardSamplingClassifier
21,0.0008230209350585938,0.00021123886108398438,0.0002627372741699219,0.7169900169523451,0.7080367644788483,0.7080367644788483,0.4210464508253408,0.1375456806142673,0.6631543548929493,0.6373901051542837,0.6055312523251434,0.7027036748725712,9.774909039632492,0.4238977422897572,0.7110576923076923,0.7164379378084249,0.7169900169523451,0.85,0.8357487922705314,0.8466183574879227,0.6966019417475727,0.3915623291068814,0.8314606741573034,0.8149779735682819,0.743218833430154,0.8455624432356418,5.180864435082351,0.6978879436415379,0.8604651162790697,0.8505507955936352,0.85,HardSamplingClassifier
22,0.0008399486541748047,0.0002071857452392578,0.0002753734588623047,0.7170166682361804,0.7080542810815856,0.7080542810815857,0.42108563482252237,0.13757369020167598,0.6631543548929493,0.6373901051542837,0.6055632978212557,0.702719162070841,9.773988528375346,0.42393680173085907,0.7110576923076923,0.7164621947057545,0.7170166682361804,0.85,0.8355555555555556,0.8454545454545455,0.6951219512195121,0.3903840878255024,0.8275862068965518,0.8108108108108109,0.7444605098893402,0.8442317648177381,5.180864435082351,0.6964178062483968,0.8571428571428571,0.8503694581280788,0.85,HardSamplingClassifier
23,0.0008428096771240234,0.00020885467529296875,0.00026226043701171875,0.7170433145009416,0.7080940439914316,0.7080940439914316,0.4211604628931518,0.13762041776684808,0.6632298554297883,0.6374682235339739,0.6055720321502762,0.7027641344713689,9.773068190472486,0.42401139181657366,0.711127132900745,0.7164928229168391,0.7170433145009416,0.85,0.8357487922705314,0.8466183574879227,0.6966019417475727,0.3915623291068814,0.8314606741573034,0.8149779735682819,0.743218833430154,0.8455624432356418,5.180864435082351,0.6978879436415379,0.8604651162790697,0.8505507955936352,0.85,HardSamplingClassifier
24,0.0008299350738525391,0.0002117156982421875,0.0002677440643310547,0.7170699557480463,0.7081115546147858,0.7081115546147858,0.42119963434648383,0.13764842674043454,0.6632298554297883,0.6374682235339739,0.6056040708303192,0.7027796170326486,9.772148025874946,0.4240504386225526,0.711127132900745,0.7165170708360915,0.7170699557480463,0.85,0.8355555555555556,0.8454545454545455,0.6951219512195121,0.3903840878255024,0.8275862068965518,0.8108108108108109,0.7444605098893402,0.8442317648177381,5.180864435082351,0.6964178062483968,0.8571428571428571,0.8503694581280788,0.85,HardSamplingClassifier
25,0.0007748603820800781,0.00019216537475585938,0.0002512931823730469,0.7170965919789117,0.7081290592618181,0.7081290592618181,0.4212387931244878,0.137676430638197,0.6632298554297883,0.6374682235339739,0.6056361095344488,0.7027950939688716,9.77122803453378,0.4240894727485132,0.711127132900745,0.7165413149465671,0.7170965919789117,0.85,0.8327922077922078,0.8441558441558441,0.6933769419460343,0.3889398554815491,0.8235294117647058,0.8064516129032258,0.7458940671254617,0.8427498280790526,5.180864435082351,0.6946844250029801,0.8536585365853658,0.8501860272840017,0.85,HardSamplingClassifier
26,0.0008130073547363281,0.00021266937255859375,0.0002627372741699219,0.7170290878282971,0.7080638296195287,0.7080638296195287,0.42110950142712467,0.1376001703965276,0.6631555356342448,0.6373583767716365,0.6055814129354329,0.7027213135798207,9.773559536779885,0.42396826272147164,0.711127132900745,0.7164792616341797,0.7170290878282971,0.84,0.8327922077922078,0.8327922077922079,0.6721311475409836,0.3662781076376248,0.8095238095238095,0.7870370370370371,0.7331807339331345,0.8306232990562358,5.5262521990314575,0.6744004873337631,0.85,0.8406666666666667,0.84,HardSamplingClassifier
27,0.0007755756378173828,0.000194549560546875,0.0002541542053222656,0.7170557228915663,0.708103581181959,0.7081035811819592,0.4211843023692484,0.13764688351227183,0.663231010531033,0.6374364717029891,0.6055901405044484,0.7027662769702687,9.77263958576927,0.42404282505213436,0.7111965401249399,0.7165098813524903,0.7170557228915663,0.84,0.8327922077922078,0.8327922077922079,0.6721311475409836,0.3662781076376248,0.8095238095238095,0.7870370370370371,0.7331807339331345,0.8306232990562358,5.5262521990314575,0.6744004873337631,0.85,0.8406666666666667,0.84,HardSamplingClassifier
