Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0006256103515625,4.1484832763671875e-05,0.0005807876586914062,0.5556138069873757,0.5577922870721923,0.5577922870721923,0.1139968646638658,0.009576303705315925,0.5387946982392758,0.562161081994314,0.5090117322831346,0.5573928404165372,15.348759704702207,0.11501996912647558,0.5038876450234073,0.5627347954191612,0.5556138069873757,0.53,0.5014141414141414,0.5040404040404041,0.008438818565400852,8.033378924476864e-05,0.31884057971014496,0.2696078431372549,0.559046978907547,0.4320493798938574,16.233328853273772,0.009413041578748426,0.4583333333333333,0.5101973684210526,0.53,OneVsRestClassifier
2,0.000270843505859375,3.314018249511719e-05,6.031990051269531e-05,0.5556231257994841,0.5578010936406104,0.5578010936406104,0.11401397721941817,0.00957916843111628,0.5387946982392758,0.562161081994314,0.5090144288532471,0.5574019866844261,15.348437840049268,0.11503719520421014,0.5038876450234073,0.5627450890946253,0.5556231257994841,0.53,0.5014141414141414,0.5040404040404041,0.008438818565400852,8.033378924476864e-05,0.31884057971014496,0.2696078431372549,0.559046978907547,0.4320493798938574,16.233328853273772,0.009413041578748426,0.4583333333333333,0.5101973684210526,0.53,OneVsRestClassifier
3,0.00024127960205078125,2.9325485229492188e-05,5.698204040527344e-05,0.5556324442207683,0.5578098995394802,0.5578098995394802,0.11403108839630177,0.009582033356814512,0.5387946982392758,0.562161081994314,0.5090171260523727,0.5574111321068806,15.348115988895099,0.11505441988292132,0.5038876450234073,0.5627553822411463,0.5556324442207683,0.54,0.49756493506493504,0.5089285714285714,0.018771331058020542,0.00039011375716679897,0.3235294117647059,0.275,0.561037253341541,0.43813729094233206,15.887941089324665,0.02075486475570412,0.4583333333333333,0.5185087719298246,0.54,OneVsRestClassifier
4,0.0006234645843505859,3.0517578125e-05,0.00043845176696777344,0.5556207930550022,0.5577963631288124,0.5577963631288123,0.11400527099494123,0.009577554800456634,0.538782972055367,0.5621406577835908,0.509013059757566,0.5573980979758127,15.348518401619334,0.11502768196300871,0.5038876450234073,0.5627395820636744,0.5556207930550022,0.54,0.49756493506493504,0.5089285714285714,0.018771331058020542,0.00039011375716679897,0.3235294117647059,0.275,0.561037253341541,0.43813729094233206,15.887941089324665,0.02075486475570412,0.4583333333333333,0.5185087719298246,0.54,OneVsRestClassifier
5,0.00025916099548339844,3.337860107421875e-05,7.295608520507812e-05,0.5556301111344097,0.5578051683582103,0.5578051683582104,0.11402238106571438,0.009580419293468645,0.538782972055367,0.5621406577835908,0.5090157572068242,0.5574072423391233,15.348196562273525,0.11504490545125041,0.5038876450234073,0.5627498744712837,0.5556301111344097,0.54,0.49756493506493504,0.5089285714285714,0.018771331058020542,0.00039011375716679897,0.3235294117647059,0.275,0.561037253341541,0.43813729094233206,15.887941089324665,0.02075486475570412,0.4583333333333333,0.5185087719298246,0.54,OneVsRestClassifier
6,0.000301361083984375,3.2901763916015625e-05,8.559226989746094e-05,0.5556184605061751,0.5577949672925475,0.5577949672925475,0.11400150851332408,0.009577016562633212,0.5387712463818581,0.5621355519627967,0.5090144311547302,0.5573966483650588,15.34859897319865,0.1150244480778159,0.5038671334364568,0.562741681006193,0.5556184605061751,0.54,0.49756493506493504,0.5089285714285714,0.018771331058020542,0.00039011375716679897,0.3235294117647059,0.275,0.561037253341541,0.43813729094233206,15.887941089324665,0.02075486475570412,0.4583333333333333,0.5185087719298246,0.54,OneVsRestClassifier
7,0.00025725364685058594,3.2901763916015625e-05,7.271766662597656e-05,0.5556068103665185,0.5577814321479113,0.5577814321479113,0.11397569341142957,0.009572539641250377,0.538759521218716,0.5621151296070915,0.5090103658890147,0.5573836151821876,15.349001350482506,0.11499771277345187,0.5038671334364568,0.562725882060346,0.5556068103665185,0.53,0.5014141414141414,0.5040404040404041,0.008438818565400852,8.033378924476864e-05,0.31884057971014496,0.2696078431372549,0.559046978907547,0.4320493798938574,16.233328853273772,0.009413041578748426,0.4583333333333333,0.5101973684210526,0.53,OneVsRestClassifier
8,0.00025916099548339844,3.314018249511719e-05,7.2479248046875e-05,0.5556161281529785,0.5577902367609945,0.5577902367609946,0.11399280235399512,0.009575403196717902,0.538759521218716,0.5621151296070915,0.5090130630844848,0.5573927587154296,15.348679521254937,0.11501493512377162,0.5038671334364568,0.5627361740382196,0.5556161281529785,0.54,0.5107070707070707,0.5131313131313131,0.027484143763213557,0.0008917048378576098,0.32352941176470584,0.27093596059113295,0.5650623885918004,0.43716256828680006,15.887933093350362,0.031046773579116043,0.4782608695652174,0.522360248447205,0.54,OneVsRestClassifier
9,0.0002593994140625,3.266334533691406e-05,7.390975952148438e-05,0.5556044785507611,0.5577800365238601,0.5577800365238601,0.11397193165346872,0.009572001631905191,0.5387477965659071,0.5621100242500203,0.5090117377371074,0.557382165821944,15.349081896741813,0.11499447941350002,0.5038466235193553,0.5627279814938564,0.5556044785507611,0.53,0.5014141414141414,0.5040404040404041,0.008438818565400852,8.033378924476864e-05,0.31884057971014496,0.2696078431372549,0.559046978907547,0.4320493798938574,16.233328853273772,0.009413041578748426,0.4583333333333333,0.5101973684210526,0.53,OneVsRestClassifier
10,0.0004551410675048828,6.127357482910156e-05,0.00013637542724609375,0.5556137959953874,0.5577888405207143,0.5577888405207143,0.11398903919568838,0.009574864882354817,0.5387477965659071,0.5621100242500203,0.5090144350575263,0.5573913087390152,15.348760079320769,0.11501170041776226,0.5038466235193553,0.5627382732520119,0.5556137959953874,0.54,0.5107070707070707,0.5131313131313131,0.027484143763213557,0.0008917048378576098,0.32352941176470584,0.27093596059113295,0.5650623885918004,0.43716256828680006,15.887933093350362,0.031046773579116043,0.4782608695652174,0.522360248447205,0.54,OneVsRestClassifier
