Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00016307830810546875,4.601478576660156e-05,0.00011372566223144531,0.6161539913191169,0.6179071404546087,0.6179071404546088,0.2330699308058711,0.04009433196907186,0.5973074638685408,0.6193037195172016,0.5294751541409698,0.6176736980513806,13.257747483987691,0.23456538305502989,0.5639252336448598,0.6221053627156881,0.6161539913191169,0.45,0.4888888888888889,0.5,0.0,1.0,0.6206896551724138,0.8035714285714286,0.7071067811865476,0.0,18.996766795787412,0.0,0.45,0.2025,0.45,RandomSampler
2,4.887580871582031e-05,2.2411346435546875e-05,2.4080276489257812e-05,0.6161539913191169,0.6179071404546087,0.6179071404546088,0.2330699308058711,0.04009433196907186,0.5973074638685408,0.6193037195172016,0.5294751541409698,0.6176736980513806,13.257747483987691,0.23456538305502989,0.5639252336448598,0.6221053627156881,0.6161539913191169,0.45,0.4888888888888889,0.5,0.0,1.0,0.6206896551724138,0.8035714285714286,0.7071067811865476,0.0,18.996766795787412,0.0,0.45,0.2025,0.45,RandomSampler
3,4.553794860839844e-05,2.1219253540039062e-05,2.193450927734375e-05,0.6161539913191169,0.6179071404546087,0.6179071404546088,0.2330699308058711,0.04009433196907186,0.5973074638685408,0.6193037195172016,0.5294751541409698,0.6176736980513806,13.257747483987691,0.23456538305502989,0.5639252336448598,0.6221053627156881,0.6161539913191169,0.45,0.4888888888888889,0.5,0.0,1.0,0.6206896551724138,0.8035714285714286,0.7071067811865476,0.0,18.996766795787412,0.0,0.45,0.2025,0.45,RandomSampler
4,9.512901306152344e-05,2.1696090698242188e-05,7.128715515136719e-05,0.6161539913191169,0.6179071404546087,0.6179071404546088,0.2330699308058711,0.04009433196907186,0.5973074638685408,0.6193037195172016,0.5294751541409698,0.6176736980513806,13.257747483987691,0.23456538305502989,0.5639252336448598,0.6221053627156881,0.6161539913191169,0.45,0.4888888888888889,0.5,0.0,1.0,0.6206896551724138,0.8035714285714286,0.7071067811865476,0.0,18.996766795787412,0.0,0.45,0.2025,0.45,RandomSampler
5,0.0003311634063720703,0.00010538101196289062,4.9591064453125e-05,0.6161249233382082,0.6178814445806449,0.6178814445806449,0.23301586155583226,0.04007647155207761,0.5972779015095273,0.6192910072459306,0.5294639895776165,0.6176472853726551,13.258751485898733,0.23451333379233502,0.5638725352770769,0.6220839656885487,0.6161249233382082,0.45,0.4888888888888889,0.5,0.0,1.0,0.6206896551724138,0.8035714285714286,0.7071067811865476,0.0,18.996766795787412,0.0,0.45,0.2025,0.45,RandomSampler
6,0.00032067298889160156,0.00011944770812988281,2.8848648071289062e-05,0.6160958580998207,0.617855753101392,0.6178557531013918,0.23296180100118813,0.040058618536689905,0.5972483420766108,0.6192782954965311,0.5294528314020138,0.6176208760819805,13.259755393083678,0.23446129384777228,0.5638198467576154,0.622062575095625,0.6160958580998207,0.44,0.5,0.5,0.0,1.0,0.6111111111111112,0.7971014492753624,0.7086763875156433,0.0,19.342162555710818,0.0,0.44,0.1936,0.44,RandomSampler
7,0.0003216266632080078,0.00011920928955078125,2.956390380859375e-05,0.616113967639983,0.6178749592785413,0.6178749592785413,0.23300129222421803,0.04007235312351065,0.5972882026920032,0.6193173655152598,0.5294588805152625,0.6176395595481662,13.259129903419398,0.23450088334183802,0.5638605998318229,0.6220781001318062,0.616113967639983,0.44,0.5,0.5,0.0,1.0,0.6111111111111112,0.7971014492753624,0.7086763875156433,0.0,19.342162555710818,0.0,0.44,0.1936,0.44,RandomSampler
8,0.0003292560577392578,0.00011897087097167969,3.0040740966796875e-05,0.6161320754716981,0.6178920255062534,0.6178920255062534,0.23303401796265652,0.040083605380676235,0.5972882026920032,0.6193173655152598,0.5294690904582151,0.6176571032572379,13.258504472763576,0.23453369048216818,0.5638605998318229,0.6220977063963976,0.6161320754716981,0.45,0.5089285714285714,0.5089285714285714,0.015748031496063047,0.10424427630914435,0.6153846153846153,0.8,0.7000333964644779,0.13363062095621217,18.996766795787412,0.08908708063747506,0.4444444444444444,0.7555555555555555,0.45,RandomSampler
9,0.00045228004455566406,0.00015306472778320312,3.838539123535156e-05,0.6161030140087732,0.6178663391576613,0.6178663391576613,0.23297996702810628,0.04006575452548744,0.5972586471374141,0.6193046547902472,0.5294579344610042,0.6176306980628922,13.259508249543897,0.2344816611473708,0.5638079222720478,0.622076322096068,0.6161030140087732,0.45,0.5089285714285714,0.5089285714285714,0.015748031496063047,0.10424427630914435,0.6153846153846153,0.8,0.7000333964644779,0.13363062095621217,18.996766795787412,0.08908708063747506,0.4444444444444444,0.7555555555555555,0.45,RandomSampler
10,0.00042629241943359375,0.00012564659118652344,4.863739013671875e-05,0.6160739552872371,0.6178406572010241,0.6178406572010241,0.23292592478513632,0.040047911065749564,0.5972290945076695,0.6192919445869677,0.5294467848480204,0.6176042962547682,13.260511931637227,0.23442964112463122,0.5637552545539467,0.6220549442250239,0.6160739552872371,0.45,0.5089285714285714,0.5089285714285714,0.015748031496063047,0.10424427630914435,0.6153846153846153,0.8,0.7000333964644779,0.13363062095621217,18.996766795787412,0.08908708063747506,0.4444444444444444,0.7555555555555555,0.45,RandomSampler
