Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.029282093048095703,0.008992433547973633,0.019932270050048828,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
2,0.02226734161376953,0.012143611907958984,0.009797811508178711,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
3,0.017431259155273438,0.008082866668701172,0.008973836898803711,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
4,0.0315709114074707,0.00980997085571289,0.02141571044921875,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_best_model_average
5,0.02777552604675293,0.009754419326782227,0.017718076705932617,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_best_model_average
6,0.02671980857849121,0.010390281677246094,0.016033411026000977,0.8333333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_best_model_average
7,0.03005695343017578,0.010132312774658203,0.019631385803222656,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_best_model_average
8,0.027409076690673828,0.010241508483886719,0.016884803771972656,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_best_model_average
9,0.022026538848876953,0.00996708869934082,0.011719703674316406,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_best_model_average
10,0.022518157958984375,0.009865522384643555,0.012349367141723633,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_best_model_average
11,0.031609535217285156,0.01570296287536621,0.015594720840454102,0.7272727272727273,0.5,0.5,0.0,1.0,0.0,0.0,0.7507571935295483,0.0,9.419666289521096,0.0,0.0,0.5289256198347108,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7507571935295483,0.0,9.419666289521096,0.0,0.0,0.5289256198347108,0.7272727272727273,ensemble_best_model_average
12,0.02988743782043457,0.010693073272705078,0.016382932662963867,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7177405625652734,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7177405625652734,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_best_model_average
13,0.021849632263183594,0.010074615478515625,0.01145315170288086,0.6153846153846154,0.5,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.284144767273341,0.0,0.0,0.37869822485207105,0.6153846153846154,0.6153846153846154,0.4,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.284144767273341,0.0,0.0,0.37869822485207105,0.6153846153846154,ensemble_best_model_average
14,0.029735565185546875,0.015462875366210938,0.01398324966430664,0.6428571428571429,0.5,0.5,0.0,1.0,0.0,0.0,0.7109813678954643,0.0,12.335277283896675,0.0,0.0,0.413265306122449,0.6428571428571429,0.6428571428571429,0.4,0.5,0.0,1.0,0.0,0.0,0.7109813678954643,0.0,12.335277283896675,0.0,0.0,0.413265306122449,0.6428571428571429,ensemble_best_model_average
15,0.026998043060302734,0.01583385467529297,0.010872602462768555,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964275,0.0,0.0,0.36000000000000004,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964275,0.0,0.0,0.36000000000000004,0.6,ensemble_best_model_average
16,0.029471874237060547,0.01546788215637207,0.013720512390136719,0.5625,0.5,0.5,0.0,1.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,0.5625,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,ensemble_best_model_average
17,0.029755592346191406,0.01566624641418457,0.013788461685180664,0.5882352941176471,0.5625,0.5625,0.13138686131386873,0.2074685764552553,0.2222222222222222,0.15151515151515152,0.6504205370373848,0.3535533905932738,14.221849103786754,0.2651650429449553,1.0,0.7683823529411765,0.5882352941176471,0.5882352941176471,0.5,0.5625,0.13138686131386873,0.2074685764552553,0.2222222222222222,0.15151515151515152,0.6504205370373848,0.3535533905932738,14.221849103786754,0.2651650429449553,1.0,0.7683823529411765,0.5882352941176471,ensemble_best_model_average
18,0.027520179748535156,0.015815258026123047,0.01139211654663086,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.22222222222222232,0.24074331839004204,0.3636363636363636,0.2631578947368421,0.6213968683154508,0.4714045207910317,13.431746375798602,0.3535533905932738,1.0,0.78125,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.22222222222222232,0.24074331839004204,0.3636363636363636,0.2631578947368421,0.6213968683154508,0.4714045207910317,13.431746375798602,0.3535533905932738,1.0,0.78125,0.6111111111111112,ensemble_best_model_average
19,0.030149459838867188,0.015694618225097656,0.014134407043457031,0.631578947368421,0.6111111111111112,0.6111111111111112,0.23121387283236983,0.2543339490714218,0.3636363636363636,0.2631578947368421,0.636021811855811,0.4714045207910317,12.724812356019727,0.3615507630310936,1.0,0.7832817337461301,0.631578947368421,0.631578947368421,0.5555555555555556,0.6111111111111112,0.23121387283236983,0.2543339490714218,0.3636363636363636,0.2631578947368421,0.636021811855811,0.4714045207910317,12.724812356019727,0.3615507630310936,1.0,0.7832817337461301,0.631578947368421,ensemble_best_model_average
20,0.028981924057006836,0.015527725219726562,0.013095617294311523,0.6,0.5656565656565656,0.5656565656565656,0.13978494623655904,0.03972340593650081,0.3333333333333333,0.2564102564102564,0.5957262077514677,0.4494665749754947,13.815550537835785,0.1829534767323246,0.6666666666666666,0.6235294117647059,0.6,0.6,0.5151515151515151,0.5656565656565656,0.13978494623655904,0.03972340593650081,0.3333333333333333,0.2564102564102564,0.5957262077514677,0.4494665749754947,13.815550537835785,0.1829534767323246,0.6666666666666666,0.6235294117647059,0.6,ensemble_best_model_average
21,0.03009033203125,0.015074729919433594,0.014674663543701172,0.5714285714285714,0.5277777777777778,0.5277777777777778,0.059701492537313494,0.00499518505153318,0.30769230769230765,0.25,0.5650210848199205,0.4303314829119352,14.802408892812219,0.0700140042014005,0.5,0.5504201680672269,0.5714285714285714,0.5714285714285714,0.48148148148148145,0.5277777777777778,0.059701492537313494,0.00499518505153318,0.30769230769230765,0.25,0.5650210848199205,0.4303314829119352,14.802408892812219,0.0700140042014005,0.5,0.5504201680672269,0.5714285714285714,ensemble_best_model_average
22,0.02986454963684082,0.01514124870300293,0.014428138732910156,0.5909090909090909,0.5341880341880343,0.5341880341880342,0.07476635514018692,0.007910008378549604,0.30769230769230765,0.25,0.5793534731680624,0.4336290903919939,14.129572124957118,0.0871627267280818,0.5,0.5656565656565656,0.5909090909090909,0.5909090909090909,0.48717948717948717,0.5341880341880342,0.07476635514018692,0.007910008378549604,0.30769230769230765,0.25,0.5793534731680624,0.4336290903919939,14.129572124957118,0.0871627267280818,0.5,0.5656565656565656,0.5909090909090909,ensemble_best_model_average
23,0.028904199600219727,0.015800952911376953,0.012784957885742188,0.6086956521739131,0.5730769230769232,0.573076923076923,0.1551020408163266,0.029283277837269694,0.4,0.3333333333333333,0.5649937310320721,0.5038314736557788,13.515242902132895,0.1756550621379892,0.6,0.606280193236715,0.6086956521739131,0.6086956521739131,0.5230769230769231,0.573076923076923,0.1551020408163266,0.029283277837269694,0.4,0.3333333333333333,0.5649937310320721,0.5038314736557788,13.515242902132895,0.1756550621379892,0.6,0.606280193236715,0.6086956521739131,ensemble_best_model_average
24,0.0289156436920166,0.015753746032714844,0.012851715087890625,0.625,0.5785714285714286,0.5785714285714285,0.16923076923076913,0.03513260506042182,0.4,0.3333333333333333,0.5800062196387462,0.50709255283711,12.95210778121069,0.19076419329530633,0.6,0.618421052631579,0.625,0.625,0.5285714285714286,0.5785714285714285,0.16923076923076913,0.03513260506042182,0.4,0.3333333333333333,0.5800062196387462,0.50709255283711,12.95210778121069,0.19076419329530633,0.6,0.618421052631579,0.625,ensemble_best_model_average
25,0.026526451110839844,0.01577162742614746,0.010470390319824219,0.64,0.5833333333333334,0.5833333333333334,0.18181818181818174,0.040871149734026724,0.4,0.3333333333333333,0.5946707772653146,0.5099019513592784,12.434023469962263,0.20412414523193137,0.6,0.63,0.64,0.64,0.5333333333333333,0.5833333333333334,0.18181818181818174,0.040871149734026724,0.4,0.3333333333333333,0.5946707772653146,0.5099019513592784,12.434023469962263,0.20412414523193137,0.6,0.63,0.64,ensemble_best_model_average
26,0.029149532318115234,0.015393495559692383,0.013442277908325195,0.6153846153846154,0.5696969696969697,0.5696969696969697,0.15032679738562096,0.030856587701776017,0.37499999999999994,0.3061224489795918,0.5863019699779287,0.4861724348043977,13.284206274767971,0.1747395505714449,0.6,0.610989010989011,0.6153846153846154,0.6153846153846154,0.5636363636363636,0.5696969696969697,0.15032679738562096,0.030856587701776017,0.37499999999999994,0.3061224489795918,0.5863019699779287,0.4861724348043977,13.284206274767971,0.1747395505714449,0.6,0.610989010989011,0.6153846153846154,ensemble_best_model_average
27,0.031093835830688477,0.01635146141052246,0.01440572738647461,0.6296296296296297,0.6,0.6,0.21052631578947367,0.054102692033334066,0.4444444444444444,0.3703703703703703,0.5760883983860773,0.5374838498865699,12.79219863496175,0.2390457218668787,0.6666666666666666,0.6402116402116401,0.6296296296296297,0.6296296296296297,0.6,0.6,0.21052631578947367,0.054102692033334066,0.4444444444444444,0.3703703703703703,0.5760883983860773,0.5374838498865699,12.79219863496175,0.2390457218668787,0.6666666666666666,0.6402116402116401,0.6296296296296297,ensemble_best_model_average
28,0.03517508506774902,0.015636444091796875,0.019222259521484375,0.6071428571428571,0.5729166666666666,0.5729166666666666,0.15384615384615377,0.024513405690678836,0.4210526315789474,0.3636363636363636,0.5547986278632426,0.5204164998665332,13.568890683439577,0.16666666666666666,0.5714285714285714,0.5986394557823129,0.6071428571428571,0.6071428571428571,0.5729166666666666,0.5729166666666666,0.15384615384615377,0.024513405690678836,0.4210526315789474,0.3636363636363636,0.5547986278632426,0.5204164998665332,13.568890683439577,0.16666666666666666,0.5714285714285714,0.5986394557823129,0.6071428571428571,ensemble_best_model_average
29,0.0327911376953125,0.016079425811767578,0.016430377960205078,0.6206896551724138,0.5784313725490196,0.5784313725490196,0.1671018276762403,0.02914510995049724,0.4210526315789474,0.3636363636363636,0.5673277337697513,0.5239368319955838,13.100997901252006,0.1805404556443455,0.5714285714285714,0.6094939543215405,0.6206896551724138,0.6206896551724138,0.5784313725490197,0.5784313725490196,0.1671018276762403,0.02914510995049724,0.4210526315789474,0.3636363636363636,0.5673277337697513,0.5239368319955838,13.100997901252006,0.1805404556443455,0.5714285714285714,0.6094939543215405,0.6206896551724138,ensemble_best_model_average
30,0.0324249267578125,0.011918783187866211,0.020191192626953125,0.6,0.5656108597285068,0.5656108597285068,0.13875598086124397,0.021600754867472927,0.4,0.33898305084745767,0.5616383312390572,0.5033822257076336,13.815590517707296,0.15374072439330314,0.5714285714285714,0.5925465838509317,0.6,0.6,0.5339366515837104,0.5656108597285068,0.13875598086124397,0.021600754867472927,0.4,0.33898305084745767,0.5616383312390572,0.5033822257076336,13.815590517707296,0.15374072439330314,0.5714285714285714,0.5925465838509317,0.6,ensemble_best_model_average
31,0.03362727165222168,0.01637101173400879,0.016932010650634766,0.5806451612903226,0.5546218487394957,0.5546218487394958,0.11428571428571438,0.01577267343060562,0.38095238095238093,0.3174603174603174,0.5584404250513024,0.48507125007266594,14.484080384713856,0.13002600780260096,0.5714285714285714,0.5779569892473118,0.5806451612903226,0.5806451612903226,0.5546218487394958,0.5546218487394958,0.11428571428571438,0.01577267343060562,0.38095238095238093,0.3174603174603174,0.5584404250513024,0.48507125007266594,14.484080384713856,0.13002600780260096,0.5714285714285714,0.5779569892473118,0.5806451612903226,ensemble_best_model_average
32,0.03260016441345215,0.011553049087524414,0.02073359489440918,0.5625,0.5450980392156862,0.5450980392156862,0.0931174089068826,0.011276865097096689,0.36363636363636365,0.29850746268656714,0.5572764116707851,0.46862334890320484,15.110789635032507,0.1088776457161647,0.5714285714285714,0.5653571428571429,0.5625,0.5625,0.5176470588235295,0.5450980392156862,0.0931174089068826,0.011276865097096689,0.36363636363636365,0.29850746268656714,0.5572764116707851,0.46862334890320484,15.110789635032507,0.1088776457161647,0.5714285714285714,0.5653571428571429,0.5625,ensemble_best_model_average
33,0.030350685119628906,0.011530160903930664,0.01849651336669922,0.5757575757575758,0.5680147058823529,0.5680147058823529,0.1380597014925375,0.022867257128100893,0.4166666666666667,0.3472222222222222,0.5487066451843938,0.5072996561958923,14.652886918819402,0.15863619125682063,0.625,0.5915151515151515,0.5757575757575758,0.5757575757575758,0.5367647058823529,0.5680147058823529,0.1380597014925375,0.022867257128100893,0.4166666666666667,0.3472222222222222,0.5487066451843938,0.5072996561958923,14.652886918819402,0.15863619125682063,0.625,0.5915151515151515,0.5757575757575758,ensemble_best_model_average
34,0.03441119194030762,0.01165318489074707,0.022461891174316406,0.5588235294117647,0.5451388888888888,0.5451388888888888,0.09252669039145912,0.009020528633679303,0.39999999999999997,0.3424657534246575,0.5348894749314709,0.4930066485916347,15.237789538628856,0.10213764617139025,0.5555555555555556,0.5579084967320262,0.5588235294117647,0.5588235294117647,0.5138888888888888,0.5451388888888888,0.09252669039145912,0.009020528633679303,0.39999999999999997,0.3424657534246575,0.5348894749314709,0.4930066485916347,15.237789538628856,0.10213764617139025,0.5555555555555556,0.5579084967320262,0.5588235294117647,ensemble_best_model_average
