Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.029462575912475586,0.006783962249755859,0.02218461036682129,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
2,0.02482318878173828,0.010400533676147461,0.014156103134155273,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
3,0.016512632369995117,0.007281303405761719,0.008968830108642578,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
4,0.02952289581298828,0.015698671340942383,0.013416051864624023,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_best_model_threshold
5,0.021453142166137695,0.010625123977661133,0.0105438232421875,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_best_model_threshold
6,0.02695441246032715,0.016457796096801758,0.010222196578979492,0.8333333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_best_model_threshold
7,0.029093027114868164,0.013965368270874023,0.014776229858398438,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_best_model_threshold
8,0.026282787322998047,0.01391458511352539,0.012094497680664062,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_best_model_threshold
9,0.026366710662841797,0.008276224136352539,0.017720460891723633,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_best_model_threshold
10,0.024935483932495117,0.008369684219360352,0.01619720458984375,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_best_model_threshold
11,0.030286312103271484,0.010933637619018555,0.018976688385009766,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.42105263157894746,0.4301569161309807,0.5,0.3846153846153846,0.7764453512724155,0.5773502691896257,6.279777526347397,0.5163977794943223,1.0,0.8545454545454546,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.42105263157894746,0.4301569161309807,0.5,0.3846153846153846,0.7764453512724155,0.5773502691896257,6.279777526347397,0.5163977794943223,1.0,0.8545454545454546,0.8181818181818182,ensemble_best_model_threshold
12,0.031169414520263672,0.010867595672607422,0.019910335540771484,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7585826061362604,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.6666666666666666,0.5555555555555556,0.7585826061362604,0.7071067811865476,5.756462732485114,0.6324555320336758,1.0,0.8666666666666667,0.8333333333333334,ensemble_best_model_threshold
13,0.02593207359313965,0.011005878448486328,0.014566421508789062,0.8461538461538461,0.8,0.8,0.6486486486486487,0.5208281076617973,0.7499999999999999,0.6521739130434783,0.7492686492653552,0.7745966692414834,5.313657906909336,0.6928203230275509,1.0,0.8769230769230769,0.8461538461538461,0.8461538461538461,0.8,0.8,0.6486486486486487,0.5208281076617973,0.7499999999999999,0.6521739130434783,0.7492686492653552,0.7745966692414834,5.313657906909336,0.6928203230275509,1.0,0.8769230769230769,0.8461538461538461,ensemble_best_model_threshold
14,0.02898406982421875,0.011105537414550781,0.01750922203063965,0.7857142857142857,0.7444444444444445,0.7444444444444445,0.5116279069767441,0.2234094411929589,0.6666666666666665,0.625,0.6606721112122672,0.7302967433402214,7.401223484440161,0.5185449728701348,0.75,0.7821428571428571,0.7857142857142857,0.7857142857142857,0.7333333333333333,0.7444444444444445,0.5116279069767441,0.2234094411929589,0.6666666666666665,0.625,0.6606721112122672,0.7302967433402214,7.401223484440161,0.5185449728701348,0.75,0.7821428571428571,0.7857142857142857,ensemble_best_model_threshold
15,0.028887271881103516,0.011529922485351562,0.01707291603088379,0.8,0.7777777777777777,0.7777777777777777,0.5714285714285715,0.27117894945446275,0.7272727272727272,0.689655172413793,0.6608480480431909,0.7698003589195009,6.9078085854774836,0.5773502691896257,0.8,0.8,0.8,0.8,0.7777777777777778,0.7777777777777777,0.5714285714285715,0.27117894945446275,0.7272727272727272,0.689655172413793,0.6608480480431909,0.7698003589195009,6.9078085854774836,0.5773502691896257,0.8,0.8,0.8,ensemble_best_model_threshold
16,0.028266429901123047,0.00888824462890625,0.019103527069091797,0.8125,0.8015873015873016,0.8015873015873016,0.6129032258064516,0.3077593002403288,0.7692307692307692,0.7352941176470589,0.6668859288553503,0.7968190728895957,6.476070548885141,0.6180700462007377,0.8333333333333334,0.8145833333333333,0.8125,0.8125,0.7936507936507936,0.8015873015873016,0.6129032258064516,0.3077593002403288,0.7692307692307692,0.7352941176470589,0.6668859288553503,0.7968190728895957,6.476070548885141,0.6180700462007377,0.8333333333333334,0.8145833333333333,0.8125,ensemble_best_model_threshold
17,0.016589879989624023,0.008411645889282227,0.007788658142089844,0.8235294117647058,0.8194444444444443,0.8194444444444444,0.6433566433566433,0.3368150115395455,0.7999999999999999,0.7692307692307692,0.67700320038633,0.816496580927726,6.095125222480132,0.6479515952918627,0.8571428571428571,0.826890756302521,0.8235294117647058,0.8235294117647058,0.8194444444444444,0.8194444444444444,0.6433566433566433,0.3368150115395455,0.7999999999999999,0.7692307692307692,0.67700320038633,0.816496580927726,6.095125222480132,0.6479515952918627,0.8571428571428571,0.826890756302521,0.8235294117647058,ensemble_best_model_threshold
18,0.01639246940612793,0.008402109146118164,0.007707118988037109,0.8333333333333334,0.8333333333333333,0.8333333333333333,0.6666666666666667,0.36056227536605023,0.823529411764706,0.7954545454545454,0.6896715738353066,0.8314794192830981,5.756507154564569,0.670820393249937,0.875,0.8374999999999999,0.8333333333333334,0.8333333333333334,0.8271604938271605,0.8333333333333333,0.6666666666666667,0.36056227536605023,0.823529411764706,0.7954545454545454,0.6896715738353066,0.8314794192830981,5.756507154564569,0.670820393249937,0.875,0.8374999999999999,0.8333333333333334,ensemble_best_model_threshold
19,0.012288093566894531,0.004891872406005859,0.00718379020690918,0.7894736842105263,0.788888888888889,0.788888888888889,0.577777777777778,0.2565600135831133,0.7777777777777778,0.7777777777777778,0.6296296296296297,0.7888106377466155,7.271405514447533,0.5777777777777777,0.7777777777777778,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7777777777777778,0.788888888888889,0.577777777777778,0.2565600135831133,0.7777777777777778,0.7777777777777778,0.6296296296296297,0.7888106377466155,7.271405514447533,0.5777777777777777,0.7777777777777778,0.7894736842105263,0.7894736842105263,ensemble_best_model_threshold
20,0.016852855682373047,0.007940292358398438,0.008669853210449219,0.75,0.7525252525252525,0.7525252525252526,0.5,0.19116495692878077,0.7368421052631577,0.7608695652173914,0.5856442973164198,0.7521014330903549,8.634814038342201,0.5025189076296059,0.7,0.7550000000000001,0.75,0.75,0.7373737373737373,0.7525252525252526,0.5,0.19116495692878077,0.7368421052631577,0.7608695652173914,0.5856442973164198,0.7521014330903549,8.634814038342201,0.5025189076296059,0.7,0.7550000000000001,0.75,ensemble_best_model_threshold
21,0.017536640167236328,0.004929065704345703,0.012386322021484375,0.7142857142857143,0.7222222222222223,0.7222222222222222,0.43243243243243246,0.14634644962243992,0.7000000000000001,0.7446808510638298,0.5544826240669377,0.7200822998230956,9.868374131389757,0.4403855060505442,0.6363636363636364,0.7298701298701299,0.7142857142857143,0.7142857142857143,0.7037037037037037,0.7222222222222222,0.43243243243243246,0.14634644962243992,0.7000000000000001,0.7446808510638298,0.5544826240669377,0.7200822998230956,9.868374131389757,0.4403855060505442,0.6363636363636364,0.7298701298701299,0.7142857142857143,ensemble_best_model_threshold
22,0.02210855484008789,0.009156465530395508,0.012680292129516602,0.6818181818181818,0.6965811965811967,0.6965811965811965,0.37398373983739824,0.11407867248234893,0.6666666666666666,0.7291666666666666,0.5333807470626649,0.6918326955503611,10.989792397796627,0.3882167573820722,0.5833333333333334,0.7113636363636364,0.6818181818181818,0.6818181818181818,0.6752136752136753,0.6965811965811965,0.37398373983739824,0.11407867248234893,0.6666666666666666,0.7291666666666666,0.5333807470626649,0.6918326955503611,10.989792397796627,0.3882167573820722,0.5833333333333334,0.7113636363636364,0.6818181818181818,ensemble_best_model_threshold
23,0.0411684513092041,0.019399642944335938,0.021391868591308594,0.6956521739130435,0.7076923076923077,0.7076923076923077,0.40148698884758366,0.13212926207993414,0.6956521739130435,0.7547169811320755,0.5447154471544715,0.7016464154456235,10.51197533702286,0.41538461538461535,0.6153846153846154,0.719732441471572,0.6956521739130435,0.6956521739130435,0.7076923076923077,0.7076923076923077,0.40148698884758366,0.13212926207993414,0.6956521739130435,0.7547169811320755,0.5447154471544715,0.7016464154456235,10.51197533702286,0.41538461538461535,0.6153846153846154,0.719732441471572,0.6956521739130435,ensemble_best_model_threshold
24,0.029132843017578125,0.011891365051269531,0.016861438751220703,0.6666666666666666,0.6857142857142857,0.6857142857142857,0.3513513513513512,0.10649280363974434,0.6666666666666666,0.7407407407407408,0.5294117647058824,0.6761234037828132,11.513125364327777,0.3714285714285713,0.5714285714285714,0.7047619047619048,0.6666666666666666,0.6666666666666666,0.6857142857142857,0.6857142857142857,0.3513513513513512,0.10649280363974434,0.6666666666666666,0.7407407407407408,0.5294117647058824,0.6761234037828132,11.513125364327777,0.3714285714285713,0.5714285714285714,0.7047619047619048,0.6666666666666666,ensemble_best_model_threshold
25,0.018713951110839844,0.009366512298583984,0.009063482284545898,0.64,0.6666666666666666,0.6666666666666667,0.30769230769230776,0.08662065587176326,0.64,0.7272727272727272,0.5200000000000001,0.6531972647421809,12.434183389448302,0.3333333333333334,0.5333333333333333,0.6933333333333332,0.64,0.64,0.6666666666666666,0.6666666666666667,0.30769230769230776,0.08662065587176326,0.64,0.7272727272727272,0.5200000000000001,0.6531972647421809,12.434183389448302,0.3333333333333334,0.5333333333333333,0.6933333333333332,0.64,ensemble_best_model_threshold
26,0.021880149841308594,0.010014772415161133,0.011593103408813477,0.6538461538461539,0.6757575757575758,0.6757575757575758,0.3314285714285714,0.10066578015954164,0.6666666666666666,0.75,0.5292934112111308,0.6605782590758164,11.955945566777213,0.3569653238400649,0.5625,0.6995192307692307,0.6538461538461539,0.6538461538461539,0.6545454545454545,0.6757575757575758,0.3314285714285714,0.10066578015954164,0.6666666666666666,0.75,0.5292934112111308,0.6605782590758164,11.955945566777213,0.3569653238400649,0.5625,0.6995192307692307,0.6538461538461539,ensemble_best_model_threshold
