Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.015752077102661133,0.003759622573852539,0.011738300323486328,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
2,0.009415149688720703,0.004376888275146484,0.004844188690185547,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
3,0.010024547576904297,0.005585193634033203,0.004221916198730469,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
4,0.012460947036743164,0.004450798034667969,0.007790565490722656,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_voting
5,0.012289762496948242,0.004342317581176758,0.007727622985839844,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_voting
6,0.009898185729980469,0.004488945007324219,0.005212545394897461,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,ensemble_voting
7,0.012877941131591797,0.004473209381103516,0.008206605911254883,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_voting
8,0.01072072982788086,0.0045168399810791016,0.005966663360595703,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_voting
9,0.010355234146118164,0.004490375518798828,0.005707263946533203,0.6666666666666666,0.4285714285714286,0.42857142857142855,-0.17391304347826084,0.08557910103462074,0.0,0.0,0.6446583712203042,0.0,11.51301430912914,-0.1889822365046136,0.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,-0.17391304347826084,0.08557910103462074,0.0,0.0,0.6446583712203042,0.0,11.51301430912914,-0.1889822365046136,0.0,0.5833333333333334,0.6666666666666666,ensemble_voting
10,0.011662721633911133,0.0046617984771728516,0.006593942642211914,0.7,0.4375,0.4375,-0.15384615384615447,0.07280247297910736,0.0,0.0,0.6808829066491903,0.0,10.361712878216226,-0.16666666666666669,0.0,0.6222222222222222,0.7,0.7,0.4375,0.4375,-0.15384615384615447,0.07280247297910736,0.0,0.0,0.6808829066491903,0.0,10.361712878216226,-0.16666666666666669,0.0,0.6222222222222222,0.7,ensemble_voting
