Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0006115436553955078,0.00010132789611816406,0.0005064010620117188,0.5675718179911932,0.5543874588920725,0.5543874588920725,0.11066164192455838,0.009573499997536539,0.4694562714655072,0.44282878484170474,0.5286204583593888,0.5394811038254199,14.935680512416647,0.1122570005306816,0.5217441029306648,0.5616609872977641,0.5675718179911932,0.86,0.8488888888888889,0.8585858585858586,0.7171717171717171,0.4126988371809024,0.8444444444444444,0.8444444444444444,0.7567676767676769,0.8584693919818557,4.835484667107405,0.717171717171717,0.8444444444444444,0.86,0.86,ensemble_AdaBoostClassifier
2,0.0003490447998046875,6.651878356933594e-05,0.00010824203491210938,0.5675763516842978,0.554390480076003,0.554390480076003,0.1106679475304361,0.009574613854787861,0.4694562714655072,0.44282878484170474,0.5286230202126005,0.5394834933780891,14.935523922734086,0.11226337392592757,0.5217441029306648,0.5616650340992969,0.5675763516842978,0.86,0.8488888888888889,0.8585858585858586,0.7171717171717171,0.4126988371809024,0.8444444444444444,0.8444444444444444,0.7567676767676769,0.8584693919818557,4.835484667107405,0.717171717171717,0.8444444444444444,0.86,0.86,ensemble_AdaBoostClassifier
3,0.0002758502960205078,6.318092346191406e-05,6.413459777832031e-05,0.5675808852823384,0.5543935011450944,0.5543935011450944,0.1106742529146829,0.009575727741212625,0.4694562714655072,0.44282878484170474,0.5286255821432342,0.5394858828293448,14.935367336334947,0.11226974709470432,0.5217441029306648,0.5616690808341471,0.5675808852823384,0.87,0.8693181818181818,0.8693181818181819,0.7368421052631579,0.4387085676892366,0.853932584269663,0.8597285067873304,0.7720236675941036,0.8692996135866036,4.490096903158299,0.7369931216372914,0.8444444444444444,0.8704646464646464,0.87,ensemble_AdaBoostClassifier
4,0.0009222030639648438,6.318092346191406e-05,0.0007100105285644531,0.567574934736798,0.5543885125545599,0.5543885125545598,0.11066410924127258,0.009574069869240698,0.4694502328213836,0.44282018801900574,0.5286244715911554,0.5394795755242205,14.935572859426678,0.1122598337861097,0.5217441029306648,0.5616632369246971,0.567574934736798,0.87,0.8693181818181818,0.8693181818181819,0.7368421052631579,0.4387085676892366,0.853932584269663,0.8597285067873304,0.7720236675941036,0.8692996135866036,4.490096903158299,0.7369931216372914,0.8444444444444444,0.8704646464646464,0.87,ensemble_AdaBoostClassifier
5,0.0011370182037353516,9.846687316894531e-05,0.000888824462890625,0.5675689843160279,0.5543820308765899,0.5543820308765899,0.11065083303627207,0.009571639827746004,0.46944419433260876,0.44281803886548504,0.5286216954811545,0.5394744490238615,14.935778386591956,0.11224591737528887,0.5217291857273559,0.5616568887193463,0.5675689843160279,0.87,0.8693181818181818,0.8693181818181819,0.7368421052631579,0.4387085676892366,0.853932584269663,0.8597285067873304,0.7720236675941036,0.8692996135866036,4.490096903158299,0.7369931216372914,0.8444444444444444,0.8704646464646464,0.87,ensemble_AdaBoostClassifier
6,0.00043845176696777344,0.00012159347534179688,0.00015687942504882812,0.5675630340200241,0.5543755494449871,0.5543755494449871,0.11063755730698492,0.009569210228416725,0.4694381559991768,0.4428158897328254,0.5286189196832657,0.5394693226696462,14.935983909447812,0.11223200162940021,0.5217142693770191,0.5616505410295426,0.5675630340200241,0.86,0.8603896103896104,0.8603896103896104,0.7172859450726978,0.4131111944246265,0.8444444444444444,0.8558558558558558,0.7568720857156994,0.8603834844182797,4.835492663081707,0.717871668706209,0.8260869565217391,0.861256038647343,0.86,ensemble_AdaBoostClassifier
7,0.0005006790161132812,0.00011396408081054688,0.0002384185791015625,0.5675570838487829,0.5543705610877385,0.5543705610877385,0.11062741417344257,0.009567552982086669,0.46943211782108174,0.44280729341079067,0.5286178095314104,0.5394630157056056,14.936189419611624,0.1122220887216837,0.5217142693770191,0.5616446971588938,0.5675570838487829,0.85,0.84,0.8494949494949495,0.6975806451612903,0.38747148615306803,0.8351648351648352,0.8407079646017699,0.7419563006707279,0.8494799359703333,5.180880427030814,0.6977224638601587,0.8260869565217391,0.8504428341384863,0.85,ensemble_AdaBoostClassifier
8,0.0005674362182617188,0.00011491775512695312,0.0003058910369873047,0.5675511338023002,0.5543640799024891,0.5543640799024891,0.11061413897821794,0.009565124034725647,0.4694260797983176,0.44280514438243146,0.5286150341195377,0.5394578895574577,14.936394933849128,0.11220817364251505,0.5216993538795814,0.561638349852922,0.5675511338023002,0.84,0.8311111111111111,0.8404040404040404,0.6780684104627765,0.3641250490396488,0.8260869565217391,0.8370044052863436,0.727608203482355,0.8403943278382037,5.526276186954224,0.6786181014118886,0.8085106382978723,0.8411882778000803,0.84,ensemble_AdaBoostClassifier
9,0.0004649162292480469,0.00012946128845214844,0.0001876354217529297,0.5675556673795445,0.5543671010540389,0.5543671010540389,0.1106204444035537,0.009566237353459517,0.4694260797983176,0.44280514438243146,0.5286175955595352,0.5394602790755947,14.936238348168184,0.11221454683945965,0.5216993538795814,0.5616423966931563,0.5675556673795445,0.84,0.8311111111111111,0.8404040404040404,0.6780684104627765,0.3641250490396488,0.8260869565217391,0.8370044052863436,0.727608203482355,0.8403943278382037,5.526276186954224,0.6786181014118886,0.8085106382978723,0.8411882778000803,0.84,ensemble_AdaBoostClassifier
10,0.00046706199645996094,0.00012612342834472656,0.00019407272338867188,0.5675602008617345,0.5543701220907616,0.5543701220907618,0.11062674960728223,0.009567350701380484,0.4694260797983176,0.44280514438243146,0.5286201570769553,0.5394626684923282,14.936081765770338,0.11222091980996025,0.5216993538795814,0.5616464434667076,0.5675602008617345,0.84,0.8311111111111111,0.8404040404040404,0.6780684104627765,0.3641250490396488,0.8260869565217391,0.8370044052863436,0.727608203482355,0.8403943278382037,5.526276186954224,0.6786181014118886,0.8085106382978723,0.8411882778000803,0.84,ensemble_AdaBoostClassifier
