Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0004417896270751953,0.00011563301086425781,9.608268737792969e-05,0.5715534366309099,0.5584665385159766,0.5584665385159766,0.11894793390902024,0.011053133440740548,0.474681540297635,0.44794060862370133,0.5295540965189153,0.5438950729705491,14.798158898815391,0.12063947441987562,0.5271286378881316,0.5658563404149166,0.5715534366309099,0.79,0.7777777777777778,0.7868686868686869,0.5748987854251013,0.25496212001124396,0.7640449438202247,0.7589285714285713,0.6655932507560652,0.7862453931068965,7.253223002674024,0.5750166113873373,0.7727272727272727,0.7896915584415584,0.79,ensemble_BaggingClassifier
2,0.00036025047302246094,5.91278076171875e-05,0.00014901161193847656,0.5715576921166854,0.558469372501777,0.558469372501777,0.11895385979601694,0.011054259606329997,0.474681540297635,0.44794060862370133,0.5295565740729666,0.5438973224933853,14.798011918164635,0.12064546133492167,0.5271286378881316,0.5658601396037393,0.5715576921166854,0.79,0.7743506493506493,0.7857142857142857,0.5728234336859236,0.25335910482188595,0.7586206896551724,0.7534246575342466,0.6672038735594213,0.7849021777084254,7.253223002674024,0.5729419837618891,0.7674418604651163,0.7896042431660547,0.79,ensemble_BaggingClassifier
3,0.00030612945556640625,5.984306335449219e-05,9.584426879882812e-05,0.5715619475179278,0.5584722063855253,0.5584722063855253,0.11895978548558767,0.011055385795194272,0.474681540297635,0.44794060862370133,0.5295590516939285,0.5438995719259128,14.797864940433579,0.12065144804836252,0.5271286378881316,0.5658639387331933,0.5715619475179278,0.8,0.7939616483068136,0.7960016319869441,0.5920032639738884,0.27131491522260387,0.7674418604651162,0.7674418604651164,0.6798719487795117,0.795489118452603,6.907835238724917,0.5920032639738884,0.7674418604651163,0.8,0.8,ensemble_BaggingClassifier
4,0.0003528594970703125,5.9604644775390625e-05,0.00014328956604003906,0.5715562706713149,0.5584674246192296,0.5584674246192296,0.11895006546681183,0.01105368504027493,0.4746757596054314,0.44793237230169525,0.5295578987260964,0.5438935477074952,14.798061010390319,0.1206419707963029,0.5271286378881316,0.5658583819633777,0.5715562706713149,0.8,0.7832792207792207,0.7946428571428572,0.5921696574225123,0.2733931524399055,0.7674418604651163,0.756880733944954,0.6800106626507862,0.7933878532686808,6.907827242750614,0.5926627374298052,0.7857142857142857,0.7995073891625616,0.8,ensemble_BaggingClassifier
5,0.0003039836883544922,5.7220458984375e-05,6.031990051269531e-05,0.5715605260021454,0.5584702584009315,0.5584702584009315,0.11895599096590125,0.011054811170273515,0.4746757596054314,0.44793237230169525,0.5295603762928727,0.5438957970248057,14.79791403509126,0.12064795733094426,0.5271286378881316,0.5658621809842586,0.5715605260021454,0.8,0.7832792207792207,0.7946428571428572,0.5921696574225123,0.2733931524399055,0.7674418604651163,0.756880733944954,0.6800106626507862,0.7933878532686808,6.907827242750614,0.5926627374298052,0.7857142857142857,0.7995073891625616,0.8,ensemble_BaggingClassifier
6,0.00037097930908203125,5.841255187988281e-05,0.00016570091247558594,0.5715548492824154,0.5584640898840563,0.5584640898840563,0.1189433506370684,0.011052316604090118,0.4746699790540212,0.4479303132685192,0.5295576585668096,0.5438909007459071,14.798110108607249,0.12063468374297744,0.5271143807643416,0.565856101357493,0.5715548492824154,0.8,0.7832792207792207,0.7946428571428572,0.5921696574225123,0.2733931524399055,0.7674418604651163,0.756880733944954,0.6800106626507862,0.7933878532686808,6.907827242750614,0.5926627374298052,0.7857142857142857,0.7995073891625616,0.8,ensemble_BaggingClassifier
7,0.00034928321838378906,5.7697296142578125e-05,0.00014472007751464844,0.5715491726754465,0.5584593083296057,0.5584593083296057,0.11893363106204863,0.011050616150029224,0.4746641986433991,0.4479220773251084,0.5295565057781738,0.5438848767569744,14.798306170286988,0.1206252068754135,0.5271143807643416,0.5658505446920579,0.5715491726754465,0.79,0.7830303030303031,0.7848484848484848,0.5731707317073171,0.2560991096061429,0.7586206896551724,0.7432432432432431,0.6674888255065976,0.7831560082980487,7.253215006699721,0.5742392437486782,0.7857142857142857,0.7897783251231527,0.79,ensemble_BaggingClassifier
8,0.00022029876708984375,5.936622619628906e-05,9.775161743164062e-06,0.5715434961812349,0.5584531400348473,0.5584531400348473,0.11892099121520174,0.011048122187048204,0.47465841837356,0.4479200183865778,0.5295537884050019,0.5438799806645341,14.798502236013666,0.1206119338896501,0.5271001244117488,0.5658444654126837,0.5715434961812349,0.78,0.7737373737373737,0.7757575757575758,0.5537525354969575,0.23645973627161698,0.7499999999999999,0.7399103139013453,0.655013656257048,0.7745966692414834,7.598610766623129,0.5542087702327798,0.7674418604651163,0.7795593635250918,0.78,ensemble_BaggingClassifier
9,0.00021719932556152344,5.91278076171875e-05,9.5367431640625e-06,0.5715477514698871,0.5584559738345831,0.5584559738345831,0.1189269166742619,0.011049248011382518,0.47465841837356,0.4479200183865778,0.5295562657422744,0.5438822300024414,14.798355262171341,0.12061792037064181,0.5271001244117488,0.5658482644958314,0.5715477514698871,0.78,0.7737373737373737,0.7757575757575758,0.5537525354969575,0.23645973627161698,0.7499999999999999,0.7399103139013453,0.655013656257048,0.7745966692414834,7.598610766623129,0.5542087702327798,0.7674418604651163,0.7795593635250918,0.78,ensemble_BaggingClassifier
10,0.0002989768981933594,5.7220458984375e-05,9.560585021972656e-05,0.5715420751025435,0.5584498058219579,0.5584498058219578,0.118914277328785,0.011046754336793363,0.4746526382444989,0.4479179594669756,0.5295535485643543,0.5438773341101203,14.798551323515978,0.12060464804783957,0.5270858688302907,0.5658421857683621,0.5715420751025435,0.78,0.765422077922078,0.7767857142857143,0.5535714285714285,0.23482284944263287,0.75,0.75,0.654867256637168,0.7763237542601485,7.598618762597431,0.5535714285714286,0.75,0.78,0.78,ensemble_BaggingClassifier
11,0.0004000663757324219,5.793571472167969e-05,0.00019311904907226562,0.5715463303207866,0.5584560999029732,0.5584560999029731,0.11892683998274366,0.011049031180571656,0.47466543271513983,0.4479306477412712,0.5295526665050326,0.543885263515199,14.798404352105475,0.12061734003974633,0.5270986585893552,0.5658475352306327,0.5715463303207866,0.78,0.7688888888888888,0.7777777777777778,0.5555555555555555,0.23636280283407174,0.7555555555555555,0.7555555555555555,0.6533333333333334,0.77746025264604,7.598618762597431,0.5555555555555556,0.7555555555555555,0.78,0.78,ensemble_BaggingClassifier
