Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0020220279693603516,0.0012445449829101562,0.0007729530334472656,0.5678879213508389,0.5531689785587279,0.5531689785587279,0.10852175445948134,0.00943419149526925,0.46008915237870673,0.42908064320210443,0.5325630014367286,0.5344892061052238,14.924756680323153,0.11073366643411403,0.5230934204815278,0.5612245281454764,0.5678879213508389,0.59,0.5644444444444444,0.5727272727272728,0.14937759336099576,0.019164323433186747,0.4675324675324675,0.42452830188679247,0.5400271689271303,0.5460602697338621,14.161010265553289,0.15512630699850563,0.5625,0.5847426470588235,0.59,ensemble_SRPClassifier
2,0.0005085468292236328,6.580352783203125e-05,0.0002675056457519531,0.567891804457225,0.553171457076465,0.553171457076465,0.10852697094051704,0.009435118346408311,0.46008915237870673,0.42908064320210443,0.5325652317779748,0.5344911102657646,14.924622561373832,0.11073896255452498,0.5230934204815278,0.5612279260315971,0.567891804457225,0.59,0.5644444444444444,0.5727272727272728,0.14937759336099576,0.019164323433186747,0.4675324675324675,0.42452830188679247,0.5400271689271303,0.5460602697338621,14.161010265553289,0.15512630699850563,0.5625,0.5847426470588235,0.59,ensemble_SRPClassifier
3,0.0004115104675292969,6.341934204101562e-05,0.00019693374633789062,0.5678956874938219,0.5531739355134515,0.5531739355134515,0.1085321872667529,0.009436045218135236,0.46008915237870673,0.42908064320210443,0.5325674621720282,0.5344930143574843,14.924488444834967,0.11074425851538332,0.5230934204815278,0.5612313238717669,0.5678956874938219,0.6,0.5795454545454546,0.5795454545454546,0.1638795986622072,0.022796379367553965,0.47368421052631576,0.4326923076923077,0.5445430843905191,0.5539117094069973,13.815622501604182,0.16929193530197692,0.5625,0.5933823529411765,0.6,ensemble_SRPClassifier
4,0.00074005126953125,6.29425048828125e-05,0.0005211830139160156,0.5678905842813753,0.553169820566696,0.553169820566696,0.10852375749357329,0.00943467397987019,0.4600839864364151,0.4290734543261277,0.5325665726194279,0.5344876581525292,14.924664702342472,0.11073603032268463,0.5230934204815278,0.5612264509770036,0.5678905842813753,0.6,0.5795454545454546,0.5795454545454546,0.1638795986622072,0.022796379367553965,0.47368421052631576,0.4326923076923077,0.5445430843905191,0.5539117094069973,13.815622501604182,0.16929193530197692,0.5625,0.5933823529411765,0.6,ensemble_SRPClassifier
5,0.0004591941833496094,7.224082946777344e-05,0.000232696533203125,0.56789446725915,0.5531722989229358,0.553172298922936,0.10852897366598492,0.009435600807877975,0.4600839864364151,0.4290734543261277,0.5325688029650976,0.5344895621563508,14.924530587835294,0.11074132614061324,0.5230934204815278,0.5612298487302475,0.56789446725915,0.61,0.588474025974026,0.588474025974026,0.18273260687342824,0.029061124060799304,0.4800000000000001,0.43478260869565216,0.5519176807147692,0.5604671057460703,13.470226741680774,0.189915646058302,0.5806451612903226,0.6044693782141187,0.61,ensemble_SRPClassifier
6,0.0005433559417724609,7.009506225585938e-05,0.00031948089599609375,0.56789835016714,0.5531747771984331,0.5531747771984332,0.10853418968361238,0.009436527656471405,0.4600839864364151,0.4290734543261277,0.5325710333635667,0.5344914660913596,14.924396475738426,0.11074662179900413,0.5230934204815278,0.5612332464375442,0.56789835016714,0.62,0.5974025974025974,0.5974025974025974,0.2016806722689075,0.03638806433751551,0.4864864864864865,0.4368932038834952,0.5597747133827139,0.5669467095138409,13.124830981757365,0.2110139845359989,0.6,0.616,0.62,ensemble_SRPClassifier
7,0.0007567405700683594,0.00013947486877441406,0.0003681182861328125,0.5678932470683381,0.5531706624166186,0.5531706624166186,0.10852576021889379,0.009435156432550662,0.46007882061012995,0.42906626569103384,0.5325701437897119,0.5344861100092674,14.924572729320841,0.1107383939195926,0.5230934204815278,0.5612283736740413,0.5678932470683381,0.61,0.5822222222222222,0.5909090909090909,0.18749999999999994,0.03189030310026286,0.48,0.42857142857142866,0.5546164098198567,0.5592202363356255,13.470218745706472,0.1973855084879306,0.6,0.6078571428571429,0.61,ensemble_SRPClassifier
8,0.0005478858947753906,8.20159912109375e-05,0.0002892017364501953,0.5678971299175098,0.553173140611377,0.553173140611377,0.10853097608271114,0.009436083237427617,0.46007882061012995,0.42906626569103384,0.5325723741397953,0.5344880138563883,14.92443861925552,0.11074368943506795,0.5230934204815278,0.5612317712944195,0.5678971299175098,0.61,0.5822222222222222,0.5909090909090909,0.18749999999999994,0.03189030310026286,0.48,0.42857142857142866,0.5546164098198567,0.5592202363356255,13.470218745706472,0.1973855084879306,0.6,0.6078571428571429,0.61,ensemble_SRPClassifier
9,0.0004630088806152344,7.152557373046875e-05,0.000240325927734375,0.5679010126969009,0.5531756187254007,0.5531756187254007,0.10853619179175934,0.009437010062886664,0.46007882061012995,0.42906626569103384,0.5325746045426704,0.5344899176347045,14.924304511600365,0.1107489847910204,0.5230934204815278,0.561235168868854,0.5679010126969009,0.61,0.5822222222222222,0.5909090909090909,0.18749999999999994,0.03189030310026286,0.48,0.42857142857142866,0.5546164098198567,0.5592202363356255,13.470218745706472,0.1973855084879306,0.6,0.6078571428571429,0.61,ensemble_SRPClassifier
10,0.0005106925964355469,7.271766662597656e-05,0.00028204917907714844,0.5679048954065128,0.5531780967586936,0.5531780967586936,0.1085414073460448,0.009437936908925137,0.46007882061012995,0.42906626569103384,0.5325768349983316,0.5344918213442198,14.92417040635531,0.11075427998745739,0.5230934204815278,0.5612385663973455,0.5679048954065128,0.61,0.5822222222222222,0.5909090909090909,0.18749999999999994,0.03189030310026286,0.48,0.42857142857142866,0.5546164098198567,0.5592202363356255,13.470218745706472,0.1973855084879306,0.6,0.6078571428571429,0.61,ensemble_SRPClassifier
