Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.04284262657165527,0.01300358772277832,0.029454708099365234,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
2,0.032761335372924805,0.012087821960449219,0.02037358283996582,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
3,0.04120755195617676,0.018475770950317383,0.02244091033935547,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
4,0.05055689811706543,0.015213727951049805,0.03471827507019043,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_best_model_average
5,0.04547715187072754,0.013994216918945312,0.031195878982543945,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_best_model_average
6,0.04086494445800781,0.013187646865844727,0.02739405632019043,0.8333333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_best_model_average
7,0.048682451248168945,0.015216827392578125,0.03316688537597656,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_best_model_average
8,0.04480862617492676,0.013639688491821289,0.030884504318237305,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_best_model_average
9,0.04119467735290527,0.013547658920288086,0.027376651763916016,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_best_model_average
10,0.05796003341674805,0.016571760177612305,0.04111456871032715,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_best_model_average
