Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005419254302978516,4.982948303222656e-05,0.0004878044128417969,0.5901099246725062,0.5750382512360469,0.5750382512360469,0.1533436348920202,0.019050830106189465,0.48420323554148326,0.4495628943413283,0.5408244294134091,0.5562106611419181,14.157224730771013,0.15686856916770237,0.5555479871943328,0.5847141300429374,0.5901099246725062,0.71,0.68,0.6898989898989899,0.39330543933054385,0.15450199215979776,0.6027397260273972,0.5288461538461539,0.621580175835565,0.6599663291074443,10.016293130369528,0.4208186589910317,0.7857142857142857,0.7278769841269841,0.71,forest_AMFClassifier
2,0.000453948974609375,0.00011610984802246094,0.00015783309936523438,0.5901131476108477,0.5750402397834394,0.5750402397834394,0.15334790515586225,0.01905192555492896,0.48420323554148326,0.4495628943413283,0.5408266012135327,0.5562121952362455,14.157113413456592,0.1568729007991354,0.5555479871943328,0.584716914726827,0.5901131476108477,0.71,0.68,0.6898989898989899,0.39330543933054385,0.15450199215979776,0.6027397260273972,0.5288461538461539,0.621580175835565,0.6599663291074443,10.016293130369528,0.4208186589910317,0.7857142857142857,0.7278769841269841,0.71,forest_AMFClassifier
3,0.00036025047302246094,0.00010585784912109375,9.72747802734375e-05,0.5901163704985061,0.5750422282741442,0.5750422282741442,0.1533521753094771,0.019053021009745263,0.48420323554148326,0.4495628943413283,0.540828773043798,0.5562137292826095,14.157002097892718,0.15687723231691947,0.5555479871943328,0.584719699378489,0.5901163704985061,0.72,0.6964285714285714,0.6964285714285714,0.40878378378378377,0.1640747748507022,0.6111111111111112,0.5392156862745098,0.6302007835946273,0.6681531047810609,9.670905366420422,0.4343199130227308,0.7857142857142857,0.7346031746031746,0.72,forest_AMFClassifier
4,0.0007238388061523438,0.000102996826171875,0.0004673004150390625,0.5901117305257861,0.5750384657788239,0.5750384657788239,0.15334443098557804,0.019051271806242887,0.48419844458076905,0.4495562864019696,0.5408275748879453,0.5562088521613789,14.15716235590529,0.1568697988189867,0.5555479871943328,0.5847154329429447,0.5901117305257861,0.72,0.6964285714285714,0.6964285714285714,0.40878378378378377,0.1640747748507022,0.6111111111111112,0.5392156862745098,0.6302007835946273,0.6681531047810609,9.670905366420422,0.4343199130227308,0.7857142857142857,0.7346031746031746,0.72,forest_AMFClassifier
5,0.0005633831024169922,0.00016951560974121094,0.00016736984252929688,0.590107090626032,0.5750333275434212,0.5750333275434211,0.15333388013568885,0.019048392508344003,0.48419365371486245,0.4495546344474821,0.5408248444668194,0.556204888230635,14.157322617684759,0.15685839437194712,0.5555353737171919,0.5847099639960934,0.590107090626032,0.72,0.6964285714285714,0.6964285714285714,0.40878378378378377,0.1640747748507022,0.6111111111111112,0.5392156862745098,0.6302007835946273,0.6681531047810609,9.670905366420422,0.4343199130227308,0.7857142857142857,0.7346031746031746,0.72,forest_AMFClassifier
6,0.0007910728454589844,0.0001633167266845703,0.00047326087951660156,0.5901024507992421,0.5750281894544903,0.5750281894544903,0.15332332955437536,0.019045513556296356,0.48418886294376057,0.4495529825051353,0.5408221142346382,0.556200924384639,14.157482876944051,0.15684699034918514,0.555522760812805,0.5847044953920398,0.5901024507992421,0.71,0.6875,0.6875,0.38921651221566966,0.14311283242065131,0.6027397260273972,0.5365853658536586,0.6188305963509768,0.6614378277661477,10.01630112634383,0.4102262491870774,0.7586206896551724,0.7202719766877125,0.71,forest_AMFClassifier
7,0.0006875991821289062,0.0001876354217529297,0.00034546852111816406,0.5900978110454145,0.5750244270911318,0.5750244270911318,0.15331558556129563,0.01904376474481284,0.4841840722674608,0.4495463748571512,0.5408209163414703,0.5561960474612132,14.157643127396293,0.15683955707586117,0.555522760812805,0.5847002289603638,0.5900978110454145,0.7,0.6711111111111111,0.6808080808080808,0.37369519832985376,0.1340252260740783,0.5945945945945945,0.5263157894736842,0.6104843530197513,0.6531972647421809,10.361688890292937,0.3964671969956303,0.7586206896551724,0.7132102962603206,0.7,forest_AMFClassifier
8,0.0007100105285644531,0.00018358230590820312,0.00037026405334472656,0.5901010339269568,0.5750264156149371,0.575026415614937,0.15331985572119158,0.01904485995497618,0.4841840722674608,0.4495463748571512,0.5408230879575463,0.5561975815238449,14.157531812043638,0.1568438886043778,0.555522760812805,0.5847030136389056,0.5901010339269568,0.7,0.6711111111111111,0.6808080808080808,0.37369519832985376,0.1340252260740783,0.5945945945945945,0.5263157894736842,0.6104843530197513,0.6531972647421809,10.361688890292937,0.3964671969956303,0.7586206896551724,0.7132102962603206,0.7,forest_AMFClassifier
9,0.0008623600006103516,0.00024199485778808594,0.0004146099090576172,0.5901042567578193,0.5750284040820585,0.5750284040820585,0.15332412577086837,0.01904595517122032,0.4841840722674608,0.4495463748571512,0.5408252596037647,0.5561991155385163,14.157420498441418,0.15684822001925364,0.555522760812805,0.5847057982852204,0.5901042567578193,0.7,0.6711111111111111,0.6808080808080808,0.37369519832985376,0.1340252260740783,0.5945945945945945,0.5263157894736842,0.6104843530197513,0.6531972647421809,10.361688890292937,0.3964671969956303,0.7586206896551724,0.7132102962603206,0.7,forest_AMFClassifier
10,0.0006101131439208984,0.00018715858459472656,0.00019407272338867188,0.5901074795380031,0.5750303924924985,0.5750303924924987,0.15332839571033025,0.01904705039354493,0.4841840722674608,0.4495463748571512,0.540827431280122,0.5562006495052301,14.15730918658959,0.1568525513204933,0.555522760812805,0.5847085828993085,0.5901074795380031,0.7,0.6711111111111111,0.6808080808080808,0.37369519832985376,0.1340252260740783,0.5945945945945945,0.5263157894736842,0.6104843530197513,0.6531972647421809,10.361688890292937,0.3964671969956303,0.7586206896551724,0.7132102962603206,0.7,forest_AMFClassifier
